Majority protein IDs,Protein ID,logFC,PValue,FDR,Fold_change,Gene names,C1,C2,C3,C4,C5,average_C_lfq,R1,R2,R3,R4,R5,average_R_lfq,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count C4,MS/MS count C5,MS_C_average,MS/MS count R1,MS/MS count R2,MS/MS count R3,MS/MS count R4,MS/MS count R5,MS_R_average
D3ZIY3,D3ZIY3,-0.474392286,0.70682332,0.999991107,0.719769919,Ythdf3,27292000,31049000,22672000,28312000,31320000,28129000,0,41072000,0,30613000,28478000,20032600,3,4,4,5,5,4.2,3,6,2,2,4,3.4
D3ZJ08,D3ZJ08,-3.245141862,0.018048242,0.999991107,0.105466603,Hist2h3c2,1573100000,1572500000,2558200000,1882800000,930200000,1703360000,559460000,327570000,0,0,0,177406000,85,73,76,61,46,68.2,53,46,30,25,29,36.6
D3ZJ92,D3ZJ92,0.092701904,0.941282523,0.999991107,1.066365421,Prpf40a,28394000,21664000,29406000,31725000,41450000,30527800,31379000,33049000,32877000,33252000,30237000,32158800,3,4,4,4,4,3.8,3,2,3,4,3,3
D3ZJA9,D3ZJA9,-1.864758014,0.151406728,0.999991107,0.274569254,Slc27a3,41205000,50339000,41083000,31459000,44534000,41724000,27262000,29384000,0,0,0,11329200,4,9,4,3,8,5.6,3,2,0,0,0,1
D3ZJF9,D3ZJF9,-1.479254658,0.249672752,0.999991107,0.358674067,Gla,54262000,58948000,49355000,59172000,54006000,55148600,26702000,0,38719000,32558000,0,19595800,9,6,7,5,7,6.8,4,0,5,3,2,2.8
D3ZJH9;A0A0G2K502,D3ZJH9,0.14884107,0.905870874,0.999991107,1.108678503,Me2,729230000,688650000,648750000,493750000,540750000,620226000,754860000,696910000,675100000,649950000,619660000,679296000,22,43,43,43,45,39.2,34,45,42,44,35,40
D3ZJU5;A0A0G2K9D6,D3ZJU5,0.326698027,0.795380733,0.999991107,1.254139671,Smarcc1,0,21655000,30001000,28346000,28609000,21722200,23629000,23272000,27547000,27294000,32407000,26829800,2,4,3,5,2,3.2,3,2,2,2,3,2.4
D3ZJX5,D3ZJX5,-0.181559128,0.885322029,0.999991107,0.88174957,Timm50,91673000,105430000,87869000,119140000,94401000,99702600,68248000,93439000,94130000,100790000,77478000,86817000,12,13,8,4,10,9.4,12,13,6,9,11,10.2
D3ZK73,D3ZK73,-0.55915494,0.657804335,0.999991107,0.678699596,Cul4b,20390000,27463000,25876000,20866000,24767000,23872400,24525000,30198000,25190000,0,0,15982600,3,4,3,5,6,4.2,2,3,2,2,3,2.4
D3ZK96;A0A0G2K0C9;B2RZ34;A0A0G2K821,D3ZK96,-0.600203331,0.63461526,0.999991107,0.659660977,Papola,0,16668000,15137000,19334000,17861000,13800000,0,14739000,0,16764000,13470000,8994600,0,4,5,5,3,3.4,3,3,2,4,2,2.8
D3ZK97;B0BMY8;P84245;M0RBX6;A0A0G2K0N8,D3ZK97,-3.674433525,0.008646705,0.999991107,0.078322275,H3f3c;H3f3b;Hist1h3e,439830000,383480000,220170000,567510000,838920000,489982000,189540000,0,0,0,0,37908000,50,31,32,34,9,31.2,26,12,13,21,3,15
D3ZKG1,D3ZKG1,-0.411634064,0.74401033,0.999991107,0.7517714,Mut,30487000,37918000,32738000,36734000,30322000,33639800,22714000,25822000,24610000,22246000,29285000,24935400,6,5,4,7,3,5,3,2,2,2,3,2.4
D3ZL50,D3ZL50,-0.3389746,0.787888896,0.999991107,0.790603036,Ttc37,25798000,25501000,17762000,34693000,27358000,26222400,0,17279000,28146000,29450000,27414000,20457800,2,4,3,6,6,4.2,0,4,3,7,2,3.2
D3ZLA3,D3ZLA3,0.182526795,0.884715485,0.999991107,1.134869803,Cpne3,103410000,79836000,76291000,59133000,68024000,77338800,78604000,86699000,82520000,99713000,86347000,86776600,11,16,7,7,8,9.8,7,6,8,9,8,7.6
D3ZLC1,D3ZLC1,0.045606924,0.971090849,0.999991107,1.032117287,Lmnb2,108030000,120740000,146300000,132910000,152940000,132184000,136340000,155420000,120280000,110490000,150360000,134578000,10,10,14,16,13,12.6,10,11,9,12,13,11
D3ZLK9;D4AAT7,D3ZLK9,0.096310737,0.939001475,0.999991107,1.069036222,Carkd,42941000,48172000,34901000,43745000,45350000,43021800,42060000,46886000,49636000,43943000,44472000,45399400,10,10,9,8,11,9.6,6,5,7,4,9,6.2
D3ZLM5,D3ZLM5,0.711195286,0.573898431,0.999991107,1.637159957,Nhlrc2,0,34204000,0,37077000,37675000,21791200,38716000,48362000,0,43035000,45779000,35178400,0,4,0,4,3,2.2,4,2,0,4,6,3.2
D3ZLT1,D3ZLT1,-0.297989106,0.812980229,0.999991107,0.81338534,Ndufb7,68408000,60040000,67202000,61617000,52404000,61934200,60337000,52283000,43389000,42469000,50126000,49720800,12,7,10,6,5,8,5,8,4,5,5,5.4
D3ZM21,D3ZM21,-1.645306895,0.202529909,0.999991107,0.319678385,Comtd1,22066000,19487000,18472000,18019000,23059000,20220600,15862000,16103000,0,0,0,6393000,3,3,2,2,3,2.6,2,3,0,0,0,1
D3ZMS1,D3ZMS1,0.158954155,0.899511177,0.999991107,1.116477483,Sf3b2,148650000,172330000,172640000,212720000,196730000,180614000,202960000,179910000,207590000,211670000,193040000,199034000,7,14,12,18,21,14.4,19,15,13,16,14,15.4
D3ZMY7,D3ZMY7,-0.219163265,0.861809238,0.999991107,0.859063532,Nt5c2,124020000,113710000,97395000,78661000,97576000,102272400,99536000,92269000,98585000,74078000,69504000,86794400,10,19,11,16,9,13,9,11,7,10,8,9
D3ZN27,D3ZN27,0.273415251,0.828127659,0.999991107,1.208665684,Dnajc13,50312000,40436000,37845000,53710000,47740000,46008600,51691000,54987000,52008000,68742000,47432000,54972000,5,6,4,5,12,6.4,4,8,6,10,5,6.6
D3ZN95,D3ZN95,-0.385531698,0.759678002,0.999991107,0.765496827,Hcfc1,134460000,144450000,162170000,144990000,152390000,147692000,114600000,111260000,118410000,120840000,93338000,111689600,13,17,20,17,17,16.8,11,10,8,14,10,10.6
D3ZNF4,D3ZNF4,-0.560603686,0.656979792,0.999991107,0.678018392,Tbl1xr1,42284000,30128000,32935000,27632000,32807000,33157200,0,29276000,31104000,29113000,21662000,22231000,3,6,9,6,7,6.2,2,6,9,5,3,5
D3ZNI3,D3ZNI3,-0.917432713,0.469667647,0.999991107,0.529450343,Pdcd11,20403000,24538000,27666000,34665000,72338000,35922000,23154000,0,9611100,31605000,29637000,18801420,3,3,4,7,16,6.6,3,3,2,8,4,4
D3ZNQ6,D3ZNQ6,0.348150523,0.782303286,0.999991107,1.272927739,Ube2m,61222000,0,62331000,52544000,48397000,44898800,62533000,45338000,55933000,58893000,59651000,56469600,3,0,4,5,4,3.2,3,7,3,3,4,4
D3ZNS8,D3ZNS8,-0.365562642,0.771737934,0.999991107,0.776166116,Aaas,118560000,101790000,107300000,142180000,101500000,114266000,119600000,120290000,0,96023000,102210000,87624600,6,7,5,5,5,5.6,6,7,5,7,7,6.4
D3ZP47,D3ZP47,0.13161331,0.91671969,0.999991107,1.095518092,Phpt1,51756000,50090000,67999000,57758000,57220000,56964600,76358000,48717000,60372000,59720000,62793000,61592000,7,9,11,11,6,8.8,9,9,5,5,5,6.6
D3ZP96,D3ZP96,-0.802278105,0.526418753,0.999991107,0.57344296,Mcm2,98507000,104630000,105500000,134470000,1.41E+08,116821400,56559000,51886000,65963000,70179000,85777000,66072800,13,15,15,19,18,16,6,5,7,9,10,7.4
D3ZP98;A0A0G2K1Z9,D3ZP98,0.238935151,0.849498535,0.999991107,1.180121296,Hm13,108820000,93592000,112890000,92156000,101690000,101829600,114860000,138530000,119760000,1.01E+08,118990000,118628000,9,12,10,12,10,10.6,9,11,12,12,11,11
D3ZPL1,D3ZPL1,-0.405332305,0.74778259,0.999991107,0.755062355,Cpsf6,115660000,167880000,146180000,140050000,141430000,142240000,123390000,120850000,90665000,87437000,107420000,105952400,12,13,11,10,13,11.8,9,9,9,12,6,9
D3ZPP2,D3ZPP2,-0.294993227,0.814822938,0.999991107,0.815076159,Arl8a,585490000,512460000,700190000,598040000,501330000,579502000,531070000,514150000,438710000,393860000,452840000,466126000,36,28,25,23,18,26,23,22,13,17,15,18
D3ZPR0,D3ZPR0,-0.007498385,0.995245842,0.999991107,0.994815999,Cse1l,2353800000,2630600000,2663400000,2874200000,2720200000,2648440000,2344400000,2.65E+09,2596500000,2885200000,2528200000,2601660000,36,45,40,50,38,41.8,35,28,34,32,30,31.8
D3ZPW7,D3ZPW7,-0.620877071,0.623081303,0.999991107,0.65027548,Gpx8,24156000,24631000,35752000,21904000,26645000,26617600,32888000,26420000,0,0,25851000,17031800,5,5,3,3,3,3.8,3,4,0,2,2,2.2
D3ZQ57,D3ZQ57,0.406638403,0.747000207,0.999991107,1.325593472,Plxnb2,655920000,711880000,720950000,755790000,713740000,711656000,887230000,879010000,934200000,1013400000,943080000,931384000,52,61,49,59,60,56.2,62,57,54,65,52,58
D3ZQ74;Q63321,D3ZQ74,0.937994079,0.459935975,0.999991107,1.915862573,Plod1,15197000,17668000,17693000,17503000,0,13612200,23915000,22342000,26294000,26270000,29676000,25699400,2,3,3,2,2,2.4,7,5,3,5,3,4.6
D3ZQB6,D3ZQB6,-2.473441997,0.06264247,0.999991107,0.180061045,Cecr5,22720000,28242000,19591000,23322000,27437000,24262400,0,21616000,0,0,0,4323200,4,7,3,4,4,4.4,0,2,2,0,2,1.2
D3ZQE8,D3ZQE8,-0.074243186,0.952957602,0.999991107,0.949840261,Xpo5,76924000,75826000,77588000,96551000,95235000,84424800,75571000,75036000,93085000,89981000,62433000,79221200,9,8,10,13,14,10.8,7,8,8,9,7,7.8
D3ZQL1,D3ZQL1,-0.174772338,0.889578102,0.999991107,0.885907307,Emc7,49224000,47726000,38159000,39420000,41647000,43235200,39806000,37985000,31590000,42584000,37294000,37851800,7,5,4,4,4,4.8,4,5,3,3,2,3.4
D3ZQM0,D3ZQM0,0.003211341,0.997963921,0.999991107,1.002228411,Sf3a1,367240000,410520000,437820000,464580000,485300000,433092000,406970000,394350000,418280000,497940000,425880000,428684000,26,27,26,32,32,28.6,21,28,24,36,25,26.8
D3ZRD3,D3ZRD3,-1.247914769,0.328667574,0.999991107,0.421056351,Pde6d,33785000,26475000,33894000,27921000,24541000,29323200,30271000,0,0,31235000,0,12301200,4,4,4,4,3,3.8,3,0,2,2,3,2
D3ZRE7,D3ZRE7,-0.863015638,0.496015798,0.999991107,0.549802115,Swap70,100130000,74883000,64668000,0,62446000,60425400,62970000,0,44438000,0,56012000,32684000,5,11,3,0,4,4.6,2,2,3,0,3,2
D3ZRG7;D3ZRC3,D3ZRG7,-1.083297041,0.394755359,0.999991107,0.471949029,Rbm26,28086000,32651000,29578000,27501000,30234000,29610000,0,0,19010000,21990000,27864000,13772800,2,3,6,3,5,3.8,0,2,4,5,3,2.8
D3ZRH1,D3ZRH1,-0.339989334,0.787270339,0.999991107,0.790047153,Oxa1l,9835700,8596300,10938000,7686400,9992600,9409800,9580700,0,10524000,8530000,8058600,7338660,4,2,4,2,2,2.8,2,2,2,2,2,2
D3ZRM5,D3ZRM5,-0.264998871,0.833331899,0.999991107,0.832199386,Rab23,34077000,32285000,33126000,29419000,33692000,32519800,32791000,36828000,27918000,0,35528000,26613000,8,5,6,3,6,5.6,4,3,6,2,2,3.4
D3ZRN3,D3ZRN3,2.263779131,0.08587809,0.999991107,4.80247842,Actbl2,0,0,0,140340000,97431000,47554200,231320000,270680000,161830000,315730000,146930000,225298000,7,5,0,8,8,5.6,21,18,18,8,16,16.2
D3ZRN5,D3ZRN5,-0.238994044,0.849461924,0.999991107,0.847335933,Trove2,251140000,182770000,188130000,127370000,128210000,175524000,167200000,150760000,133520000,135160000,148080000,146944000,14,23,22,20,19,19.6,10,14,13,15,17,13.8
D3ZS06;F1LQT9;Q9Z330-9;Q9Z330;Q9Z330-8;Q9Z330-4;Q9Z330-3;Q9Z330-7;Q9Z330-5;Q9Z330-2,D3ZS06,-0.102326274,0.935200426,0.999991107,0.931529735,Dnmt1,22647000,0,26126000,29534000,21766000,20014600,18904000,19789000,0,26728000,26739000,18432000,2,0,3,5,4,2.8,2,3,0,2,3,2
D3ZS72,D3ZS72,0.146160669,0.907557594,0.999991107,1.106620588,Prex1,234270000,228130000,243580000,262620000,267760000,247272000,249580000,259400000,285380000,309150000,248060000,270314000,21,25,24,30,30,26,31,27,27,38,28,30.2
D3ZSA9,D3ZSA9,0.111203983,0.929593869,0.999991107,1.080129269,Nomo1,246580000,282420000,268200000,286330000,287870000,274280000,269230000,263140000,319950000,325090000,285200000,292522000,23,28,23,40,23,27.4,23,24,24,33,27,26.2
D3ZSF3,D3ZSF3,-1.173278903,0.357603504,0.999991107,0.443412423,NA,514320000,491680000,467790000,328180000,543170000,469028000,487220000,389040000,0,154870000,0,206226000,12,11,15,10,9,11.4,12,12,0,4,4,6.4
D3ZSF9;B2RZD5,D3ZSF9,0.299555978,0.812016926,0.999991107,1.230765559,Rpl22l2;LOC688712,50752000,50572000,51444000,44811000,42360000,47987800,83247000,55806000,51329000,38191000,62632000,58241000,9,9,8,4,5,7,5,5,6,3,3,4.4
D3ZSP1;D4A8M5,D3ZSP1,-0.219060975,0.861872977,0.999991107,0.859124444,LOC100361838;Snrpep2,81244000,70906000,107390000,64507000,72280000,79265400,94150000,59678000,73658000,0,107020000,66901200,7,8,13,9,7,8.8,8,10,7,5,7,7.4
D3ZT71,D3ZT71,-0.479420621,0.703875529,0.999991107,0.717265616,Bcl2l13,51737000,67248000,65076000,40254000,53251000,55513200,52270000,43019000,42608000,32329000,26434000,39332000,7,8,9,9,6,7.8,5,4,5,2,4,4
D3ZT90,D3ZT90,-0.686348336,0.58722737,0.999991107,0.621424774,Gcdh,40332000,40435000,36759000,35042000,44330000,39379600,0,24986000,30500000,29859000,35401000,24149200,7,6,7,5,7,6.4,3,4,3,2,2,2.8
D3ZTB5,D3ZTB5,-0.291534746,0.816951583,0.999991107,0.817032433,S100a13,30884000,33062000,66506000,37454000,37005000,40982200,32536000,26617000,30085000,38675000,37374000,33057400,2,2,4,2,2,2.4,2,2,2,2,2,2
D3ZTJ0;A0A0G2JUM3,D3ZTJ0,-1.749085001,0.176846929,0.999991107,0.297490396,Rp2,9120300,10628000,8740100,11053000,7949400,9498160,5551300,8409500,0,0,0,2792160,4,3,2,2,2,2.6,2,2,0,0,0,0.8
D3ZTP0,D3ZTP0,2.741299991,0.041227709,0.999991107,6.686725951,Aldh1l2,0,22317000,0,22485000,0,8960400,47580000,58098000,58672000,72294000,57609000,58850600,0,2,0,2,0,0.8,6,6,9,9,7,7.4
D3ZTT7,D3ZTT7,-0.103025261,0.934758875,0.999991107,0.931078517,Sun2,171330000,190490000,204460000,202050000,186820000,191030000,165780000,177170000,167080000,200980000,167360000,175674000,15,24,21,24,21,21,13,12,13,16,12,13.2
D3ZTX0,D3ZTX0,-0.206193288,0.869905047,0.999991107,0.866821422,Tmed7,192240000,164520000,160320000,140760000,159600000,163488000,169250000,129020000,125850000,135810000,139980000,139982000,16,11,14,9,8,11.6,10,14,12,8,8,10.4
D3ZU48,D3ZU48,0.486511754,0.699725979,0.999991107,1.401053216,LOC102556972,0,11488000,12797000,10134000,12365000,9356800,11598000,13619000,13866000,12697000,12826000,12921200,0,3,2,2,3,2,2,2,2,2,2,2
D3ZU74;Q6AZ35;G3V9V3;Q62871-3;Q62871-2;Q62871;Q13409-3;Q13409-7;Q13409-2;Q13409;Q13409-6;Q13409-5,D3ZU74,0.423176843,0.737118245,0.999991107,1.340876944,Dync1i2;DYNC1I2,301770000,348840000,396960000,361430000,359590000,353718000,421430000,460960000,504710000,508070000,446340000,468302000,16,22,21,22,25,21.2,22,22,23,26,15,21.6
D3ZU83,D3ZU83,0.799166171,0.528003886,0.999991107,1.74009512,Ergic3,13229000,12226000,14436000,0,16759000,11330000,17142000,18150000,24998000,15806000,21344000,19488000,3,3,3,0,4,2.6,3,3,4,4,3,3.4
D3ZUB0,D3ZUB0,0.46198597,0.714117945,0.999991107,1.377436651,Rcn1,61157000,59791000,79344000,79802000,75753000,71169400,77451000,105940000,112040000,95621000,92703000,96751000,11,8,13,11,10,10.6,8,10,9,7,9,8.6
D3ZUB7,D3ZUB7,-0.665628883,0.598460376,0.999991107,0.630413842,Anapc4,0,19518000,26532000,25972000,27210000,19846400,0,28590000,0,33708000,0,12459600,0,5,4,5,4,3.6,0,4,2,8,0,2.8
D3ZUC9,D3ZUC9,-0.037630562,0.976145051,0.999991107,0.974253719,Oxsr1,49433000,40225000,38938000,32107000,34357000,39012000,38428000,45525000,35921000,41140000,26965000,37595800,9,7,6,7,5,6.8,7,6,8,8,5,6.8
D3ZUD8,D3ZUD8,0.320529475,0.799153129,0.999991107,1.248788775,Tm9sf3,82900000,92757000,86170000,71705000,83719000,83450200,117930000,101100000,120040000,92179000,83284000,102906600,8,8,4,10,8,7.6,7,12,8,9,5,8.2
D3ZUF9;A0A0G2K6D5,D3ZUF9,-0.01637199,0.989620016,0.999991107,0.988715949,Pitrm1,105310000,109170000,112920000,116360000,102060000,109164000,101020000,102410000,117110000,103500000,108490000,106506000,9,19,18,18,13,15.4,12,13,12,17,13,13.4
D3ZUM4,D3ZUM4,-3.656372579,0.008922901,0.999991107,0.079308946,Glb1,88103000,97047000,81572000,46303000,66852000,75975400,0,0,0,30288000,0,6057600,11,10,9,9,6,9,0,3,2,5,2,2.4
D3ZUP5,D3ZUP5,-1.569660409,0.223054762,0.999991107,0.336887684,Brk1,20114000,14729000,20130000,17420000,16989000,17876400,0,0,0,14231000,15531000,5952400,2,2,2,2,2,2,2,0,0,2,2,1.2
D3ZUT9,D3ZUT9,-0.289003326,0.818510351,0.999991107,0.818467295,Ints3,0,23171000,25246000,27358000,31461000,21447200,0,30919000,25813000,30226000,0,17391600,2,3,5,4,7,4.2,0,3,2,2,2,1.8
D3ZUX5,D3ZUX5,-0.338340125,0.788275722,0.999991107,0.790950807,Chchd3,117360000,114900000,140060000,112900000,134270000,123898000,95130000,116670000,87588000,92562000,91992000,96788400,16,11,12,10,11,12,9,10,6,7,9,8.2
D3ZUX7,D3ZUX7,-0.677846871,0.591823788,0.999991107,0.625097496,Acsf3,122370000,124350000,95405000,76177000,85109000,100682200,83912000,63182000,73355000,43064000,47159000,62134400,11,15,12,13,12,12.6,10,15,9,5,4,8.6
D3ZUY8,D3ZUY8,0.037863731,0.975997288,0.999991107,1.026592575,Ap2a1,817320000,894250000,897740000,926200000,8.60E+08,879102000,843690000,875620000,922910000,987850000,826310000,891276000,38,52,51,53,49,48.6,40,40,47,45,45,43.4
D3ZV91,D3ZV91,-0.539645459,0.668955603,0.999991107,0.687939949,L3hypdh,30461000,31971000,30878000,30898000,32603000,31362200,21285000,21559000,24469000,22197000,17056000,21313200,11,6,8,8,9,8.4,2,3,5,2,4,3.2
D3ZVQ0,D3ZVQ0,0.311644646,0.804595467,0.999991107,1.24112175,Usp5,804720000,903280000,921840000,962280000,966060000,911636000,1037300000,1041700000,1164800000,1256100000,1086600000,1117300000,41,60,60,69,57,57.4,55,43,54,51,59,52.4
D3ZW08,D3ZW08,0.09136107,0.942130163,0.999991107,1.065374806,Adsl,92732000,77530000,70085000,81671000,75145000,79432600,76606000,86241000,92215000,82488000,80264000,83562800,10,12,9,11,10,10.4,12,12,8,11,6,9.8
D3ZW15,D3ZW15,-0.000130068,0.999917533,0.999991107,0.999909848,Sec24b,62933000,59700000,54656000,89578000,88967000,71166800,77591000,60865000,58699000,95535000,59115000,70361000,7,8,6,9,10,8,9,6,6,15,6,8.4
D3ZW38,D3ZW38,-2.428373705,0.067099931,0.999991107,0.185774745,Exosc6,11898000,11472000,9592400,11219000,10115000,10859280,9960300,0,0,0,0,1992060,3,4,0,3,4,2.8,3,2,0,0,0,1
D3ZW55,D3ZW55,0.038554987,0.975559234,0.999991107,1.027084577,Itpa,140810000,128830000,142570000,147830000,148070000,141622000,164480000,142990000,118250000,132140000,159900000,143552000,10,10,11,9,9,9.8,8,6,5,6,5,6
D3ZW58,D3ZW58,0.169039531,0.893175919,0.999991107,1.12430973,Casc4,23564000,0,21427000,23526000,23499000,18403200,23920000,28890000,0,26098000,23491000,20479800,0,2,4,6,4,3.2,3,3,2,5,2,3
D3ZWA8,D3ZWA8,0.161510714,0.897904565,0.999991107,1.118457715,Appl1,100440000,96727000,111610000,111310000,103740000,104765400,109280000,118730000,112810000,118490000,119060000,115674000,8,12,12,14,12,11.6,14,12,16,14,15,14.2
D3ZWS0,D3ZWS0,-0.386653468,0.759002388,0.999991107,0.764901845,Scrib,90590000,81209000,92407000,120470000,133940000,103723200,87960000,76172000,86205000,107750000,34606000,78538600,11,13,9,16,19,13.6,7,7,11,13,5,8.6
D3ZWZ6,D3ZWZ6,-0.200769228,0.873295213,0.999991107,0.87008652,Igf2bp2,41680000,47421000,50867000,30148000,52973000,44617800,40361000,47801000,26769000,31751000,44954000,38327200,3,5,7,5,3,4.6,3,6,3,8,2,4.4
D3ZX42,D3ZX42,0.248782084,0.843382216,0.999991107,1.188203616,Rabgap1,39138000,40612000,36472000,42261000,44844000,40665400,42670000,39173000,47270000,61618000,48004000,47747000,5,7,3,9,5,5.8,7,4,5,10,7,6.6
D3ZX87;P62902;D3ZKU5;D4ABZ9;D3ZK34;D3ZU04;D3Z8W1;A0A0G2K7E3;D4ACQ2;D3ZVY6;D3ZZ60;D3ZVF5,D3ZX87,-0.345268497,0.784056437,0.999991107,0.787161466,LOC100910017;Rpl31;RGD1564839;Rpl31l4;RGD1565894;LOC102550734;LOC680384;LOC690384;LOC100359986;LOC681356;Rpl31l3,564130000,546440000,643360000,489190000,622320000,573088000,604580000,272110000,337870000,470090000,542270000,445384000,13,10,15,11,9,11.6,10,9,7,10,9,9
D3ZXA6,D3ZXA6,0.167245328,0.894302451,0.999991107,1.122912355,Pdpr,23307000,28579000,24040000,19958000,25922000,24361200,21634000,25695000,26350000,33884000,27617000,27036000,2,2,3,3,3,2.6,3,5,5,4,5,4.4
D3ZXH7,D3ZXH7,-0.158391741,0.899864675,0.999991107,0.896023366,Alyref,145930000,136010000,130890000,136050000,153610000,140498000,125830000,160940000,101400000,109170000,124200000,124308000,12,11,11,10,9,10.6,9,7,3,10,4,6.6
D3ZXJ5,D3ZXJ5,0.250292519,0.84244493,0.999991107,1.189448262,Eftud1,25178000,32131000,32314000,34476000,27256000,30271000,32284000,31639000,37149000,37242000,39271000,35517000,3,6,2,7,5,4.6,4,5,6,5,5,5
D3ZXP3,D3ZXP3,-1.197426227,0.348055305,0.999991107,0.436052507,H2afx,348790000,335250000,174490000,241620000,214940000,263018000,69456000,149830000,345550000,0,0,112967200,23,22,23,22,5,19,17,15,17,10,12,14.2
D3ZXS8,D3ZXS8,-0.098897501,0.937366785,0.999991107,0.933746282,Ube2k,75786000,74866000,71507000,80230000,71931000,74864000,86066000,72380000,67885000,63344000,55466000,69028200,9,7,6,6,7,7,7,7,5,3,3,5
D3ZXT2;A0A0G2K4D9,D3ZXT2,-1.026671729,0.419401111,0.999991107,0.490841205,Stag2,28506000,47888000,42538000,45710000,43667000,41661800,17617000,22935000,0,40082000,20694000,20265600,6,10,7,9,6,7.6,2,2,0,7,2,2.6
D3ZYD7,D3ZYD7,-0.196811415,0.875770552,0.999991107,0.872476746,Ccdc88a,33671000,35591000,32513000,41574000,37662000,36202200,30825000,32687000,31843000,35080000,25582000,31203400,8,6,3,11,8,7.2,4,5,4,4,2,3.8
D3ZYH3,D3ZYH3,-1.893432497,0.145591478,0.999991107,0.26916589,LOC100912928,23245000,22947000,23127000,24766000,24061000,23629200,15182000,16252000,0,0,0,6286800,6,6,6,4,4,5.2,3,3,0,2,2,2
D3ZYI0,D3ZYI0,-1.40281181,0.274013128,0.999991107,0.378191329,Gca,13666000,11759000,13619000,11971000,12577000,12718400,13705000,0,9992800,0,0,4739560,3,4,3,3,4,3.4,4,0,2,0,0,1.2
D3ZYK9,D3ZYK9,-0.002490969,0.998420656,0.999991107,0.998274882,Npm3,42703000,38141000,44487000,35440000,38185000,39791200,50096000,30473000,38254000,42945000,34497000,39253000,5,6,5,4,3,4.6,4,2,6,4,3,3.8
D3ZYR0;A0A0G2K860;Q5BMA6,D3ZYR0,0.234964574,0.85196765,0.999991107,1.176877838,Arhgef12,21433000,21832000,19602000,27548000,25447000,23172400,23492000,24557000,29286000,36618000,20860000,26962600,2,5,3,8,4,4.4,7,3,3,7,2,4.4
D3ZYS7,D3ZYS7,-0.309188029,0.806102096,0.999991107,0.807095877,G3bp1,482700000,619010000,638980000,371460000,558130000,534056000,577300000,502410000,355480000,356090000,337880000,425832000,22,36,33,33,39,32.6,28,27,30,32,26,28.6
D3ZZ21,D3ZZ21,-0.188846224,0.880756157,0.999991107,0.877307055,Ndufb6,44882000,41283000,57250000,37280000,50217000,46182400,51901000,0,37471000,41211000,69041000,39924800,9,5,9,4,5,6.4,5,2,2,2,2,2.6
D3ZZ62,D3ZZ62,-0.12380783,0.921640758,0.999991107,0.917762122,Xpot,53794000,65103000,67674000,78071000,67309000,66390200,41163000,64630000,66889000,74161000,54058000,60180200,6,9,7,11,7,8,2,8,6,10,6,6.4
D3ZZA8,D3ZZA8,0.235718496,0.851498698,0.999991107,1.17749301,Sec24a,105070000,124400000,123710000,128610000,137680000,123894000,158500000,124360000,142690000,157590000,137160000,144060000,10,20,15,21,21,17.4,19,14,19,18,13,16.6
D3ZZC1,D3ZZC1,0.105452621,0.93322563,0.999991107,1.075831861,Txndc5,391360000,442460000,366190000,471980000,422020000,418802000,413020000,437710000,559820000,388780000,422770000,444420000,35,35,27,30,25,30.4,32,36,31,24,23,29.2
D3ZZF8;A0A0G2JVP5;B2RZ22,D3ZZF8,0.508107915,0.687150539,0.999991107,1.422183787,Paip1,49638000,58433000,56563000,61723000,49833000,55238000,90825000,79822000,90951000,65091000,60878000,77513400,7,10,7,6,9,7.8,10,7,8,6,6,7.4
D3ZZN3,D3ZZN3,-1.357474134,0.289264531,0.999991107,0.390264967,Acss1,2053400000,2631700000,2548700000,1826900000,2379600000,2288060000,1037300000,951510000,774860000,742780000,900360000,881362000,81,105,117,113,107,104.6,30,47,36,58,38,41.8
D3ZZR5;D3ZLF6,D3ZZR5,-0.18208168,0.884994478,0.999991107,0.881430253,Snrpa1,134100000,115530000,119620000,117440000,110160000,119370000,121440000,110440000,89305000,91836000,106320000,103868200,21,18,15,12,13,15.8,9,10,10,5,7,8.2
D3ZZW1,D3ZZW1,0.219317845,0.861712843,0.999991107,1.164182991,Dock1,129550000,127520000,116210000,143630000,161800000,135742000,138710000,139330000,167470000,177440000,157430000,156076000,10,17,11,18,21,15.4,17,16,16,20,17,17.2
D3ZZZ9,D3ZZZ9,0.028509687,0.981925744,0.999991107,1.019957958,Ctnnd1,533350000,534930000,574060000,605620000,566380000,562868000,544390000,606270000,536280000,584830000,562360000,566826000,39,47,45,45,53,45.8,32,35,32,42,33,34.8
D4A017,D4A017,0.461779509,0.71423921,0.999991107,1.377239543,Tmem87a,0,17297000,0,13875000,20154000,10265200,18063000,16638000,18003000,17211000,0,13983000,2,4,0,2,2,2,3,2,2,3,2,2.4
D4A022,D4A022,-0.230563181,0.854706526,0.999991107,0.852302116,Gapvd1,37575000,36473000,32020000,33267000,30345000,33936000,29899000,21792000,29675000,31370000,30061000,28559400,6,7,4,3,5,5,2,5,4,6,2,3.8
D4A031,D4A031,0.127162885,0.919525105,0.999991107,1.092143845,Ddx42,88145000,105470000,114040000,116920000,135550000,112025000,102420000,127050000,129930000,122380000,122040000,120764000,7,14,8,11,12,10.4,10,9,12,17,12,12
