lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-C1-Cells_r1,EKO-C1-Cells_r2,EKO-C1-Cells_r3,EKO-C2-Cells_r1,EKO-C2-Cells_r2,EKO-C2-Cells_r3,EKO-C3-Cells_r1,EKO-C3-Cells_r2,EKO-C3-Cells_r3,WT-C1-Cells_r1,WT-C1-Cells_r2,WT-C1-Cells_r3,WT-C2-Cells_r1,WT-C2-Cells_r2,WT-C2-Cells_r3,WT-C3-Cells_r1,WT-C3-Cells_r2,WT-C3-Cells_r3,blank
PCo(40:6),0.17139497747588223,8.881691002359531,3.72789451187347,0.053510806031815246,0.18157809534487326,820.6 -> 184.1,PC,4177.9202957159,4048.9403419498,3366.9802131668,4492.3003807071,3728.0803031896,3528.660232544,3622.9002037034,4282.7002906801,3723.9002532949,3990.4602584836,3096.4001770032,3038.5202026374,3128.9602203363,4010.040233614,3981.5003013604,3601.0002403266,3404.8002586367,3413.3402137766,1488.8201065067
SM (d18:1/24:1)15Z)),-0.1680798794948316,11.942451247540458,3.635762528112082,0.05655069388809809,0.18618228449312293,813.7 -> 184.1,PC,29597.8217430033,28193.2420272831,26330.8016090416,29473.0620841883,30343.7421150217,29936.2422790638,28831.7819137806,27335.7817649779,26962.9018936104,30439.7022399849,30039.9216995111,28294.5620422339,36710.0423965315,35542.3825378349,35704.0422668486,32766.2622451812,31481.5823440541,33864.7022399978,15759.3212776419
Lyso_PC(16:1),-0.1650717456716089,9.982876419800567,3.487735877097257,0.06182508743229186,0.2004631622804615,494.3168 -> 184.1,PC,9708.1806869551,8048.4005660928,6668.3204688968,8029.9405441253,7201.6004714995,7605.2006111141,6556.4605178825,7164.5004501356,6488.7204284676,7719.8805236806,7850.6805877753,7914.6205787589,8201.3204689021,9106.7206306447,9630.3006210281,9443.9806137107,8452.7206916837,8584.9605407685,2524.0202026366
Lyso_PC(20:0),-0.16600366262002664,8.057330656141094,3.4518905385946894,0.06317946561965454,0.2017970991433742,552.3951 -> 184.1,PC,1783.6001319875,1502.3801155103,1664.6401176458,1992.2801361071,1993.0201492313,1874.2601432794,2268.5401573177,2328.0201454158,1648.5801162717,2400.3201637268,2618.4001884484,2493.3801650999,2299.5601615905,2189.8001747126,1950.5601387019,1837.3001213066,1719.3201370247,1945.2201156623,1487.4201164254
PC (36:3),-0.1593215316451193,12.861471744416665,3.2700351292240835,0.07055611275487883,0.218826204776001,784.6 -> 184.1,PC,59798.123779292,51971.603912345,52456.743957522,57902.683883669,60331.304077154,62570.864288325,53272.724090579,55105.90399169,52762.783874504,59796.723999024,56281.723815918,56042.184173592,73281.525573747,75656.2250747587,68355.924743647,62156.74433898,62160.764068607,63731.064773538,5613.9203796379
PC (42:4),0.1620429460950127,7.909736352302868,3.279405177847046,0.07015435051306954,0.218826204776001,866.7 -> 184.1,PC,1746.6401100164,1952.3401489265,1690.5801353444,2176.620155334,2265.0201721196,2006.5601348872,1765.8001213075,1644.7001037603,2014.2601432797,1691.7201118472,2005.1201362599,1722.0001106257,1631.0201225283,2025.1401367185,1958.6601371772,1624.3601036068,1375.2800941468,1685.1401138302,1346.8200988768
C18:0,0.1532916097547558,16.24415173953006,3.0300144962784543,0.08173728625305451,0.24988256083076665,283.3 -> 283.3,FFA,824399.679260485,523329.593933197,519487.055206269,773028.018463177,672363.451721128,680343.621185242,563146.340148862,604273.244506795,591041.540374595,667875.64602667,564198.944061173,585686.084655732,644473.606872338,604258.544128414,591227.444580061,539969.800079072,527562.957565346,523520.418243472,238026.458847061
SM (d18:1/18:1)9Z)),-0.15018383276542396,11.447514482479319,2.9010554169059124,0.08852157580872622,0.26681151018404803,729.6 -> 184.1,PC,23088.701354969,20105.6615867577,20577.921405799,22594.4414825563,21466.9016418287,22609.741561887,19624.5413665758,20408.8814697258,19635.8416175713,23210.041381838,21187.2814407284,20586.4415474033,26497.3619232306,26857.3618163907,27290.7017478965,21933.1615028313,23393.8818054128,24497.4818229662,2693.7602157585
PC (42:3),0.14898570186237511,7.601567084855294,2.751161577455738,0.09718380237212576,0.2888518570504849,868.7 -> 184.1,PC,1674.3801078787,1604.3001022346,1428.0201148991,1473.5401039124,1401.580108642,1574.8601074215,1570.1401100162,1594.5601119997,1483.8801078794,1354.4400939938,1537.8801078794,1236.9800872806,1263.5400848394,1268.8000831603,1643.7601242065,1675.7601242067,1304.3400840759,1384.0000953669,1175.7200889584
PCo(32:1),0.14054378792222635,11.821054748958119,2.542256683001724,0.11083627214024581,0.32491729093167954,718.6 -> 184.1,PC,33456.902152993,28543.2020187356,27837.7419891335,31657.542099002,31310.2621116507,29382.30226899,30013.5221748366,31099.162139894,28815.5821418751,25570.6017570574,26708.521671306,24414.4214897126,32287.9022064241,33597.942611702,30501.6415099997,27668.7616348357,26161.1213073702,25396.7016830448,3835.0202789303
PC (40:10),0.1383778243080218,8.26997408658002,2.4097490713352983,0.12058169312600661,0.3487092206616948,826.5 -> 184.1,PC,2662.6801757811,2516.0801811199,2414.1001548751,2767.100208283,2210.9401512144,2369.1601638796,2839.8802070622,2288.2001724244,2320.680164337,2459.3402061461,1899.3401374813,2034.4001541145,2446.0401649469,2676.3001747136,2269.6801528935,2212.7001571663,2419.120162962,2363.6401519763,1235.7000961304
Lyso_PC(20:4),-0.1371747261787607,7.896682573072652,2.3502620948108977,0.12526194546419583,0.3574140843911721,544.3325 -> 184.1,PC,1934.8401222242,1769.9401168826,1718.5801239024,1795.0801162722,1847.6001586927,1715.1801223756,1449.7400932303,1669.700115203,1649.7401313776,1938.8401298514,1656.1001243591,2043.2001609802,1867.700134277,2003.4001464849,1963.3401603701,2140.9201583849,2035.9201278689,1750.2401275629,1189.5200843815
C26:1,-0.1293886321515674,16.306325198713488,2.1590455321015725,0.1417327055800079,0.3990894604489696,393.3 -> 393.3,FFA,591201.383361851,558643.897293174,562956.05998219,564354.963798656,601034.321380631,611440.064834385,687616.006817088,695116.62968445,715041.350166264,709026.311538522,671249.868515101,677188.823730406,727940.656521051,749347.071418976,753192.816947852,656741.608154108,645337.706008983,655833.124771103,19580.181320189
C16:0,0.1269885463290071,16.35567771522799,2.07971814222401,0.149267736839137,0.4148479958905885,255.3 -> 255.3,FFA,928411.468871955,554575.618591425,559497.818969775,815876.751983618,716068.626586938,737194.677002119,608732.02093477,656975.267669545,623007.865997071,762936.1348266,646293.384368903,657988.105972363,706258.452209301,665902.608459537,645669.449371296,555385.675262264,564157.460357726,553321.155853416,212711.674194336
C20:5,0.12526729478351328,11.67092979080829,2.0190406376238457,0.15533725652859245,0.41778797576050486,301.3 -> 301.3,FFA,26125.1019516023,26148.2619094829,27630.881988524,23694.141723632,26473.1618881191,27371.0419235245,23617.3015823366,23920.8017807028,24392.8217887867,23894.9416427593,24898.161823268,23297.2014884973,23127.9215927146,22963.781570433,24514.1416091947,24260.9617233288,22135.4415931688,24969.9417343102,20526.2014312782
Lyso_PC(20:1),0.12587543875220505,8.38279676184516,1.9978025143131788,0.1575274432973126,0.41778797576050486,550.3794 -> 184.1,PC,3397.6402320874,3011.6801948539,2494.0001792897,2399.9601554869,2589.5001792907,2532.260204314,2661.1202049265,2683.5402183533,2450.9401779171,2656.7001838681,2404.1201858528,2702.1401786811,2371.5801773056,2222.8201713566,2602.0601921091,2382.5601615906,2397.7801742548,2780.3002166748,1257.3800964357
PC (40:7),-0.1261912523499493,8.645768248240843,2.0154935843039716,0.15570062918740324,0.41778797576050486,832.6 -> 184.1,PC,2998.7201881427,3476.9602584849,2487.4401626583,3217.9202346803,3139.7402153011,2481.7001800547,3163.32024002,2877.4601936331,2811.2801895149,3187.9402160639,2953.3001937866,3176.7602157597,3802.2603034966,3672.5602417001,3471.2802848817,2626.8401985159,3525.1402511603,3297.0002021785,1431.160095215
PC (42:7),0.12663661964275633,7.674478004115367,1.9919733502294488,0.15813470110561165,0.41778797576050486,860.6 -> 184.1,PC,1618.7401313791,1740.1201362606,1416.0401039115,1547.6400947563,1558.1401100155001,1575.500118255,1652.5601196294,1679.9801368709,1665.600120546,1858.7801551811,1676.9001274109,1352.980091095,1554.6201210035,1494.1001129145,1263.9801101682,1287.5800857544,1487.0400962821,1499.0801086418,1176.7801017763
C14:0,0.12359961194351521,13.36804536193061,1.968961514818262,0.16055813445956052,0.41901757041885307,227.3 -> 227.3,FFA,99083.147170999,82500.885650638,83355.286346468,97257.666870104,83711.945800775,84462.106231684,72092.88536072,76699.445266755,76105.165435762,89960.066390967,77643.645462043,80838.145538325,88370.066192658,81275.365478486,75709.385299682,68027.684768669,72199.145324688,70961.045242312,54649.503845207
C17:0,0.12237888191502883,12.79809403239894,1.9295734547408756,0.16480511864096437,0.41986065939483774,269.3 -> 269.3,FFA,67337.964767447,50358.2633819758,48797.483383184,65434.664794926,58579.204208375,58254.324218742,52624.96370698,54421.564010618,49861.003829973,56443.704605113,50713.423332207,52449.643936164,54628.943992628,54985.083984376,52135.023773201,48451.543548591,50326.483596813,51740.663558946,40828.862838747
Lyso_PC(2:0),0.12515315033916752,7.475013467906727,1.9330716995992665,0.16442277695594756,0.41986065939483774,300.1134 -> 184.1,PC,1651.8201179495,1401.9800987247,1426.3600883486,1292.9800949099,1310.0600929259,1287.6800956725,1254.7600822446,1302.4800720222,1371.7800827024,1267.4201011657,1358.5601043705,1203.8600807191,1236.1000900267,1183.780078888,1232.6200904846,1458.3001174927,1331.140087127,1192.8000793459,1384.0801010132
C26:0,-0.11876771236157521,15.040272877090528,1.8190023656993608,0.1774320737914683,0.44151702082993277,395.3 -> 395.3,FFA,258934.638915997,231704.836502079,234809.396118204,241899.977840418,246094.398338355,250162.437324546,278958.837471016,284580.121860494,291030.35912319203,306272.921524046,280959.600990286,286533.099700985,303340.88056183,293600.680282599,301941.54084777,274403.039146435,261401.857757567,260362.37741851,28102.9420165958
PC (36:2),-0.1190490228410925,13.961458066705227,1.8271768326785605,0.1764613681955101,0.44151702082993277,786.6 -> 184.1,PC,126465.888793869,114565.887786785,107325.627746653,126263.369628968,134726.06909175,126709.108612029,121149.208419739,118007.548339832,116406.249267526,129656.588806117,123495.488098087,116693.00872791,158863.312072742,152109.290313653,152535.269409155,120165.6285094,130341.408203166,127752.188476519,23948.5619277688
PC (40:2),0.11929472372556342,8.027074671816262,1.781074965257794,0.18201738228501377,0.4477209173447465,842.7 -> 184.1,PC,2433.7401771537,2062.5201797484,2083.2001190178,2254.0601730357,2067.1601333621,1497.1601142886,1842.2401466378,1822.1201133722,1996.8601608277,1827.2001228338,1768.4801368713,1727.2401237468,1922.8401260389,2254.6401596082,1885.5801200867,1738.2401275631,1818.1801376341,2014.2201576219,1965.1601486205
PC (40:4),0.11559373616849755,10.043707126842248,1.7113805044915438,0.19080635503156396,0.4640063633722123,838.6 -> 184.1,PC,8119.0005912787,8559.2406997671,7465.0405578601,9635.5807762206,9479.1406631476,8513.3806877151,9339.8606338482,8747.3006439226,8148.7605056757,8331.3205299407,7560.420528413,7483.3204803477,9291.3006553611,8622.2005653331,8859.6406783982,7337.6804733261,7687.5806427012,8345.9605445811,1865.8201408388
C24:1,0.113455833808456,12.923120826608368,1.658724400020816,0.19777564083850388,0.47296036246308243,365.3 -> 365.3,FFA,63901.124259924,66912.504592897,68388.0647582603,61868.7643737505,64620.8044967561,66753.464744563,58321.7043304416,57893.0642700205,59044.5042266713,59654.363967925,59058.604251852,60055.3441238251,59435.2642211738,58496.7244186224,63743.624832168,58427.5843429352,58211.964225742,57538.2840804899,20766.141502381
PC (32:3),-0.11205383638933883,11.984235671043884,1.6166345024763586,0.20356169743571154,0.47296036246308243,728.5 -> 184.1,PC,33772.2424163786,30844.64251707,29570.9422454859,33310.442474369,32220.522399904,32280.5223388635,31206.4625701916,30115.0822219819,27946.6820907501,32040.1425094646,29935.4221725636,31071.3223037693,39084.0029334951,39477.862693791,38206.4024238623,33138.1218261639,34180.1427459881,33402.2621994011,1750.7001152051
PC (36:1),0.1098781407113316,11.988915204950269,1.5543909954691202,0.21248837993507946,0.47296036246308243,788.6 -> 184.1,PC,33027.04261399,30982.102500923,28097.7420654339,37878.603149396,33889.142410277,31858.302307121,33575.342224111,31718.442298908,33109.242515563,29825.582107543,29263.7422714197,27679.4423828175,34093.5430145239,36736.623054504,33940.222709669,28386.061920175,31272.902259834,27344.08207703,14336.3008880579
PC (40:6),-0.11016626519578718,8.938900131281038,1.541603872842166,0.21437922971457474,0.47296036246308243,834.6 -> 184.1,PC,3794.7602500915,3603.6002426136,3453.7802276608,3754.0602951039,3759.9602584834,3540.800254823,3995.1403045666,3620.6202278128,3437.3202896122,3915.8602485677,3865.300296783,3833.1002960212,4686.4603500381,4592.640289306,4231.900291443,3816.040233612,3634.3002433786,3771.6002464298,1606.3401222238
PC (42:9),-0.11320757951749393,7.498371151903409,1.5838288083151362,0.2082100454759528,0.47296036246308243,856.6 -> 184.1,PC,1362.9801063536,1244.0800933839,1397.5000991824,1325.0400924685,1132.6200714114,1247.9400901793,1202.6200828552,1465.780105591,1288.8600883486,1149.6600875855,1319.8000907902,1565.8401069644,1483.6001091009,1522.5401115418,1403.1400985711,1632.6601219171,1624.6201210019,1170.6800727846,1175.1800880432
PCo(42:4),0.11489792431579811,7.57004125550791,1.6350705661954272,0.20100315000565072,0.47296036246308243,852.7 -> 184.1,PC,1367.6200904841,1563.2001075737,1348.0400962824,1674.9401092531,1273.0000953676,1431.1201019282,1475.1801223751,1606.4201164245,1583.5401153556,1253.7800865177,1266.1600913996,1548.7201042172,1442.6400985715,1396.0601043705,1361.7600975028,1560.7000923163,1395.7601013178,1314.9001007085,1166.5200843811
SM (d16:1/24:0),-0.11022884441460228,12.840749027904101,1.5656560941397863,0.21083897724486006,0.47296036246308243,787.7 -> 184.1,PC,58257.544677726,52093.243545516,49017.923400873,56919.723983769,59771.723846421,55880.323928836,56048.763771052,55397.563980087,56474.983123793,58438.764053331,55903.104080206,54185.862823498,71675.2251968089,72694.185501096,69652.644424445,56175.463981631,58177.004623401,54994.664367691,15561.8409767029
SM (d18:2/14:0),-0.11217840717879284,7.452377847671832,1.5532970468190328,0.21264936677260363,0.47296036246308243,673.5 -> 184.1,PC,1202.3200721738,1167.2400894167,1283.840087891,1410.340103149,1126.8000869754,1128.2800865173,1355.0000877387,1297.7200927736,1387.5601005555,1456.280101776,1436.9801063538,1532.1400909426,1490.8401107783,1093.0600814816,1260.240085602,1585.7801132196,1247.4200897217,1386.3000869747,1051.0400695802
SM (d18:2/24:1),-0.11200618366441824,11.049337159313513,1.6124725749492868,0.20414458229324972,0.47296036246308243,811.7 -> 184.1,PC,17692.4411621219,15977.4411010712,15182.220924369,16913.8810043297,16789.201095582,16042.6012954806,15147.1812973023,14904.1410751365,15291.5209007199,16978.0011787462,16688.1212921095,16147.2211379801,19446.2414512703,20520.4416046163,18431.2015533326,17859.1812782232,17382.3011321997,15319.3611526436,5050.7403602613
PC (44:5),0.11070450649973292,7.344437190413943,1.5065878097819017,0.21966049551683015,0.4796667963326699,892.7 -> 184.1,PC,1099.1200752258,1187.2400703432,1327.6800842284,1179.7000885005,1343.300102234,1270.8000984191,1201.6800842288,1318.9600906368,1246.540100098,1129.9400749208,1108.8800849912,1135.3400726317,1167.9000740052,1271.2200965882,1221.1000938414,1104.6200675966,1222.2200851441,1209.2600898739,1237.7800827023
C17:1,0.10672519783873118,11.558313899023329,1.4654915111660785,0.22605838105404835,0.48865144995521564,267.3 -> 267.3,FFA,31132.5822715773,25960.2418785096,25668.0618476865,24578.6817131044,24912.8215980544,24946.2416992241,18911.1813736006,18615.9413719196,21245.6415023803,26963.5219764747,22763.3215789815,22228.1616592412,29759.6222076433,24064.5217590316,23206.7416534414,18526.9812889087,17801.921157837,18993.3013458257,13673.1409568842
SM (d18:1/26:0),0.10588939344113144,7.63780270056808,1.390835570783043,0.23826404242140592,0.5098850507818087,843.7 -> 184.1,PC,1621.2401275643,1604.4001197815,1490.3801193235,1353.7400817874,1442.2201042184,1755.9401397708,1340.6800842284,1621.1801223753,1577.0601043693,1534.9801139827,1472.540107727,1401.3600997926,1467.2201156606,1262.4800872806,1542.8401145922,1289.8000869755,1588.0201225287,1493.6200828545,1387.6000938415
SM (d18:1/26:1)17Z)),0.10112914102698681,8.270965369001377,1.2868443669322147,0.2566303090543479,0.5437513478973313,841.7 -> 184.1,PC,2563.1201515196,2247.5601844789,2295.9801673879,2678.6601829524,2471.7001609804,2125.6001892086,2338.8801498414,2612.5202026358,2475.9801597596,2087.3201599136,1819.7201385497,2170.640159606,2839.7602195735,2530.6601867673,2122.1201477037,2358.3601608272,2245.2801437368,2596.260189056,1631.9601097123
C20:4,0.09736756202131172,11.522852054319133,1.2197362291234768,0.26941242336462307,0.5544527461651323,303.3 -> 303.3,FFA,26752.221862793,22507.0216827378,21759.7416000338,24770.5017738335,24148.6617736786,23450.7616500857,21927.1816558804,22926.3615989694,21602.3416290304,21711.1615600558,20936.5414695708,21566.9414710994,23936.9017219452,24345.2817497265,22351.2816619838,21600.8014678974,20957.2014160122,22347.3016090363,13304.8209495521
PC (44:2),0.10028586605435241,7.369614356062574,1.237881258283636,0.2658797780582241,0.5544527461651323,898.7 -> 184.1,PC,1263.5000991822,1284.6600952148,1292.7000808719,1363.660095215,1241.7600975031,1271.220088959,1242.2200965881,1270.1000823978,1200.5400733948,1162.1600799559,1103.3800811766,1157.5200767518,1344.4201049807,1149.7000846864,1338.7600898739,1175.5200843812,1211.5200767513,1236.6400871277,1157.5800895688
SM (d18:1/16:0),-0.09725363568683892,14.042453389709896,1.2195261208539705,0.26945367103352225,0.5544527461651323,703.6 -> 184.1,PC,128563.329956057,121604.210113538,119404.889373809,142537.991760301,136332.869552717,134425.487731937,125985.289550805,125132.908202912,120110.888275146,126089.348724449,130556.970123306,118777.208785912,161945.911392242,159723.77407847001,155290.973114004,136208.390121539,138219.770248343,135204.768325665,37158.8032455607
Lyso_PC(15:0),0.09309299998943353,7.6146363568826505,1.0745484394433866,0.2999203164365154,0.6054995067680594,482.3168 -> 184.1,PC,1341.1800956731,1542.2801284788,1468.5801162722,1349.2000770572,1579.8401222233001,1891.2001342779,1352.7401084897,1632.7001113884,1410.2201042168,1388.4600944515,1372.540092469,1362.5600891114,1289.5600929263,1632.8401184083,1402.3600997923,1482.280101777,1659.8201065066,1377.0600776668,1307.4200859066
PC (48:2),0.09373957848318233,7.216012836324831,1.0756928741775837,0.2996630915163487,0.6054995067680594,954.8 -> 184.1,PC,1186.6000785829,1141.2400932309,1112.2200813294,1097.5400848387,1109.8800811767,1138.2800827026,1179.0800781249,1094.9000778197,1135.7600784302,1064.4600715636,1108.6000785829,1057.4400787352,1150.740081787,1072.400074005,1074.6200675966,1066.4800796508,1072.9400711058,1067.6400794982,1111.8800811767
PC (38:7),-0.09080242270065103,8.746734364244256,1.0450045817444362,0.30666038830702286,0.6133207766140457,804.6 -> 184.1,PC,3241.240192412,2876.4602050776,2821.5802154532,2902.5801963807,3293.6202545168,3239.4602317804,4285.1802978524,3341.7002601616,2930.6602058404,3597.580249785,3966.8202476492,3797.1602897641,2892.1602020275,3873.24023819,3558.3602752688,3215.1202392573,3231.0802116382,3217.4402236938,1529.9600982671
Lyso_PC(9:0),-0.09083419110233844,7.5046018553684,1.0194516625078869,0.312649111650881,0.6195084249378567,398.2229 -> 184.1,PC,1429.3001174927,1205.2400817873,1258.980102539,1380.8000946044,1152.6600799561,1236.7000923161,1402.8001022349,1418.4001121521,1196.6600875854,1355.8200950619,1420.1601142885,1367.4000778199,1380.3801078792,1386.920097351,1580.2200965885,1308.3800888067,1472.4601097111,1401.7800865187,1367.9001121521
C22:1,0.08721965433399817,12.447551437652724,0.9800071656789271,0.3221970370783774,0.6325703296768143,337.3 -> 337.3,FFA,50699.5233688237,47968.863471989,49536.043632510104,47199.3235397453,45532.5428848264,46632.8235130292,38910.3028106705,39716.322769159,37444.7427291806,46079.0833511301,40972.2630538938,42664.8831787157,55119.2235717896,44815.7031402648,42531.0629539491,38604.7427368184,38114.6226272523,38639.0827827452,16971.0611953724
C22:5,0.0857451208025149,11.901158094995107,0.9464814789523786,0.33061652654499707,0.643199424369358,329.3 -> 329.3,FFA,33853.022537233,30293.2820816027,28539.8820838949,30234.542137147,28435.3620986928,28828.5221176217,28742.722045899,28215.742042544,27412.7019271899,28977.2220916732,28189.4620132449,27463.361930851,29105.162208554,28167.582069399,27204.681915285,28827.5219802858,26731.7619781495,28890.8820114136,25730.0218963637
C18:4,0.0841095297505544,11.212156880615561,0.9096303405930826,0.34021251925652934,0.6519176180706975,275.3 -> 275.3,FFA,21331.9015235881,19276.3813018784,18751.8012428274,19211.4814529352,19030.1213836664,17144.801254273,17453.9212455761,17414.9012336685,17535.2612342804,20055.5414237954,16623.281238554,18472.681316374,17784.501243592,18559.2213096631,16992.4211616503,16872.1612091062,17277.141227718,17759.1212387107,12110.1808624252
PC (36:0); PCp(38:6),0.08437468326696927,9.143971642717425,0.9059528611328354,0.3411905290837295,0.6519176180706975,790.6 -> 184.1,PC,4474.1003456108,4064.9602775562,4445.5603027345,4571.6003417958,4820.4203262334,4778.5202865585,4679.0403022763,4008.6002578732,3964.6202850335,4523.5003280632,3936.4602317824,3559.8002624502,4569.0803184501,5023.500312806,4599.1803474441,4158.6603393547,3682.3402633646,4316.4003334051,2908.0001907348
Lyso_PC(12:0),0.08243261271960027,7.750050391006423,0.8455407919344253,0.35781689460554744,0.6738642879413488,440.2699 -> 184.1,PC,1593.8001060491,1549.2801246635,1374.1200942992,1515.4201126098,1920.9601249697,1843.7401428219,1651.2401123049,2040.1601409901,1368.7400970456,1465.3001098633,1535.6401138311,1279.8400917055,2018.420131684,1759.5801315308,1257.9600906367,1684.5401153559,1583.2201232903,1734.1001281732,1451.9201011664
Lyso_PC(16:0),-0.08097137738877543,10.5741734328191,0.8414778956635764,0.3589744337631484,0.6738642879413488,496.3325 -> 184.1,PC,13018.7608795169,12212.0806732161,10608.460727699,11494.5408363282,10747.9607620233,11788.7809600692,9754.3006286608,10507.1206245461,10652.5006446799,11047.0008087064,10971.7606925869,11496.3608360239,14029.1607742179,13039.460968021,13123.0409622197,12026.9407119832,11659.720821378,11331.4408340481,8730.3005790731
Lyso_PC(10:0),0.08072249906465645,7.52072961625618,0.8054789561901448,0.36946028363345484,0.6865448232596661,412.2386 -> 184.1,PC,1463.7601013183,1504.5601043711,1259.240093231,1582.6401214595,1417.9400978089,1382.180099487,1342.8801002495,1278.9200973509,1274.640087128,1353.6800994874,1152.5800819393,1227.9000892645,1342.8601188655,1621.2001266478,1357.1400909419,1191.2600936888,1385.4000930791,1431.1800956728,1438.1001014708
Lyso_PC(18:2),-0.07955337131578004,8.273199979453143,0.7964869553608294,0.37214579204729564,0.6865448232596661,520.3325 -> 184.1,PC,2676.0001792908,2342.7001571663,2072.0801467906,2531.2001533508,2454.5601959251,1799.2001457206,2376.8401489254,2243.2601318348,2123.5201721202,2082.3001556393,2367.1801757805,2233.4801597588,2670.9602012637,2797.6002426143,2569.3201751698,2286.4801864625,2636.3002014154,2578.5401992813,1539.0000991827
PC (38:4),-0.07803627446093617,11.895839759088453,0.7840612306616062,0.37590194183926573,0.6875471414837852,810.6 -> 184.1,PC,30035.021942143,29957.6620407168,27332.8219833494,32259.2228546191,30982.0819473155,29785.6820144721,28443.321884157,28180.541900618002,27980.861618026,30867.3023224004,29976.6021690356,26625.462081919,37309.1822204616,37831.6626968348,35082.9025345003,29021.2823181092,30058.2224273854,29310.8821563551,5126.9003601079
C18:3,0.07696872388988743,11.332540728242343,0.7619704992563419,0.3827125626215483,0.694071935601791,277.3 -> 277.3,FFA,23116.6815528837,18431.7212905867,18748.1212387056,22042.1814384458,19782.3213615433,20705.901473996,19689.0613937324,21232.5014991729,19173.4613952642,19706.6814346303,19261.3212852465,19818.7614250205,19653.1813125644,19027.1812896713,20948.8414878837,19042.4413566614,19605.0814857436,19269.561298371,11279.7807998686
PCp(42:4),0.07664940523798837,7.541790841683961,0.7271751722221875,0.39380036033206955,0.7081787992526293,850.7 -> 184.1,PC,1368.0600891116,1412.7001037593,1552.4601020815,1366.7401084908,1318.1000938413,1411.1801071163,1689.0601119996,1462.0600929264,1285.5001029963,1228.7200965876,1468.4400901797,1292.2800941463,1394.3600921637,1503.480110169,1601.3001365669,1342.9200897211,1343.0000953676,1298.1800842279,1170.1000900268
PC (38:2),-0.07447286136206371,11.074951416891349,0.7129613688288212,0.39846245872866765,0.7105913847327907,814.6 -> 184.1,PC,17221.9212760825,15331.1009368969,15548.4811324987,18938.0414504961,15433.7412033115,15783.3409729019,16731.6814155626,15143.5808563227,15636.6609420681,15921.0212516806,16227.1812896794,15510.881027227,20615.1213683992,19182.4212112324,19917.1815223821,16331.2811584432,16694.5013160706,16503.561195365,8506.7006835846
C12:0,-0.07210656493474117,12.035398472470543,0.669501531717458,0.41322544973740283,0.7166242666340829,199.2 -> 199.2,FFA,35414.1426544171,27862.1019821153,28792.6021804751,31839.1024093637,31713.3822174117,31016.102195738302,28921.3420410151,31757.92215729,31022.3620910611,34368.2823028542,33098.682342534,32758.8222885075,38334.502777095,34022.042442316,34016.842361452,31140.32231903,30558.8821868898,29769.902206419,23986.2818527216
Lyso_PC(18:0),0.0718693508636839,8.74216274967615,0.6541674290206405,0.4186266436727067,0.7166242666340829,524.3638 -> 184.1,PC,3660.5802803039,3623.4802589417,3059.5602149972,2749.1201782234,3036.4401969903,3262.0002021796,3370.9802513125,3307.7402229314,3149.8002166751,2802.9601974485,2927.3602371227,3284.0002021794,3677.5602607717,3025.0202407825,3327.6202239983,3463.1402511589,3125.5402336127,2715.0202064496,3154.5402030936
Lyso_PC(19:0),-0.07210135062731622,7.626229303730627,0.6449120430143367,0.42193765231726377,0.7166242666340829,538.3794 -> 184.1,PC,1462.2600975044,1300.6200904843,1255.0800857543,1423.5200843803,1260.6800918578,1474.7201080322,1364.6000900266,1586.7001075741,1841.1601219182,1403.040100097,1374.7001075747,1696.5401268001,1514.480113983,1606.3801193245,1614.3801231385,1308.2000808719,1679.6001243587,1698.7201347354,1244.8400917054
Lyso_PC(22:6),-0.07214945534409838,7.703801207777039,0.6469297860980641,0.42121250453501946,0.7166242666340829,568.3325 -> 184.1,PC,1702.5601234435,1706.2001304623,1609.7001075744,1698.5001220707,1480.3400917048,1331.8801116943,1292.580089569,1351.8800926211,1434.2200927733,1842.3801307673,1595.0201110843,1416.0801048277,1601.0801315309,1590.9800949101,1679.2001190186,1652.1601448053,1683.880111695,1508.9400939939,1440.7400932321
PC (42:2),0.07236632831396489,7.54532487439107,0.6482674165230442,0.4207328052240274,0.7166242666340829,870.7 -> 184.1,PC,1494.7600975033,1449.9800987244,1310.3600921632,1501.8801040644,1271.1600875854,1285.7000808715,1448.6601066587,1558.760108947,1572.8401222223,1464.7201156622,1421.8600997919,1222.6000900272,1432.4801025397,1551.6001014703,1449.2200889587,1393.200092316,1310.2600936891,1276.3000869749,1175.6600875854
SM (d18:0/26:0),0.0728916369211636,7.516096937888181,0.6570858065453447,0.4175906522420687,0.7166242666340829,845.7 -> 184.1,PC,1374.2000999453,1465.5801124566,1374.840099335,1405.4001121528,1244.6600761412,1482.3201103209,1295.2400932315,1539.7401084908,1435.4201126102,1263.6400985716,1462.2801017761,1295.0800933836,1349.9200935362,1281.7400856022,1338.4400978089,1323.3600883484,1433.6600990301,1465.3401031498,1175.8600730891
PCo(38:6),0.0691685527760381,8.782986711949876,0.606640757291224,0.43605543517565915,0.7347705758078036,792.6 -> 184.1,PC,3525.940231323,3224.1402168251,3453.9602279674,3655.8002738954,3442.7202873214,3894.320278167,3415.1602592461,2803.1201858513,3776.6002616891,3342.2402153005,3001.0202217125,2970.6401901236,3665.8402404772,3034.4202194212,3729.6802711466,3436.0802459711,3425.3802795415,3713.2202758783,1812.2601394659
