lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-R1-Media_r1,EKO-R1-Media_r3,EKO-R2-Media_r1,EKO-R2-Media_r2,EKO-R2-Media_r3,EKO-R3-Media_r1,EKO-R3-Media_r2,EKO-R3-Media_r3,WT-R1-Media_r1,WT-R1-Media_r3,WT-R2-Media_r1,WT-R2-Media_r2,WT-R2-Media_r3,WT-R3-Media_r1,WT-R3-Media_r2,WT-R3-Media_r3,blank
PC (32:0),0.18547880786402943,10.134870717062968,8.167809343321691,0.004264037605887101,0.02112499848083059,734.6 -> 184.1,PC,10515.4808006229,10523.9807739278,12786.0009422425,12146.7009086546,11740.3607749975,13632.1809806879,12889.180866242301,14252.8210144091,9350.5206413299,10192.9008598348,10511.6207733192,11041.2608718983,11201.1807098432,9292.0806426915,9935.9407539436,11267.1608009465,19829.7414550925
C18:3,0.1749877257644326,10.626459610428112,7.296894883781265,0.00690738816788415,0.03256641623525229,277.3 -> 277.3,FFA,19019.8013992288,17167.5013046257,19984.1014709447,17476.9812393211,17198.7211570748,19069.0813026417,18094.7812919646,18356.5013008107,17341.4011726335,17613.8012428295,17171.1812248197,15977.4810676586,15251.541072842,14293.6410293575,14050.2609825104,12431.480834961,11279.7807998686
SM (d16:1/18:1),0.18080100611032437,7.283317101746586,7.272902844896544,0.0070002576954280625,0.03256641623525229,701.6 -> 184.1,PC,1755.0801315315,2010.9401321394,1638.3001403804,1683.320129394,1734.8001251207,1568.2601051326,1765.3601303113,1616.0601196287,1693.2401275636,1257.66009903,1401.0601005553,1353.9801025392,1593.540107727,1371.6201171873,1454.8400955198,1505.3201103206,2382.4401588444
PCo(32:0),0.17087140740385892,7.728002160387617,6.616337069156067,0.0101047446005606,0.04600883711744614,720.6 -> 184.1,PC,1981.0201377874,1972.1001319895,2129.5801467895,2041.680137634,2479.6801643372,2302.2601394656,2633.5801887516,2710.0602264413,2104.0401382445,1784.8201141372,1835.8401260379,2520.7201538081,1593.160118103,2027.9001464833,1785.7401199345,1853.9401588441,4154.520263672
PC (36:8),0.17109393242313553,7.403495045503724,6.551594235711967,0.010479022383875177,0.04671897479477683,774.5 -> 184.1,PC,1908.1401405324,1792.8001174925,1895.7601318371,1955.8001403804,1965.9601402284,1912.3601417545,1785.3201293947,1703.0201225284,1693.9401130682,1371.6600875863,1544.9601211544,1397.4000930786,1655.6601104731,1716.6601219185,1609.480117797,1688.1201171886,2613.340179443
PC (40:6),0.1701465973361247,7.177201449926509,6.417907048906055,0.011297523078538221,0.048491831089572175,834.6 -> 184.1,PC,1428.6200828556,1610.4801330573,1529.6801109314,1661.8601303097,1746.3001441957001,1765.3801078793,1689.5201148992,1638.6801185614,1320.0400848387,1451.0601043709,1288.3000831605,1369.2600936886,1411.2201004022,1377.5401000971,1542.3201217649,1351.6600875862,1606.3401222238
PCo(34:2),0.16832321897689562,7.651487779363757,6.412830437576446,0.011329867077002844,0.048491831089572175,744.6 -> 184.1,PC,1777.3601226807,2052.9201354987,2496.1201896678,2163.6401519764,2268.8001556399,2560.8801612865,2418.1201629636,2111.040138246,1723.1001281745,1815.9201240533,1838.3001289373,1933.3401298526,1778.960109711,2168.880168914,2289.7001724248,1643.8200988757,2849.9401931778
PCo(38:3),0.1624943773756374,7.146821059334258,5.838270651154579,0.01568123181622793,0.065799678601427,798.6 -> 184.1,PC,1389.5600967417,1567.740104675,1580.1201095575,1522.5601119988,1692.9601020805,1606.1601142892,1636.8401260368,1598.9801063533,1302.7000923158,1386.4001045217,1328.0000953675,1224.6800842282,1421.7801055904,1289.7400817878,1346.4400939947,1463.9601097104,1904.8401412966
PC (38:9),0.1616944350291708,7.219188275159032,5.8023836215555065,0.016004463739404173,0.06586452385062486,800.5 -> 184.1,PC,1581.3600997929,1646.9401245121,1545.7601203912,1475.8001022342,1704.7001037592,1629.3601226802,1811.6001205436,1807.04013443,1373.9600944515,1591.6001091012,1738.9801292411,1570.6601181029,1364.0001029967,1186.8600769046,1101.0400810242,1371.5600967404,2079.1201362614
C20:1,-0.15409218002900593,12.108640667227837,5.686249603384736,0.01709835872934554,0.06903865600150841,309.3 -> 309.3,FFA,47815.983428936,46270.0631179889,47064.9434432973,46161.4232559154,45600.8832473741,48700.5236663857,45444.3429908692,44742.9032897988,48023.9429130444,48309.0436515619,55958.2837104573,56694.4438552727,56321.8442382845,44483.5032615603,43764.9431991666,42710.8430214033,16399.5211181652
