lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-C1-Media_r1,EKO-C1-Media_r2,EKO-C1-Media_r3,EKO-C2-Media_r1,EKO-C2-Media_r2,EKO-C2-Media_r3,EKO-C3-Media_r1,EKO-C3-Media_r2,EKO-C3-Media_r3,WT-C1-Media_r1,WT-C1-Media_r2,WT-C1-Media_r3,WT-C2-Media_r1,WT-C2-Media_r2,WT-C2-Media_r3,WT-C3-Media_r1,WT-C3-Media_r2,WT-C3-Media_r3,blank
PCo(36:2),0.11544608971528535,7.321620658521873,2.7322129729924427,0.0983429318967819,0.3340537686652591,772.6 -> 184.1,PC,1945.2001457208,1797.7401199332,1820.8601074216,1882.8401374812,1590.0201187127,1534.3201141351,1699.9401054372,1729.0001297014,1543.5800971976,2119.2601470948,1910.3801116935,1495.0801277164,1758.6800880422,1525.6600914,1734.1001396181,1505.1201095576,1657.1001205456,1641.2001037602,3678.7202796963
Lyso_PC(3:0),0.1140790052275179,6.943258295930623,2.634729319323709,0.104549878208767,0.348135738026391,314.129 -> 184.1,PC,1201.580085754,1498.1201324456,1403.9000968931,1323.4200973515,1300.0600929267,1261.0800895688,1615.8801116948,1557.5601120006,1490.6601066595,1292.240081787,1176.8200874326,1485.4800987247,1676.3801078796,1515.9401206969,1268.0400962828,1305.1000938411,1349.700084686,1421.7000808713,1325.3201065063
PC (42:7),0.11475857546364474,6.59385223187218,2.616729763350084,0.10574216341923091,0.348135738026391,860.6 -> 184.1,PC,1104.4200935362,1187.3800849914,1036.5000686646,1015.0200805666,1091.1800804138,1073.060081482,1078.1800842282,1183.76007843,1091.8600654603,1097.9800796508,1077.780078888,1039.2000732422,1145.220077514,1033.0200767516,1155.0800857544,1106.5000724792,1022.5600738524,1060.4200782774,1176.7801017763
C22:5,-0.10934497525497289,12.177117914784976,2.589237371381671,0.1075921293923914,0.34823617577925337,329.3 -> 329.3,FFA,51942.80353546,48324.4434661881,48825.0635070844,45537.843353272,45116.1031875702,47914.3433418111,57289.8837280129,52845.1039580991,54039.883781422,55654.363857268,54535.624038714,53930.443778974,60030.984306318,60222.964157103,59152.4640121295,59402.5238952546,58906.8242340255,58694.9642181283,25730.0218963637
Lyso_PC(17:0),0.11197638269051177,6.841366449750564,2.521808350033483,0.11228175761106768,0.34823617577925337,510.3481 -> 184.1,PC,1370.1600952145,1228.4400749206,1341.5600929261,1279.1000900268,1139.5200843807,1361.1400909418,1309.680091858,1181.2000808714,1287.6400794983,1310.340087891,1261.7000808712,1214.6400947567,1342.7600822449,1346.1400947567,1071.2400665282,1287.1200828551,1260.7000885011,1282.400085449,1821.1601409909
PC (38:2),0.11012229612579134,8.112930031995546,2.5422169273428494,0.11083906250714924,0.34823617577925337,814.6 -> 184.1,PC,3736.0402793896,2918.8202323922,3078.1201972974,2819.7602081297,2976.6602478036,2588.6002006532,3023.8602180476,2710.8401908873,2043.2801513677,3119.2002067569,3047.4801635743,3090.2602348329,2582.3802070606,3043.2402191165,2988.9002227769,2816.2201919559,2415.6801948554,2548.4202194208,8506.7006835846
PC (44:3),0.11310975717231374,6.608942466314311,2.54528692664803,0.11062381290939745,0.34823617577925337,896.7 -> 184.1,PC,1114.3400840758,1185.3800849908,1074.8600769041,1118.7000732422,1087.1600685122,1128.6200828547,1091.8400802612,1096.2000808717,1105.4800605773,1072.1600723266,1086.8400802614,1086.4800720214,1093.0000839231,1104.0000839233,1104.9600906374,1072.8000717163,1089.2800712585,1183.7400779723,1084.0200767516
Lyso_PC(3:1),0.1108109740859858,6.789351510706233,2.467620713156151,0.11621372410351251,0.3514709844909076,312.1134 -> 184.1,PC,1402.0801048279,1149.180076599,1252.5000839234,1201.1600723264,1417.5401039121,1244.9400825503,1276.9800910953,1199.8200798035,1225.9800872803,1253.3600959776,1177.3600845339,1196.7000885012,1306.5000991825,1338.0800971985,1083.8800735475,1356.8800926209,1168.6000747677,1375.2000961304,1149.7800750733
SM (d18:0/12:0),0.11022569649461525,6.6380641376779685,2.41997153421838,0.11979710730116416,0.3514709844909076,649.5 -> 184.1,PC,1108.640071869,1080.0200729371,1224.9400787356,1134.1200752258,1107.6200714113,1136.9400825504,1050.3000679017,1193.1000900271,1096.7000808714,1143.9800720214,1093.5400810241,1046.6200752257,1155.4000854493,1254.0801010133,1064.4800758364,1098.7800750731,1075.7800712584,1112.3800849911,1243.2200736995
SM (d18:1/12:0),0.11021572765596477,6.633958815744372,2.418701080911468,0.11989430779362734,0.3514709844909076,647.5 -> 184.1,PC,1166.0200805663,1089.1200828552,1112.0000686645,1076.5400772096,1244.8000831599,1014.8600807192,1138.3200836181,1203.0600852968,1050.840072632,1079.7200737001,1142.94008255,1089.1400718688,1192.0600814817,1112.1200790405,1067.2600746155,1210.2800941471,1020.4400787351,1083.4800834653,1274.8200950624
SM (d18:1/18:0),-0.1067497210421661,9.183552568286252,2.433585076049688,0.11876101156322832,0.3514709844909076,731.6 -> 184.1,PC,7052.5405273401,5571.3803977962,5320.980403899,5727.8204231264,6249.2204742421,6595.1405220065,4959.0203590401,5820.5404396063,5417.6803894038,7591.6405296313,8482.9604415861,7938.5606117218,6722.1403923038,6620.6204185533,7238.8204917938,5127.0603332516,5469.260364531,5593.0803375242,12491.0408744635
Lyso_PC(18:0),-0.10643884766731329,7.520634761054102,2.3418810642307974,0.12593739771490753,0.3641973393377056,524.3638 -> 184.1,PC,1843.4201393115,1849.9201507565,1646.10011673,1829.7801437374,1865.7801513673,2503.9801788319,1733.980110169,1694.8401069648,1987.2201309205,2025.7801475525,1979.7401008616,2743.420181274,2609.2601890566,2008.4201278686,2118.8801422117,1836.5401229849,1907.3401374813,2318.7601394661,3154.5402030936
PC (34:3),-0.10456148403405276,7.663469710049001,2.270798915970019,0.13183192731846471,0.37616043261535265,756.6 -> 184.1,PC,2383.5001564023,1819.460140228,2481.9601745606,2502.4001655587,2157.040138244,1733.1401214605,1887.8201370236,1940.3001213073,1955.580158233,2649.0801696776,2951.3401870727,2534.5401840204,2527.3401794432,2467.4201736449,2431.8001785278,1686.640106202,2146.8001403811,2323.0801849356,3224.5402679439
PCo(34:1),0.10186242041707486,8.41434169637,2.1924408804341624,0.13868937961196015,0.39052009522315095,746.6 -> 184.1,PC,4823.4003486634,3582.160247804,4167.5602684009,3870.6402511594,3457.8403129574,3255.5802650447,3666.9202919004,3372.2602462756,3436.2202568062,4331.0002708429,4449.4002647398,4130.4602699279,3985.3403129594,4141.6402740477,3949.1203117371,2766.2601737973,2999.5802078236,2781.1002044677,6560.4005050659
Lyso_PC(18:4),0.10161689055822866,6.665432404295287,2.060559920962738,0.15115461970790087,0.40536155050643496,516.3012 -> 184.1,PC,1131.140079498,1135.9600868226,1071.2600708008,1064.360080719,1231.5000801086,1135.5000877379,1241.0800895697,1178.540084839,1148.8200836182,1120.8200798031,1153.6600761417,1065.660079956,1176.340084076,1192.7000846868,1167.12008667,1162.6800842285,1163.7800788878,1097.8800773618,1195.5400886536
PC (42:2),0.10230684975606706,6.655857949858869,2.087511240923038,0.14850782872165105,0.40536155050643496,870.7 -> 184.1,PC,1102.4400787351,1160.1800956725,1064.9400634766,1175.6800765989,1177.4400787355,1162.26007843,1143.6000862122,1104.8000793455,1177.9800834657,1234.340084076,1170.7400779731,1083.1400756837,1092.8200798034,1095.3000793455,1089.3400840761,1189.8200836181,1176.9000816346,1099.9400787354,1175.6600875854
PC (42:8),0.10129228356515925,6.583899481441055,2.037801688138573,0.15343124107953846,0.40536155050643496,858.6 -> 184.1,PC,1150.5800781249,1118.3400802612,1077.0600852964,1035.2600746156,1124.9200744625,1063.220085144,1123.5000839232,1036.8800849915,1033.3200645446,1062.8600654601,1032.5200767516,1084.8600730897,1023.6800804137,1132.8800849917,1064.0400733946,1098.0000762938,1169.2800788875,1061.4800758361,1135.1600799561
PC (44:1),0.10281525448956678,6.617043341134963,2.1025424630972847,0.1470544360738058,0.40536155050643496,900.7 -> 184.1,PC,1161.2000808715,1128.1200828549,1082.3400726318,1112.1000785825,1060.8400764467,1110.1600799561,1107.4600677492,1090.2600746156,1082.0800743103,1068.7400741576,1082.7400741574,1120.0600776674,1100.0000724793,1127.1800765991,1129.8000793457,1061.7400779723,1098.8000717163,1104.9000701901,1290.9400863647
PCo(38:6),0.10105375584925143,6.8644082799900366,2.0564809800268717,0.1515598277488931,0.40536155050643496,792.6 -> 184.1,PC,1178.7600860598,1288.8000946038,1326.5200996393,1409.0800971974,1367.980098724,1237.1400871276,1253.680080414,1313.5800857548,1275.2000923153,1160.0800819396,1337.9801025389,1363.9000816334,1373.7000999442,1263.6601028442,1275.3000984193,1285.1600875854,1296.0800857537,1267.9000930788,1812.2601394659
C26:1,0.09580642043441458,12.486326279722133,1.9886178646510189,0.1584854688023345,0.4136084185817022,393.3 -> 393.3,FFA,66889.024543774,64807.3646698091,67413.1448440109,55887.2639693986,59232.6040115184,60286.5843353268,84854.4662246685,75956.3852424605,72073.2047882083,62223.7643165475,63601.2248764001,61417.9841575704,72014.505271893,70403.8650894041,71404.965084023,67469.8247833267,70016.4253616553,67931.4450111068,19580.181320189
C30:0,0.0934123198009922,12.726090829730069,1.8909258586004682,0.1690975309494835,0.41744515673659527,451.4 -> 451.4,FFA,82157.9856033059,81974.3855361903,79164.0458145124,69262.3045997723,72601.4852447204,71715.4053192067,90622.926887516,87655.9668311973,83274.4254646433,70847.4649200336,69563.9653777824,68250.2047042788,85758.5857276982,86046.8461417809,88784.5663261229,83188.8257407829,82518.3059463388,84133.9254722257,18169.7811965941
Lyso_C17 sphingosine-1-phosphocholine,0.09657862916299047,6.729246622170425,1.868389111682026,0.171659690620656,0.41744515673659527,451.3223 -> 184.1,PC,1121.7400741579,1067.0000801086,1278.1200942992,1424.2001037599,1095.9000740051,1122.4800758362,1260.2400856016,1301.3600959779,1154.1200714108,1226.2600822454,1299.5600929261,1150.0600814818,1242.200088501,1216.8400840758,1317.6400833128,1192.8800773622,1101.9400863648,1086.6200714112,1155.9200897217
Lyso_PC(15:1),0.09670469146634719,6.717572813272795,1.87217085986752,0.17122665521095504,0.41744515673659527,480.3012 -> 184.1,PC,1251.5200958252,1338.7200965882,1075.7400894163,1125.5400848391,1051.1000785828,1057.9400749207,1182.080078125,1327.7000999454,1341.500091553,1146.220085144,1082.4600753784,1175.2400856017,1202.9200820923,1271.5600929254,1294.0000877375,1350.2001075751,1074.3000717163,1145.8600845334,1147.4200782776
PC (48:0),0.09759033615949037,6.590439657817924,1.8926412292680637,0.1689043177531465,0.41744515673659527,958.8 -> 184.1,PC,1107.9800796508,1079.7400741577,1079.8400802612,1109.1800804138,1142.440071106,1064.4000816347,1071.0800704956,1080.3200721742,1077.0800743104,1069.9400787355,1152.7000770569,1074.4800834653,1103.8800849913,1085.3800735473,1081.6600837705,1069.3600730895,1092.020080566,1079.6400756836,1096.7200813294
SM (d18:1/26:1)17Z)),0.09881713446384988,6.721574530053765,1.9519762458598988,0.16237405049888465,0.41744515673659527,841.7 -> 184.1,PC,1172.5600852971,1156.9400711058,1116.5000724796,1177.4000778198,1364.2400970457,1061.740070343,1188.9000816344,1185.260074615,1131.6400756838,1273.2400970459,1186.7200737,1313.2400894164,1146.520088196,1114.4800758362,1094.7600746153,1188.2800941467,1105.0400810242,1116.3800735473,1631.9601097123
SM (d18:2/24:1),0.09501780836656487,8.062087163669279,1.8941136345043716,0.1687386731983688,0.41744515673659527,811.7 -> 184.1,PC,2729.160186767,2776.3601646418,3169.9002838129,2930.3002090451,2733.1602058401,2990.8202285775,2975.6401939386,2789.3602218615,3198.5001983646,3840.5603141769,3182.8202514643,3604.2002410894,3315.2802581776,3268.4402427665,2531.0801696767,2141.960151672,1995.7801246657,2484.0001678466,5050.7403602613
PC (42:6),0.09589507602117024,6.635338138307707,1.8312681297255553,0.1759778337418399,0.4184361824528193,862.6 -> 184.1,PC,1072.4800682067,1132.1800842285,1163.1000900266,1071.2200737,1054.8200798034,1170.4200782775,1073.2600822449,1181.560089111,1135.8000755308,1180.5400772095,1062.0800743103,1117.5600738523,1290.6800918579,1158.2600708005,1026.5200767515,1063.8600769043,1143.0600814818,1020.4000740049,1265.7800827023
SM (d18:0/20:0),0.09265745596634481,9.927376083279967,1.8454520670969714,0.17431327370704486,0.4184361824528193,761.6 -> 184.1,PC,12875.5609130833,10681.3606758078,10201.8208007695,10608.2208671476,11924.460781104,10185.2606506333,9396.7606620781,10017.6207275303,9625.5207290737,11483.4407768192,13566.8808517378,12826.5406570344,10933.100715639,11588.2207756012,10408.7607460027,8390.6007423458,8824.0406150768,7866.5406188996,19020.1812019292
PC (44:4),0.09366565824841198,6.618733586084572,1.7466314348905652,0.18630076893013298,0.41966699527419427,894.7 -> 184.1,PC,1094.8600730899,1120.1200790405,1178.2400779722,1083.1200714111,1135.5800819399,1094.0200843811,1064.0000762941,1135.8400802611,1107.520072937,1130.1600875852,1177.6600837707,1076.8200721739,1129.4400863645,1058.7200736997,1062.6000823971,1194.9200820922,1084.8200798034,1121.0200805662,1074.0600814818
PC (46:1),0.09527880948204481,6.59665524372342,1.8042704550492266,0.17919707390136125,0.41966699527419427,928.8 -> 184.1,PC,1093.2200698851,1077.3000793456,1088.640083313,1056.9200859067,1121.8600769042,1091.8600769043,1079.0600776672,1107.1200752259,1103.4600868223,1084.4200782777,1092.4600791929,1111.62008667,1072.4200744628,1058.2200775145,1105.6200828551,1124.680088043,1093.6800804138,1086.200073242,1164.1600761415
PC (46:2),0.0940019823816578,6.608186876120708,1.7577654571542374,0.1849034768529167,0.41966699527419427,926.8 -> 184.1,PC,1088.5600700379,1123.9200782775,1059.7400856017,1119.4000892639,1069.6600799563,1124.3400840758,1143.2200737,1098.4800834656,1089.5600738524,1069.0600700377,1153.9000816344,1123.3000793456,1142.8000907896,1094.920085907,1090.0400733946,1071.4800834657,1118.2200813292,1073.0200843809,1123.5400848387
PC (50:0),0.09493969787989213,6.584705613900312,1.7908730001983073,0.180819832734628,0.41966699527419427,986.9 -> 184.1,PC,1073.9400825501,1076.2200698853,1077.620075226,1054.9400711057,1128.3200798035,1120.4600830076,1077.4200782777,1074.1000709534,1095.9400787353,1107.5000801086,1067.1600723266,1082.1000823973,1082.180065155,1085.7400741578,1084.820083618,1062.5000839233,1079.2800827025,1143.2200775148,1059.4600715638
PC (52:4),0.09433978800556289,6.606377877782112,1.7706671714861821,0.18329953286545878,0.41966699527419427,1006.8 -> 184.1,PC,1124.5800819395,1073.6000671387999,1109.8000793459,1087.680065155,1082.7200851442,1071.7800827027,1143.1000862122,1148.640083313,1095.740093231,1079.6000785826,1074.480075836,1075.2800712586,1175.300086975,1083.4000778195,1062.0800743104,1111.2400741578,1150.8200759888,1137.1000862121,1061.3800621033
PC (40:4),0.09014437249585967,7.055769342486405,1.6520630203881144,0.19867837543450287,0.44288721190607927,838.6 -> 184.1,PC,1598.5001220711,1364.5800933843,1577.1801071172,1575.2001152043,1372.1801109311,1417.7000885017,1514.4401092522,1497.1801033017,1447.2801017762,1390.5600967407,1522.2401161194,1643.5201110836001,1611.4201126105,1357.9600982662,1707.8801383973,1543.560100555,1191.8200836181,1458.8001022342,1865.8201408388
PC (42:1),0.08983607617247351,6.619751958493865,1.6067079469723566,0.20495518138000365,0.4493101999203317,872.7 -> 184.1,PC,1100.9800682067,1059.3600807189,1102.0000762939,1172.6400833124,1079.8600845334,1143.6800765991,1060.360069275,1132.5400848388,1143.0000724792,1099.5600814818,1104.8600730896,1130.3200836177,1063.8000793458,1259.5400848391,1126.9400711059,1086.7200851441,1071.0600776671,1107.0800819396,1100.8600807189
PC (44:7),0.08975253119307577,6.595494456070514,1.6010189064223972,0.20575887659903042,0.4493101999203317,888.6 -> 184.1,PC,1073.4800834656,1061.5600738526,1058.6600685117,1089.2000846862,1126.5600738525,1085.1800651552,1098.5400810241,1131.580078125,1072.0400695799,1076.3000793456,1097.2000808715,1081.08008194,1083.8200798032,1135.940071106,1090.2000808715,1108.4400634764,1105.5400848388,1066.8000755307,1155.9400901793
Lyso_PC(19:1),0.08740588394884188,6.7581037331420974,1.5319985562226375,0.21581274474360548,0.457514358039786,536.3638 -> 184.1,PC,1559.6401100164,1182.8600845335,1194.220088959,1104.0800819397,1220.2000808715,1109.0400810242,1265.5400772095,1138.7200775149,1175.6400833135,1070.7800750734,1232.540088654,1191.1400833134,1154.5000915525,1435.7601165771,1314.3201065063,1226.2400932314,1174.1000938423,1212.9600944518,1345.6800880439
PCo(44:4),0.08766289060260307,6.6385818824436464,1.5312184203149566,0.21592967365429153,0.457514358039786,880.7 -> 184.1,PC,1171.12008667,1171.5200767514,1089.0400733948,1065.9800720215,1196.9200859071,1063.0600814819,1126.5000915526,1074.2400779724,1134.8400726318,1211.0800933843,1080.0400772093,1069.800086975,1109.8400802611,1159.6000709536,1199.2800827025,1174.5800743104,1065.9600715635,1088.6600685121,1181.3400993342
SM (d18:1/26:0),0.08844191503084937,6.615433554943747,1.5551143634538707,0.21238200766046778,0.457514358039786,843.7 -> 184.1,PC,1099.6000785825,1110.2400779725,1083.0800590518,1068.1400794983,1041.4200668332,1083.7400741581,1115.8000717164,1146.3200759887,1084.3000755309,1133.9800796508,1128.4000854488,1077.4400787352,1110.560070038,1065.940071106,1084.7200775147,1039.0200805662,1208.360080719,1037.5000839231,1387.6000938415
PC (40:6),0.08599772822730048,7.078979706404708,1.5059158290333308,0.21976335389813356,0.46107213464902536,834.6 -> 184.1,PC,1351.5001029961,1491.5601119993,1756.9001159667,1685.360126496,1434.6401100167,1777.0801124575,1443.1201133734,1275.9200935365,1447.0601005558,1779.0601196289,1676.2401046752,1695.8201179498,1590.6201133718,1557.9001121522,1598.9000968929,1306.1000938413,1347.8200798039,1251.260089874,1606.3401222238
Lyso_PC(20:0),0.08574491511222894,6.856943992192506,1.4814907432932642,0.22354142727785012,0.4644452955093197,552.3951 -> 184.1,PC,1332.02009964,1344.620101929,1219.6000862126,1153.2000808716,1301.8400993348,1443.020103454,1358.0601043695,1175.5200729372,1356.0800895692,1263.6600914004,1542.9601097096,1288.9600906369,1270.400093078,1208.4200820923,1327.7000999444,1170.1200904845,1474.4601097113,1226.7200889586,1487.4201164254
Lyso_PC(20:1),0.08416534473752525,6.751775739887536,1.420323572784575,0.23335015193198919,0.4801628126292854,550.3794 -> 184.1,PC,1131.4200859071,1282.8800849911,1119.8400764465,1271.9600906378,1347.300086975,1133.8200798034,1323.4400901796,1170.4600753786,1129.7000846862,1275.2000846863,1366.7400894166,1180.9000854494,1180.0400772089,1213.9400825501,1236.1800804136,1134.6200828549,1251.6400871272,1172.4800834655,1257.3800964357
PCo(34:2),0.07937778110393075,7.439555006097396,1.2994535708343733,0.25431305929385023,0.5111756116559446,744.6 -> 184.1,PC,2130.7401466364,1964.1601448059,1810.8801078785,2000.9201240534,1930.1601181024,1820.2201194763,1796.280105592,1977.6801300047,1755.6001091009,2133.500141144,1966.2401504506,2222.6801338183,2233.1401443496,1573.6001090991,1731.5401344288,1828.0401344307,2054.0201301573,1640.6201286311,2849.9401931778
PCo(38:4),0.07993145283925601,7.036581036165223,1.2983294774383793,0.25451858934706295,0.5111756116559446,796.6 -> 184.1,PC,1607.0201148993,1196.8000907897,1421.9800987247,1543.8601188659,1717.7601127616,1439.7001228333,1432.8400917054,1316.6400871275,1535.3200874325,1550.4201164237,1610.1601142878,1598.4401283271,1502.1201019277,1445.1601028441,1458.4200935369,1372.8201026916,1323.4800910947,1513.7000961304,1672.9201049786
SM (d18:1/24:0),-0.07875761703834196,7.9165773379102715,1.292499659390348,0.2555878058279723,0.5111756116559446,815.7 -> 184.1,PC,2465.6801834106,2567.8202133186,2115.1401634212,2212.7601585396,2344.6401710523,2136.0601463302,1948.3801383985,2604.2001686104,2154.9801406875,2675.2801818842,2614.6001548779,2898.9001884452,2512.5001640316,3318.1201972975,2380.1801567084,2365.3001861584,2488.5401763896,1963.240135193,8831.2206382744
Lyso_PC(21:4),0.07893684682517149,6.823906827662634,1.2537351856141825,0.2628402743684889,0.5208131362486724,558.3481 -> 184.1,PC,1467.9600906362,1187.7400817872,1320.3001022333,1358.340114594,1151.9400939941,1253.3000831604,1280.7000923163,1296.0800781252,1106.8400840758,1301.2401008609,1133.9800910951,1361.8001060482,1363.900108337,1246.8600807191,1200.1600799561,1235.3400802616,1403.8201026923,1309.780101776,1397.200115203
Lyso_PC(11:0),-0.07774360467337828,6.925281234155679,1.2224017054611505,0.26888983084074747,0.5279121449533941,426.2542 -> 184.1,PC,1278.2200927738,1171.9000816348,1430.6801033022,1446.380111694,1182.6000785827,1235.9200897221,1200.3400878903,1396.1800994873,1312.840084077,1242.2400741574,1504.9600944515,1215.70009613,1594.8801040641,1621.360126495,1417.2801055904,1462.5800895691,1464.9001083376,1637.2801170348,1370.0200881962
PCo(42:4),0.07748970554625645,6.635303012813011,1.196280855664261,0.27406628449110987,0.5331834989190684,852.7 -> 184.1,PC,1051.920082092,1328.7600975037,1164.7000808715,1031.5000724793,1185.4200859067,1027.7800750731,1095.2600708007,1046.8200721741,1103.5600738525,1193.2800788882,1179.0400733949,1259.9800796513,1095.7800788879,1088.8600769044,1104.8000755314,1079.820072174,1037.9000740052,1136.7200775144,1166.5200843811
C34:0,-0.07209374149769772,11.614827316905034,1.1247304722395484,0.2889021362896359,0.5445224173525609,507.5 -> 507.5,FFA,34340.5024032613,33136.1223640467,31728.2021560662,29711.9020461999,30660.3023262036,31351.7022819526,41189.9630851681,39032.3229942344,40060.3628654467,35971.7426528938,36418.8824958789,35401.5024147037,41355.1429214456,41136.8828315675,41441.1030540423,39457.3027648912,38872.8829002443,39133.8026275734,15378.2811698904
Lyso_PC(13:0),0.07556306291730332,6.821778128859826,1.149050908126548,0.2837479159236685,0.5445224173525609,454.2855 -> 184.1,PC,1219.4000854496,1204.0800781255,1272.1800918577,1058.1800689697,1334.4201011659,1326.9200973513,1398.2601013179,1358.7400932312,1260.4600868226,1302.0001029963,1179.4800796504,1338.0000877382,1342.760101318,1256.1400871278,1424.0801124565,1189.6400833129,1216.4200935361,1350.4600982666,1315.5201034554
Lyso_PC(19:0),0.07506207465997104,6.725714823277567,1.1280816583788287,0.28818489477565035,0.5445224173525609,538.3794 -> 184.1,PC,1227.1400871275,1224.8801002504,1106.4400749208,1228.5600814816,1335.3400917049,1172.2400817872,1120.2000808715,1134.6600723268,1124.8800888058,1186.2600784299,1263.2200965883,1240.1000862122,1150.7000808712,1080.5000724793,1094.9000816343,1256.2800979611,1257.5600776667,1307.5000762934,1244.8400917054
PC (44:8),0.07501629396951837,6.606609639431734,1.119283953026891,0.29007268961771937,0.5445224173525609,886.6 -> 184.1,PC,1131.0400810242,1195.6000862125,1070.3400802612,1085.9800758363,1072.4200668335,1066.5800819396,1054.6000709535,1056.2000770567,1096.7200813291,1115.7000846863,1081.3400802614,1100.3200836181,1075.2600669861,1132.8800773619,1155.6400833134,1060.3000717164,1128.9800872803,1131.5400848389,1149.6200828552
Lyso_Sphinganine-1-phosphocholine,0.07252081507344946,7.03433535101102,1.0698661523288173,0.30097568077402287,0.554237547629022,467.3536 -> 184.1,PC,1859.8001365667,1608.3600997925,1399.400104523,1377.6200942988,1262.9600868227,1274.0800933842,1578.5401306147,1384.600105285,1664.5401267999,1534.8601303098,1201.3400802612,1542.120117189,1408.2000961302,1701.9201126107,1573.6201210013,1435.0401077264,1644.1201210025,1573.5201148982,1178.6400909426
PC (36:2),-0.07026737030464017,9.3695245850076,1.0555068981092433,0.30424219897686966,0.554237547629022,786.6 -> 184.1,PC,8793.1206664991,6999.7605590751,6529.3404922484,5789.0003852835,6645.5004539479,6125.3604354848,5458.7003707888,5029.8203277588,5195.6403350828,8736.0206451345,8608.0405998138,7789.3606109652,7224.0005531265,7162.7605209351,6677.920543668,5775.9804229738,5839.0203742983,5742.7804069517,23948.5619277688
PC (46:0),0.07301148695285883,6.606698610315306,1.0602468217202925,0.3031588974018572,0.554237547629022,930.8 -> 184.1,PC,1125.4800796508,1110.5000801085,1070.2600708008,1085.2800827024,1080.8400764465,1077.5000762938,1076.4800682067,1131.6000823972,1064.7200813292,1063.7800788879,1151.3000793459,1106.1200714113,1071.6800804138,1119.0400657654,1120.7400856019,1145.5000839235,1083.0200767517,1124.2600708008,1156.5200881956
SM (d18:1/20:0),-0.07023482779347624,8.882758232205742,1.0495635799433387,0.3056076197206757,0.554237547629022,759.6 -> 184.1,PC,6245.3004226666,4610.180286407,5114.7403335589,4114.3602371208,5182.1803779588,5133.9604644759,3996.440231324,4724.2603340153,3767.7202644341,6046.3004608166,6713.2605514547,6579.7204780559,5591.4003601089,4937.460361481,5178.2804069518,4619.1203384381,4102.200271606,4410.1802482625,11250.0007553173
C19:0,0.06585491570856328,14.572735863633088,0.9407480260744023,0.3320855427182268,0.5629529696242618,297.3 -> 297.3,FFA,295931.84117127,298325.762084949,299684.881401061,252189.2977295,252157.377517668,263179.419876107,298793.519409154,299497.70158386,297626.720932001,274741.939331069,260776.237991289,270153.419342047,302350.600418082,302975.122222898,302732.002365105,302610.862457269,293811.100677474,300115.801513698,67751.444732647
Lyso_PC(21:0),0.0697414435511472,6.7035345903131756,0.9723162108359502,0.3241032011911722,0.5629529696242618,566.4107 -> 184.1,PC,1161.2200889587,1190.7600936892,1143.2000770574,1219.1601028437,1136.160083771,1200.320083618,1146.3200798035,1072.1200752257,1171.4000816341,1148.2400856014,1195.1600799564,1115.640079498,1161.8200874329,1194.5400886529,1202.8400955205,1248.160087586,1168.0000801083,1210.3400840759,1338.8600997924
Lyso_PC(7:0),0.06972163610654188,6.978787293487482,0.9864945025633318,0.32060066060785164,0.5629529696242618,370.1916 -> 184.1,PC,1381.4800872808,1293.3200912472,1353.7800941476,1265.4800872801,1442.3800964344,1435.9801063533,1623.1601066594,1401.9400978087,1691.3201255801,1365.0201072691,1435.5801010126,1400.3800926208,1435.9001159674,1623.5601119994,1656.5201072686,1226.3000869751,1449.240097045,1539.040096283,1112.2000732422
PC (40:2),0.06821460867701931,6.7086848826002905,0.9284855267130654,0.33525676946205063,0.5629529696242618,842.7 -> 184.1,PC,1126.8000831602,1112.4800796506,1225.7200889587,1155.4800758359,1075.5800704956,1092.8800773621,1106.7600784301,1164.3400764463,1133.5800857544,1099.0800666809,1225.6400794983,1090.2200737,1181.9800758362,1247.320091247,1236.8000831604,1066.5400733946,1041.4200744629,1216.4800796512,1965.1601486205
PC (44:12),0.07036030322148083,6.654813276748577,0.9876449146019901,0.3203186599352639,0.5629529696242618,878.6 -> 184.1,PC,1141.1000938416,1091.2000808717,1098.0400733948,1148.7800750732,1089.8200798032,1228.7201004025,1118.9000701905,1068.320072174,1196.8600845336,1071.2000770566,1135.3400878907,1232.8800926209,1086.4200706482,1278.6600952143,1094.6000823974,1154.6000823978,1143.0200767518,1177.4000663755,1109.660079956
PC (48:2),0.07093755915524104,6.609405118777906,1.001215564296937,0.3170165555482651,0.5629529696242618,954.8 -> 184.1,PC,1130.6000785826,1108.1000671387999,1075.2600784301,1060.3000831605,1083.7200775146,1088.8600692748,1075.8200798034,1117.2400817872,1116.1800842285,1069.5800819395,1113.6600723265,1226.1200942993,1057.7000885007,1082.6600761413,1220.7400856027,1096.0800704956,1101.8200721742,1065.4800834654,1111.8800811767
PC (52:0),0.06951216838871026,6.5270358110939375,0.9565440064327826,0.32805915156014265,0.5629529696242618,1014.9 -> 184.1,PC,1080.5400695802,1017.9200668334,1047.6400756835,1036.2400741576,1022.4200706483,1012.9200706482,1020.3000717163,1016.1400680541,1030.7000808715,1033.6600685118,1046.5800743104,1021.5200767518,1098.2400856017,1025.4200668335,1076.2000770568,1031.0800743103,1050.6800727847,1079.2200660707001,1088.6200675965
