lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1-Cells_r1,C1-Cells_r2,C1-Cells_r3,C2-Cells_r1,C2-Cells_r2,C2-Cells_r3,C3-Cells_r1,C3-Cells_r2,C3-Cells_r3,R1-Cells_r1,R1-Cells_r2,R1-Cells_r3,R2-Cells_r1,R2-Cells_r2,R2-Cells_r3,R3-Cells_r1,R3-Cells_r2,R3-Cells_r3,blank
PCo(32:0),-0.27211476915673516,10.796489629922421,9.10078579358867,0.0025549970470038303,0.009763738715336066,720.6 -> 184.1,PC,15193.1610946685,12816.9208602956,11578.7208099379,13481.801002505,13141.1609497164,13237.2009048604,14595.6611557145,12260.0208053583,12668.9808158788,16988.981327055,15466.6609497123,15431.8012275597,15849.6810722442,15529.6010627836,14875.4609909181,19005.1013069303,18259.7214126575,19193.8011817878,4154.520263672
PCo(38:5),0.2704789485590751,9.538051047913207,8.944886778642612,0.0027824734018540315,0.010446479087662506,794.6 -> 184.1,PC,8027.7805404676,7031.3205375648,6597.260456083,7559.4005775457,6579.8404846186,6105.3804893502,6546.2205352779,5663.640457154,6160.5604095455,6156.7803382846,6006.5204353322,5480.1404304509,5467.0602951064,4792.8803215031,5299.6403427116,6493.000415801,6809.8004455556,5866.6804351798,1447.9601135259
PCo(38:6),0.2643493902296998,8.634180480651638,8.473627759603012,0.003603320991521392,0.013295011934234102,792.6 -> 184.1,PC,3525.940231323,3224.1402168251,3453.9602279674,3655.8002738954,3442.7202873214,3894.320278167,3415.1602592461,2803.1201858513,3776.6002616891,3220.5802230855,3226.5202064507,2831.1201934814,3346.5802345289,2395.9002075201,2645.2801704403,3389.620243073,3178.5601997366,2991.0201988221,1812.2601394659
C24:6,0.25744983929895815,12.321690401847047,8.16746088731395,0.0042648568822571745,0.015469141911915854,355.3 -> 355.3,FFA,50543.483459474,45923.42303467,43575.543144226,45837.883193972,43079.843017581,45715.023277276,38443.842483516,39970.022651676,39592.703010557,42549.823043822,38713.542724608,37887.762451172,36388.122497556,35129.2024002027,35991.0625076235,38893.442802428,37574.002899169,40451.5628356938,33288.402328494
SM (d18:0/18:0),-0.2539190544151152,14.385631236772916,7.953848342115521,0.00479852333738634,0.017114733236677948,733.6 -> 184.1,PC,172324.570373506,161420.570739657,145339.289306521,176954.592315629,166882.411499133,172635.813598661,166887.313690089,157209.991424663,150986.991882324,231982.63629158,196066.1916504,185868.15209954,193988.889587399,190150.053710798,181637.853210432,221079.033996589,223943.69497675,213504.395874125,11872.8607711758
Lyso_PC(24:0),0.250811191116275,9.176054998891596,7.6722931558005305,0.005607514793214596,0.01967226501226104,608.4577 -> 184.1,PC,5367.9404144275,5413.6604194659,5300.480392455,4308.9402618429,4967.4603157058,5037.9803543063,5297.440330504,5495.3404579163,4901.980350497,5481.4003753665,4806.2403335562,4365.3603057862,4570.520301817,3632.380229949,3905.8202438374,4900.380352019,4652.2803077675,4365.6003265376,1608.9201240539
C14:0,0.24699303369116657,13.254216028338789,7.523302472119668,0.006090592003987178,0.02102236594924607,227.3 -> 227.3,FFA,99083.147170999,82500.885650638,83355.286346468,97257.666870104,83711.945800775,84462.106231684,72092.88536072,76699.445266755,76105.165435762,87576.6858520371,75012.665222171,74533.945129383,64528.564773553,67020.624496442,68720.244979858,81633.245590211,71542.445037834,75513.245391853,54649.503845207
C18:1,0.2453975983098556,13.611318859245928,7.427890852012297,0.006422056965082882,0.021732874685365958,281.3 -> 281.3,FFA,150598.250350958,96483.386856072,95580.426475501,136095.089294432,124256.929702749,126444.748336787,90916.826820364,92959.946578973,94337.1260795375,121865.229095445,100407.786849981,91462.346466084,82118.2856063586,77050.1451339752,75649.245079036,113554.487190223,110850.047698981,119119.428504976,27126.7419319159
PC (36:3),-0.2450859021027147,12.845115697849021,7.406309578733243,0.0064995513077729964,0.021732874685365958,784.6 -> 184.1,PC,59798.123779292,51971.603912345,52456.743957522,57902.683883669,60331.304077154,62570.864288325,53272.724090579,55105.90399169,52762.783874504,75718.905807508,63793.324813847,62480.443984977,70494.845184309,61737.1042556714,63494.445083627,77959.065200757,80076.264373774,73090.866256715,5613.9203796379
PC (30:2),0.24272887668637383,11.3336766397041,7.252541875608501,0.0070800720800998284,0.023309775771405587,702.5 -> 184.1,PC,24757.5418472251,23263.3416671874,21752.121887203,25934.62162018,23020.8413925136,24364.3819580155,22074.0216293326,23206.7817001246,21782.501434304,22918.802047726,19878.5414810296,19598.6611938551,19642.8614425555,19512.4811706329,18710.2413711676,21591.6417236277,21361.8617172196,22811.9813842934,1994.9601326001
PCo(40:5),0.24223873264517354,8.59067184324442,7.114185680205999,0.007647633492857435,0.02479687223441653,822.6 -> 184.1,PC,3729.920310975,3796.8602409376,3373.7202415471,3152.2802009572,3003.2602043147,3157.3802261359,3267.0002365108,3699.900276186,3054.160213472,3086.7802581805,3205.4002189643,2364.4201507576,3103.620220185,2687.9201812745,2433.52017212,3187.3402671817,3519.720233917,3259.0202445971,1533.1401023864
SM (d18:1/26:0),-0.2398907634787374,7.742049971411442,6.872300160383224,0.008754190528165458,0.027961145866080714,843.7 -> 184.1,PC,1621.2401275643,1604.4001197815,1490.3801193235,1353.7400817874,1442.2201042184,1755.9401397708,1340.6800842284,1621.1801223753,1577.0601043693,1772.0001297003,1921.1601181021,1643.1801147468,1598.4201126102,2191.9801635729,1850.0401382455,2059.3801231385,2224.2201652516,1784.5401153564,1387.6000938415
SM (d18:2/20:1),0.23431218665001824,9.1314717401798,6.695259580837607,0.009666959277434026,0.03042248949074826,755.6 -> 184.1,PC,5038.7602882402,4771.2203826898,4635.6802825937,5382.4404258715,5443.5004005424,5279.3803176881,4741.0403747562,4521.9802932747,4991.7203407266,5103.3403434767,4474.1002693157,3897.6802825943,4635.6403083801,3912.5802764889,4127.5802917471,4664.9603118897,4672.0402755734,4416.8003158559,1233.0800857543
PCo(34:4),0.23456170936922993,7.805498364424335,6.582318036273129,0.010299667830439835,0.031943897329190216,740.6 -> 184.1,PC,2076.2601394657,1925.1801567073,1698.7801208489,2002.4201545719,2136.9801445001,1403.5601043707,2009.3401565559,1974.1201210022,1911.6601448054,1984.7401466372,1500.7801132211,1739.5601158137,1458.1600837709,1555.3601112361,1777.8801345834,1866.4601325983,1536.6401023868,1836.0801353448,1298.9200935361
PC (42:4),-0.2271150490870853,8.03463082249697,6.200164112464837,0.012773846818165822,0.039051474558392654,866.7 -> 184.1,PC,1746.6401100164,1952.3401489265,1690.5801353444,2176.620155334,2265.0201721196,2006.5601348872,1765.8001213075,1644.7001037603,2014.2601432797,2303.5401840206,2022.0201339728,2294.360153197,2068.5001602193,2544.1601829518,2087.480167388,2412.280162811,2686.6401863105,2735.1602287288,1346.8200988768
PC (40:6),-0.22056063862836395,8.933883433570443,5.921472693427358,0.014957451273192068,0.04508302214736764,834.6 -> 184.1,PC,3794.7602500915,3603.6002426136,3453.7802276608,3754.0602951039,3759.9602584834,3540.800254823,3995.1403045666,3620.6202278128,3437.3202896122,4396.1202354413,4484.2203369149,3879.1402969363,4873.8003044122,3942.2202415457,4339.4603233343,5064.7403144838,4479.0403480547,4764.5603523253,1606.3401222238
C24:0,0.21647795115225293,13.211178873793756,5.780749860695152,0.016202627555494346,0.04815780967883042,367.3 -> 367.3,FFA,100064.346984866,81768.225891107,80779.685630773,88662.806060773,81081.185539231,85176.586090074,71670.325225835,76549.705444318,70748.264816276,80974.165771472,72624.204940805,74306.284957858,72968.8848647973,68172.024749754,69067.404754651,75334.4853820866,72918.38507078,75974.705299377,41301.702835082
C17:0,0.21103473378669665,12.700087288465355,5.492126425972543,0.019102296252843796,0.05524177565011584,269.3 -> 269.3,FFA,67337.964767447,50358.2633819758,48797.483383184,65434.664794926,58579.204208375,58254.324218742,52624.96370698,54421.564010618,49861.003829973,55258.22377014,52385.343582144,50064.623443595,49544.383392337,44836.063117988,47404.8432846087,50917.423263552,51553.063674914,54530.323806775,40828.862838747
PCo(40:4),0.212116717164075,9.426917644457417,5.500251718807724,0.01901373649920068,0.05524177565011584,824.6 -> 184.1,PC,6819.5604400629,6050.7804527273,5873.6403770447,6413.5405273436,6452.2405014034,4879.4603576645,5655.0204315178,6254.5604438791,6240.4004669197,5658.9404296882,5083.3603286739,5078.9803085339,5138.3202972426,5169.1603775024,5160.7803306599,6098.8605041527,6333.4804763798,5719.0204048164,1438.5000877385
PC (32:1),-0.20980995848252865,15.851855155155063,5.433792452298803,0.019750742000825144,0.05635545050902108,732.6 -> 184.1,PC,483308.75305161,430859.30993661,418356.14685039,497205.01684581,477464.84631348,479920.43432614,460780.93701164,450340.54553222,434737.06689448,628806.14746114,539351.43408199,522283.83471665,532826.82250959,503424.33679205,499034.91467289,611292.87829587,595896.35791025,576783.70190419,30069.9421653802
PCo(38:4),0.20983650147150895,10.290797796383329,5.406765186321195,0.020058853309316543,0.05648150800254921,796.6 -> 184.1,PC,11017.640792848,10023.0007782049,10637.5208396941,11573.2608032264,11385.3408088574,10772.4406204186,12018.8607864178,11315.7807044972,11442.6208953801,11340.3007125847,9553.9206237832,9407.4806480454,9479.7407379171,9458.3805923476,8790.3205757132,10850.4407997048,10899.8608283913,11138.8608779908,1672.9201049786
PCp(36:5),-0.2069990765215448,8.523036768235908,5.19110599071881,0.022702763843133245,0.0630959930185781,764.6 -> 184.1,PC,2914.8001594542,2705.2801628115,2415.5001564017,2436.0601692192,2805.0602149957,2749.2401809706,2866.3801956185,3333.9802513132,2348.4601554856,3485.2602729817,3047.8801956187,3554.1002578742,3055.8602485662,3467.0402297977,2972.2602043139,3548.6002655023,3553.3202590938,2972.1202201829,1663.080127716
PC (32:5),-0.20624344420548996,7.882015973503657,5.097932756543569,0.02395437560877769,0.0657209792343388,724.5 -> 184.1,PC,1614.5001144408,1647.1401290891,1719.0001182565,1604.3000946048,1546.1601142882,1572.4401206962,1742.7201118469,2121.0201416011,1965.9801559445,2138.7201652538,1966.3601341247,1792.4201164247,2019.040161133,2099.9601860054,2381.3801574715,1978.0801315312,2064.88012314,2313.3601837172,1323.16009903
PCo(36:3),0.19947327346957422,10.11628080569807,4.882945479493429,0.02712329662766526,0.07347323390278944,770.6 -> 184.1,PC,10898.920787807,9856.5608253544,9705.0606574958,9326.3405342090009,9926.5806007363,9525.7006340008,10443.8406486475,9477.7807159412,9262.3007049522,9947.0607070937,8771.6207351709,7906.9605407771,8366.8407402008,8204.1606330861,8359.4006462077,10468.5208015492,9089.5006217992,9669.7806510972,1579.2001075741
SM (d18:0/14:0),-0.1913570033031872,9.480866596712966,4.478398304054259,0.03432587571982949,0.09182171755054389,677.6 -> 184.1,PC,5438.2603340156,4494.0403251649,5205.5803756704,6181.720485686,4964.3203163139,5533.6203842165,6021.9403114314,5937.3003883365,5382.9403800948,8021.4804725657,6112.3404006967,6024.1604461681,6580.9604415912,6002.2804985044,6435.3804512037,6913.060485839,6493.9804992675,6225.0203704816,1732.1401100164
