lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1-Media_r1,C1-Media_r3,C2-Media_r1,C2-Media_r2,C2-Media_r3,C3-Media_r1,C3-Media_r2,C3-Media_r3,R1-Media_r1,R1-Media_r3,R2-Media_r1,R2-Media_r2,R2-Media_r3,R3-Media_r1,R3-Media_r2,R3-Media_r3,blank
Lyso_PC(22:4),0.13999112641930136,6.9356480321038525,3.8525336126449012,0.04967090513641443,0.1542996649921644,572.3638 -> 184.1,PC,1501.8001098636,1286.040088654,1323.6600952152,1438.9000930786,1094.0600814819,1315.2800865168,1443.140098572,1327.4800834652,1155.9000816346,1171.7800712586,1336.3200836178,1411.1801033022,1164.900081635,1285.8200874333,1202.4400711061,1257.8800888064,1206.4200859068
Lyso_Sphingosine-1-phosphocholine,0.1405324818583809,6.814632706118555,3.8498369627185465,0.04975082656289413,0.1542996649921644,465.3379 -> 184.1,PC,1155.960090637,1053.9200706482,1224.8400955202,1325.6401062008,1147.8800811765,1223.7200965876,1176.9600715632,1382.5200881951,1171.7000846863,1099.8200759888,1221.0400772097,1080.3400802613,1036.6000785827,1121.4000778197,1151.8200836182,1136.620082855,1459.2001075741
SM (d18:0/24:0),-0.13742609329722574,7.09334573693348,3.7319760334183716,0.05338020804264634,0.16319092173037594,817.7 -> 184.1,PC,1444.9400939941,1245.8600921638,1178.1200790405,1347.3400802605,1334.5800971994,1182.8600769043,1453.5801048276,1256.0800895687,1470.0001106275,1393.9201011658,1397.9600982664,1452.7201118471,1717.7601127625,1329.1200904846,1490.600105286,1524.1800994881,2306.9801673888
C24:1,0.1315923178162229,13.129815427709731,3.691626034812316,0.054686279173767255,0.16482906680543932,365.3 -> 365.3,FFA,107999.566993695,97153.366973875,86657.5056533671,90175.746147169,92475.7062683226,121078.367950432,114994.427764916,108202.627647404,94611.9662322935,97711.887245166,100815.946449245,97457.2673568701,92064.9861755243,95475.8470001082,95505.7469177025,91636.0060806281,20766.141502381
PCo(38:3),-0.13393842154037433,7.161369111067509,3.5623342523119286,0.05910456938089237,0.17567191454876344,798.6 -> 184.1,PC,1353.9401016233,1421.4600753786,1585.1601066594,1360.9800910952,1477.8201141353,1275.7600936894,1315.8600921625,1393.4601097101,1389.5600967417,1567.740104675,1580.1201095575,1522.5601119988,1692.9601020805,1606.1601142892,1636.8401260368,1598.9801063533,1904.8401412966
SM (d18:1/16:0),-0.12698984934894206,10.152788749557438,3.4059319917034543,0.06496240746358856,0.1904377424275062,703.6 -> 184.1,PC,11736.6207580668,9842.1806602422,11193.340724929,9942.7807540926,10104.7806282074,9368.8006210323,8141.5806083736,9196.8206863321,10010.9407043455,9280.3806114214,11637.420867908,10438.7205467237,12171.7208862234,11162.7607841543,12319.7409248342,12067.9208374033,37158.8032455607
PC (30:1),-0.1250313273849703,9.626733382791604,3.2894505457262895,0.06972635180194064,0.20164107142723378,704.5 -> 184.1,PC,9574.3806533819,6960.9804725623,7934.3205986005,8343.1605415312,7683.7405967727,6407.6805114707,5871.7403144845,5827.0604171738,6580.6404800412,6804.0204467795,7546.0005569389,8395.0405616701,7134.8605079628,9226.4207191369,10787.8807563661,9138.9407272342,18346.8410759066
C20:4,0.12346195443633229,10.91895448924434,3.2361103758756258,0.07203145910706,0.20282542432777423,303.3 -> 303.3,FFA,21353.4415168751,21986.801509859,20570.8214035033,20144.3013420112,20969.0214653012,21590.3214530936,22578.2616386401,22636.441616055,21777.6613807669,21463.981594084,19696.3614387525,19385.5013809204,21254.5215873717,20071.6614685024,19099.0212707552,18944.7414093008,13304.8209495521
PC (34:2),-0.12415711263444366,9.717601269590974,3.246781675777072,0.07156384466809321,0.20282542432777423,758.6 -> 184.1,PC,9023.8005485431,7939.9606666525,9064.5806999157,8522.2606925943,7151.5004234325,6910.720443727,7212.9206047043,7137.1005935664,8167.5605888342,8396.1406021097,8871.2206115731,10360.6007423381,6791.7604675291,9181.0404777411,9816.2807083144,8854.5007286145,18247.5612678524
C14:1,0.12261819195482665,12.876468956378076,3.2046647329771076,0.07342855671002708,0.20407417059669863,225.2 -> 225.2,FFA,68023.76470945,142675.85008241,58771.943908703,68959.544723504,77907.505355811,70668.165130627,85631.505981431,99091.5074005,63146.384338359,93327.926803585,55413.484001146,60951.564392061,83910.845779403,67525.665100074,94068.40696714,115152.208175666,40406.66294861
C20:1,0.11469685518357095,12.090531847793237,2.8014040131300817,0.09418180130540033,0.25520539397660275,309.3 -> 309.3,FFA,50624.8637390056,43694.6028327877,44374.5230789284,44655.5830764621,45526.4630813524,56921.9240722378,53582.8836593636,53574.5837860048,47815.983428936,46270.0631179889,47064.9434432973,46161.4232559154,45600.8832473741,48700.5236663857,45444.3429908692,44742.9032897988,16399.5211181652
PC (40:3),-0.1191976930022865,6.881115836004771,2.780743237496953,0.09540388559873,0.25520539397660275,840.6 -> 184.1,PC,1184.640094757,1314.1001014709,1073.4800834656,1246.98008728,1198.140094757,1149.8800849915,1014.180065155,1102.4400787353,1342.140094757,1192.9400863649,1140.1400756837,1524.0201148991,1197.8400955199,1364.1800918583,1295.8400917053,1285.0600967399,1521.8601112359
PCp(40:6),-0.11915787719415787,6.917399489377131,2.781673332532282,0.0953485010097032,0.25520539397660275,818.6 -> 184.1,PC,1112.9600791929,1101.3600730895,1231.3200874328,1144.7000732423,1313.5401000984,1248.6400909426,1118.0400848388,1127.8400726317,1186.0000839231,1312.040096283,1363.440093994,1266.7400932308,1323.0000915524,1436.9400787361,1244.9000854486,1334.2200889593,1836.9801177975
Lyso_PC(7:0),0.11535630229644907,7.046913808515005,2.633334221626015,0.10464176042693389,0.2760463989675471,370.1916 -> 184.1,PC,1381.4800872808,1353.7800941476,1265.4800872801,1442.3800964344,1435.9801063533,1623.1601066594,1401.9400978087,1691.3201255801,1391.1000976562,1220.3600883486,1293.1400794976,1453.7201042188,1470.5001068127,1309.2400856015,1502.4600982658,1332.1201019286,1112.2000732422
PCo(38:5),-0.11490179861016678,7.094405574514215,2.616240365904403,0.10577478838943394,0.2760463989675471,794.6 -> 184.1,PC,1265.5000953675,1319.1200904842,1252.6200904848,1374.1400947572,1467.8601036064,1299.8601036071,1367.8200950621,1572.4401206961,1362.7601051329,1487.5001144409,1319.7800827029,1636.8601341247,1710.6401100164,1420.660102844,1653.4001121516999,1538.0001182556,1447.9601135259
PC (32:2),-0.11025440247035907,9.146718372261349,2.547174020786425,0.11049172961584038,0.2848822908167451,730.5 -> 184.1,PC,6661.6204795825,5180.7803802482,6018.7804107666,6009.5204200694,5174.4603614802,5704.2604141253,5492.0004386911,5002.3403930657,5147.460376738,5907.3604316745,5757.5004158027,6251.4604454047,5669.6204223624,6724.2605285664,7252.620502472,7384.3605575565,6489.4604911808
PCo(36:2),-0.11002310444901273,7.503199328719841,2.434391575253663,0.11869994254742756,0.30240223458511306,772.6 -> 184.1,PC,1945.2001457208,1820.8601074216,1882.8401374812,1590.0201187127,1534.3201141351,1699.9401054372,1729.0001297014,1543.5800971976,1881.5001106264,1514.3001213074,1982.7001342776,2043.6401214603,2035.7001419056,1834.3601303106,1600.9401168823,2315.5801620477,3678.7202796963
PC (32:5),0.10640446924454748,6.848878806045434,2.2135137321796874,0.13680675818827065,0.3444311323798814,724.5 -> 184.1,PC,1192.9800949095,1243.1600875854,1209.9800872803,1192.5200805666,1122.3600769042,1251.2000885007,1315.7800903324,1369.3400917053,1191.4800796506,1233.8600921633,1194.9800796513,1181.100086212,1114.3400764464,1068.0200767513,1180.1200866694,1262.1600990291,1323.16009903
PCo(36:4),-0.10436448375393242,7.164756715794906,2.1663257956716677,0.14106291373116742,0.35101701788918405,768.6 -> 184.1,PC,1223.9400825504,1706.2401084897,1394.3800926205,1589.2601127619,1321.4000968936,1517.320114136,1383.3001022339,1402.2401046753,1481.4401130689,1382.9600944519,1743.1601181018,1539.2801094054,1487.6200866706,1780.2601394653,1683.0201263421,1636.2001190188,1459.1601066597
PC (32:3),0.09430249741597238,7.3489251287344075,1.7831769912184754,0.18175969365131825,0.4470870625446219,728.5 -> 184.1,PC,1827.2801284796,2108.5401535043,1700.2801094048,2023.5801391599,1538.30009842,1872.8401374814,1720.8401184092,1223.5000915528,1457.6001091005,1663.0601272569,1624.3601188657,1889.3001289371,1686.7801132208,1684.4001197815,1744.4201164243,1706.7401123051,1750.7001152051
Lyso_PC(17:1),0.09401976275352658,6.914026796709426,1.7358769426376135,0.18766209445880125,0.45636009334299393,508.3325 -> 184.1,PC,1280.4200935363,1235.4400939942,1275.9800834657,1241.560077667,1180.0600738526,1505.20009613,1331.2400856022,1343.2401046753,1127.3800849915,1084.8800735472,1192.000076294,1278.8600883483,1259.2200851441,1380.7401008614,1479.1600990296,1184.0600929261,1236.9400978088
PCo(38:4),-0.08975473600086636,7.2236911302571665,1.606165523988615,0.2050316499617352,0.49299745046979027,796.6 -> 184.1,PC,1607.0201148993,1421.9800987247,1543.8601188659,1717.7601127616,1439.7001228333,1432.8400917054,1316.6400871275,1535.3200874325,1179.5800895695,1491.1600990289,1694.4001235964,1691.3201293956,1668.760105133,1702.4001312252,2079.3001403817,1618.0801124569,1672.9201049786
Lyso_C17 sphingosine-1-phosphocholine,0.08885502353005614,6.826546951598189,1.5426255082586433,0.21422742623194851,0.4983116218873585,451.3223 -> 184.1,PC,1121.7400741579,1278.1200942992,1424.2001037599,1095.9000740051,1122.4800758362,1260.2400856016,1301.3600959779,1154.1200714108,1127.360080719,1119.7000808716,1181.9200820923,1246.7600860594,1293.9600868228,1068.6000633239,1219.3200874331,1151.2200851443,1155.9200897217
PC (34:4),0.08853838171799307,7.054243511415647,1.5505016774498372,0.2130613949818275,0.4983116218873585,754.5 -> 184.1,PC,1243.900089264,1149.8800849914,1690.9401206981,1290.8000793461,1738.6601295469,1403.4400978089,1328.6400833131,1537.3801078799,1395.0401077271,1418.7600936891,1263.6801071165,1102.1800842287,1305.4400939944,1883.5001449591,1429.6800994871,1198.3000755316,1440.2400932316
PC (40:7),-0.08905447274880984,6.834943403506184,1.5485138426105118,0.21335497210762489,0.4983116218873585,832.6 -> 184.1,PC,1191.9000968929,1152.6000785825,1109.2600860594,1082.5200767514,1098.7200851441,1207.6600913998,1145.2600784304,1124.3000793455,1305.0001068115,1260.3401031498,1303.5800895678,1221.3000984188,1231.5000801085,1131.8600807193,1288.06010437,1190.0400772096,1431.160095215
PCo(36:5),-0.08702487057457449,6.911721435936581,1.4864749208361037,0.22276420226116825,0.5125971966009678,766.6 -> 184.1,PC,1206.3400840755,1162.5200729368,1184.2800941465,1193.940090179,1264.7800941469,1195.2800903319,1125.3000717163,1371.6800918594,1138.600074768,1258.020072937,1319.7600936887,1176.6800765991,1401.3400993349,1513.0801200857,1238.740085602,1530.44013977,1307.500095368
C20:0,-0.08189357099664948,14.113620244185544,1.430826189479827,0.2316296512550209,0.5273270783890902,311.3 -> 311.3,FFA,206217.354400637,177509.972610498,169992.03198239,167784.972549457,169644.13189693601,211803.434875495,202937.054138184,188896.473510778,258762.398590117,248194.437835647,209516.074371326,202876.794403025,190215.673400885,176691.273254375,168470.671539325,163527.471771246,62300.204498283
Lyso_PC(20:3),0.08089113002825808,9.324056329734773,1.375158408055583,0.24092757122701544,0.5427210551850663,546.3481 -> 184.1,PC,6400.120456696,6633.3004150392,8291.94059372,9204.4207115149,8668.9605674717,6509.0404357898,5876.1004638671,5562.8603439301,6568.7404747019,5668.3804359427,6685.3004608164,7396.2405967717,7438.420452118,7154.4205474847,6965.8205184922,7603.2605552669,2050.5401153562
C20:5,-0.0786991426623458,11.523630873909475,1.3175355609684871,0.2510348197929269,0.5595984524550662,301.3 -> 301.3,FFA,30750.2421989399,29152.0421028119,28052.3621482845,30067.3621597309,30090.1420478821,32574.9822654669,31606.9023742703,31434.7022285442,30579.8023185694,34161.182392118,31260.7423171965,32262.7823524543,33800.8224906931,32856.3221893326,33606.802383419,35281.8223800622,20526.2014312782
Lyso_PC(19:1),0.08071468181628434,6.842420668871579,1.2732819570889173,0.25915188876971873,0.5717371566672146,536.3638 -> 184.1,PC,1559.6401100164,1194.220088959,1104.0800819397,1220.2000808715,1109.0400810242,1265.5400772095,1138.7200775149,1175.6400833135,1095.3400840758,1199.2401008607,1323.2800788874,1077.1800765991,1177.960090637,1069.4600753785,1169.7600746155,1345.8401031495,1345.6800880439
C18:4,0.07472691310874545,10.935003553266096,1.1858529270283995,0.2761676689158907,0.6030600117142919,275.3 -> 275.3,FFA,19986.5213966408,20120.6013603203,20813.6015701277,20136.3614768959,21177.1214294438,24433.4616889957,22542.2815933198,22470.9214706395,21874.1416320766,20789.3215064959,21864.1414909364,19712.2614021308,20736.4014778114,20911.5414237932,20903.6614799548,20275.941471102,12110.1808624252
SM (d18:0/12:0),0.07605268243640667,6.736868476820773,1.123212151351618,0.289227844573174,0.6251180474659475,649.5 -> 184.1,PC,1108.640071869,1224.9400787356,1134.1200752258,1107.6200714113,1136.9400825504,1050.3000679017,1193.1000900271,1096.7000808714,1046.7800712585,1182.0800704955,1166.580078125,1022.3200683594,1179.7400817868,1080.4200706482,1076.7000808717,1052.7800827026,1243.2200736995
SM (d18:2/14:0),-0.07536891688902163,6.819134226198834,1.10986527268643,0.2921112371336203,0.6251180474659475,673.5 -> 184.1,PC,1129.9200782774,1110.1400718693,1147.8200874327,1149.8000755308,1111.7600822451,1125.3400840759,1221.0800819398,1220.9000778199,1158.7200813295,1349.7600936885,1340.3400917052,1081.8200683595,1212.720085144,1147.2600746156,1310.4001083371,1357.8000984198,1051.0400695802
PC (34:5),0.0746072432460716,6.8021245830303725,1.0852394846826083,0.297528397334344,0.6304067032628675,752.5 -> 184.1,PC,1088.4000854491,1148.3400688172,1169.340084076,1218.100078583,1245.8200950629,1246.900089264,1265.2400932315,1082.7400741579,1197.9000816342,1181.4400825499,1089.9600715638,1163.2800827022,1077.8800697326,1232.7000999454,1177.9400863649,1095.9800796507,1316.820083618
PC (40:10),-0.07367912140937638,6.798892796119255,1.0584788879990352,0.3035623718464667,0.6368857605406263,826.5 -> 184.1,PC,1167.9800949095,1098.720081329,1101.9000778197,1117.9000701903,1118.2200775145,1079.3600730895,1179.4200897216,1140.4400749208,1329.9400978087,1274.960098267,1091.5400772094,1099.1600761412,1239.0000915523,1140.9800834652,1222.3400917052,1317.4201011658,1235.7000961304
PC (36:5),-0.06842051195154446,6.885763777102983,0.9164312283225513,0.3384137632145196,0.7031120905622058,780.6 -> 184.1,PC,1274.3400955199,1301.6800880435,1170.0600852965,1122.5200881963,1159.3400802614,1119.3000869749,1230.2600898742,1077.9400787354,1249.6400947571,1521.1401252745,1320.0600891111,1258.520095825,1179.9000778197,1225.6800880433,1196.1000823976,1210.0600852969,1590.3801193226
Lyso_PC(11:0),0.06743264822354787,6.948158228192005,0.8942901094515445,0.3443173707801921,0.7073222885084285,426.2542 -> 184.1,PC,1278.2200927738,1430.6801033022,1446.380111694,1182.6000785827,1235.9200897221,1200.3400878903,1396.1800994873,1312.840084077,1284.3600997917,1309.2601013186,1083.5800743103,1205.020084381,1460.3801116935,1278.3200912475,1359.6400985716,1284.7200851443,1370.0200881962
PC (40:4),-0.06661334912650246,7.220122230439547,0.8842119279704352,0.3470506555765654,0.7073222885084285,838.6 -> 184.1,PC,1598.5001220711,1577.1801071172,1575.2001152043,1372.1801109311,1417.7000885017,1514.4401092522,1497.1801033017,1447.2801017762,1460.8201141351,1484.380100251,1505.4800949085,1758.9001235969,1357.3000946047,1629.5200920107,1933.2601280218,1762.4401130683,1865.8201408388
SM (d18:1/26:0),0.06683325284974784,6.700819983077708,0.8647115700117103,0.3524235423547649,0.7114965855086764,843.7 -> 184.1,PC,1099.6000785825,1083.0800590518,1068.1400794983,1041.4200668332,1083.7400741581,1115.8000717164,1146.3200759887,1084.3000755309,1030.1800727843,1087.76007843,1010.7000694274,1070.5000686648,1059.1000785829,1094.4000778197,1125.7200775146,1060.4600715638,1387.6000938415
PC (40:6),-0.06524315520442447,7.226509529923043,0.8489987773045193,0.3568357331705472,0.7136714663410944,834.6 -> 184.1,PC,1351.5001029961,1756.9001159667,1685.360126496,1434.6401100167,1777.0801124575,1443.1201133734,1275.9200935365,1447.0601005558,1428.6200828556,1610.4801330573,1529.6801109314,1661.8601303097,1746.3001441957001,1765.3801078793,1689.5201148992,1638.6801185614,1606.3401222238
SM (d16:1/22:1),0.06445666430962776,7.500625229916344,0.8371568091470358,0.36021119289218334,0.7137518081382151,757.6 -> 184.1,PC,2124.6401443481,1969.6801376343,2128.3401412962,2078.1601486199,1740.9401245114,1518.5200996401,1626.9601173397,1856.160133361,1641.3001098631,1680.8401412969,1788.040122986,1897.3401489261,1839.320137024,2083.3201522823,2242.8401679977,1606.2401046745,2675.6801986686
PCo(36:3),0.06351192790679071,7.121582184874367,0.8004240374976437,0.3709666195225791,0.7283197851177241,770.6 -> 184.1,PC,1487.8001098628,1414.9400901796,1490.4601097109,1477.5600967401,1462.2001037592,1368.2401008607,1509.3201026922,1584.2801132203,1434.3600997926,1453.2000923157,1248.7600784304,1281.0600929261,1361.0400886534,1577.9001197809,1698.580123903,1531.8001213065,1579.2001075741
Lyso_PC(19:3),-0.06129386313795808,7.639889988144506,0.7627039747427773,0.3824836431701542,0.7425384256720247,532.3325 -> 184.1,PC,1876.5401191716,2086.9601287863,2472.6201629641,2093.0001564026,2240.4801673885,2158.600128175,1801.6201019293,1894.480129241,1968.2401275637,2035.5001525883,2003.9201393131,2246.5801391608,2489.1201896668,2554.7801780707,2189.8201751715,2313.140144347,1310.0600967409
PC (44:5),0.06228953729076692,6.750055000547564,0.7542041241468889,0.3851484357457698,0.7425384256720247,892.7 -> 184.1,PC,1141.4400787355,1150.8600807192,1106.3400802608,1120.3600730895,1087.2200737,1168.4000816346,1248.9000778202,1083.2000808715,1095.7800712587,1114.2600822446,1081.580078125,1129.880088806,1116.2000770571,1091.2200775144,1108.1200904847,1204.5800743103,1237.7800827023
PCp(42:4),-0.061857985144400975,6.729393016821654,0.7429683394215401,0.388711669202573,0.742716939369202,850.7 -> 184.1,PC,1077.4200706479,1041.460079193,1164.9800720213,1029.7200698853,1043.7000808713,1148.6000785829,1107.3400802613,1009.2800788882,1241.6400947569,1254.4800910948,1066.1400680541,1193.0000839235,1064.0200805662,1140.7600860597,1062.8200798034,1200.8400802611,1170.1000900268
PC (42:2),0.0611950186567625,6.746930927002392,0.7279904955708876,0.3935353235519731,0.7452792853108163,870.7 -> 184.1,PC,1102.4400787351,1064.9400634766,1175.6800765989,1177.4400787355,1162.26007843,1143.6000862122,1104.8000793455,1177.9800834657,1141.6400833128,1088.7000694275,1098.0400848389,1066.2400779726,1128.0600852967,1100.6400756837,1151.7800788879,1179.7600822448,1175.6600875854
C18:1,0.05556942640245031,13.152873828439693,0.6585038284902112,0.4170886454836065,0.7750554468061214,281.3 -> 281.3,FFA,112253.888351429,93560.126136783,93202.3259582368,93557.5264587277,92620.2264480346,113314.548332184,108328.467544574,101094.387382531,105827.287261958,103213.147094716,102367.066688535,100479.846679663,91842.3061141799,100106.647407548,96975.826980585,95378.266479471,27126.7419319159
PC (34:3),0.05696274485096227,7.690507114636658,0.6582329329415479,0.4171844783720961,0.7750554468061214,756.6 -> 184.1,PC,2383.5001564023,2481.9601745606,2502.4001655587,2157.040138244,1733.1401214605,1887.8201370236,1940.3001213073,1955.580158233,1826.1601448062,1698.9801292424,2110.9001655563,2110.5401649477,2220.760139466,2161.7001609795,2587.8402023324,2106.5001373276,3224.5402679439
PC (50:0),0.057940226979421014,6.677838951767286,0.649969698814146,0.4201235132220097,0.7750554468061214,986.9 -> 184.1,PC,1073.9400825501,1077.620075226,1054.9400711057,1128.3200798035,1120.4600830076,1077.4200782777,1074.1000709534,1095.9400787353,1087.3600692749,1058.5000686644,1054.7400741579,1067.2200851439,1066.7400817869,1115.9600830075,1060.8800773618,1063.0200767517,1059.4600715638
PC (40:5),-0.055524917471576445,7.546350196333439,0.6235009201071122,0.4297492895982348,0.7860371621711303,836.6 -> 184.1,PC,1865.120147705,1942.8201255791,1729.9801368721,1833.6401100156,2404.4601783746,1903.6601448052,1863.6001396183,1912.2801551825,2206.8001441948,1981.560127258,1584.9601058962,2217.5401611343,2389.4401664738,1995.7001380927,1854.9001159667,2231.3601646431,1580.840114593
PCo(40:5),-0.05514182056192778,7.1350025121907645,0.6038522851017554,0.43711196815907705,0.7927284846274787,822.6 -> 184.1,PC,1239.5600776674,1377.1201019279,1565.5401077271,1285.3400878901,1398.3600921636,1648.440120697,1298.8800811771,1647.5601272586,1355.2200889592,1467.4800872807,1307.0000877381,1490.1401062019,1706.9001235957,1707.8401184083,1665.7801094057,1514.2201042174,1533.1401023864
C22:6,0.05207682139527418,12.380736631282952,0.5778649679209593,0.44715040424990943,0.7974182209123385,327.3 -> 327.3,FFA,59872.7042999344,54003.4640197942,54474.1436233501,55381.964065553,51093.923721311,66012.304656961,64290.564613357,60028.204071033,65569.724601722,61232.183959949,60798.863914491,56005.583877571,53083.92375183,56013.943946827,53378.443710308,53442.9235992225,31051.162117009
PC (42:8),0.05475894205984284,6.675224977694134,0.5802357984344022,0.4462199103186725,0.7974182209123385,858.6 -> 184.1,PC,1150.5800781249,1077.0600852964,1035.2600746156,1124.9200744625,1063.220085144,1123.5000839232,1036.8800849915,1033.3200645446,1047.2000808717,1088.7600746155,1024.7600708009,1089.1400718689,1133.1000785828,1079.5000762939,1053.4400749205,1014.0800666811,1135.1600799561
PC (46:2),0.0535208072852235,6.698297134283384,0.5552008270183711,0.4562003912714049,0.8068337498519063,926.8 -> 184.1,PC,1088.5600700379,1059.7400856017,1119.4000892639,1069.6600799563,1124.3400840758,1143.2200737,1098.4800834656,1089.5600738524,1096.0200767517,1104.8400764462,1081.1200866697,1055.5600776673,1085.4400672912,1084.9400749208,1120.2000846863,1058.5000801083,1123.5400848387
Lyso_PC(6:0),0.05252744548927636,7.0529630464117865,0.5456242208430453,0.46011116789363954,0.80708024532163,356.176 -> 184.1,PC,1544.0801124576,1461.4801025384,1340.9001045224,1329.3600883482,1270.8600959778,1490.5800895688,1367.7000999456,1409.0600929264,1442.3001060489,1497.5001068118,1552.4801216124,1332.6601028447,1320.1600952147,1153.4400749206,1404.0800819393,1371.7801055899,1510.2200965888
C16:0,-0.049236599920700695,18.562588304881462,0.5175319150712312,0.47189639979177483,0.8090484999903726,255.3 -> 255.3,FFA,4608625.02044634,3748546.17278977,3992470.72924694,4027900.18414331,4224559.2202161,4571357.33651762,4304683.14761237,4069766.13015796,4704654.3965445,4444880.30819628,4647656.61456518,4542500.02658069,4330468.03765719,4458976.82421947,4329151.41076552,4099676.15417245,212711.674194336
C22:5,0.047347898804136444,12.175749170692635,0.4775484685804514,0.4895348630331259,0.8090484999903726,329.3 -> 329.3,FFA,51942.80353546,48825.0635070844,45537.843353272,45116.1031875702,47914.3433418111,57289.8837280129,52845.1039580991,54039.883781422,49703.0435333335,52773.683853143,51075.283622751,50495.0037269535,50079.96374512,47453.3632888882,49959.5235557479,48371.843521118,25730.0218963637
Lyso_PC(17:2),0.05076700558062608,6.875608669876904,0.505101449832984,0.47726712479630934,0.8090484999903726,506.3168 -> 184.1,PC,1334.3600921638,1183.3600921629,1236.2400856018,1092.0400733948,1153.8200912474,1394.2201004037,1299.3000946047,1286.3400917056,1217.2800788878,1128.0000724792,1142.3600807191,1360.8601074221,1209.6800918579,1197.5800781245,1411.9001121516999,1206.2800750732,1191.9600868227
Lyso_PC(4:0),0.049194202366578704,6.96112272572157,0.47617571620430077,0.4901596856464778,0.8090484999903726,328.1447 -> 184.1,PC,1313.4200935366,1262.0200958251,1275.6600723263,1234.2600860593,1276.98008728,1283.6600952144,1313.1401023864,1515.4401130671,1279.7600860598,1337.3600883482,1352.5600967406,1305.9600906372,1145.140083313,1405.5000953682,1396.9601097103,1163.0800819397,1472.6401100161
PC (36:3),-0.047886783197509525,8.314864181103433,0.47328876538141884,0.4914780607418152,0.8090484999903726,784.6 -> 184.1,PC,4373.1402778633,3064.9402465818,3210.6202583316,3835.5602531427,2436.1401367174,2520.0201721193,2912.80022049,2707.5402221696,2904.5002250662,3126.140209198,3689.5603065472,3176.7402496346,3223.4202613826,3276.7802124024,3423.5002555839,3753.9802284255,5613.9203796379
PCo(32:2),-0.04900893096839226,7.948398052236202,0.49221224781142325,0.48294212756234134,0.8090484999903726,716.6 -> 184.1,PC,3268.7402153006,2609.7402000418,2656.6401863086,2645.1602058421,2517.2201881412,2094.7401466373,2082.0401535026,2735.5402107234,2146.1201477052,2145.2201309214,3015.1002197263,3006.6402282719,2484.9801559443,3026.7201843242,2550.8401756286,3513.8002548235,1774.3001251216
PCo(40:6),0.04830177738720555,7.922950434910018,0.4779051346998102,0.48937273986850116,0.8090484999903726,820.6 -> 184.1,PC,2981.4802055359,2406.3001518243,2220.3401527406,2232.7801818856,2826.3002090446,2951.9601707454,2823.9002075192,2659.1801948556,2424.5401725761,2672.9001884465,2617.760204315,2711.0201950078,2355.5001640325,3098.9201812738,2712.7201805108,2316.0401573169,1488.8201065067
SM (d18:1/14:0),0.049934783249824984,7.1121541730563536,0.49331969944372034,0.48245018794074424,0.8090484999903726,675.5 -> 184.1,PC,1326.1800880436,1260.0400886529,1461.360095978,1339.70009613,1509.220108031,1632.5801124586,1412.220108033,1326.5400886539,1299.2200889586,1149.8600807191,1555.9201087949,1359.0000953677,1359.920101165,1320.1000938421,1752.0601348885,1363.9600982672,2427.7601699828
Lyso_PC(15:0),-0.04707447489697348,7.015777184159845,0.43761841847937255,0.5082741888201519,0.8303105069275764,482.3168 -> 184.1,PC,1317.1000938417,1457.0200920115,1403.4200935369,1311.9801101683,1202.4000930785,1470.9201049811,1260.2800979612,1207.9400863647,1417.7401084896,1473.680107117,1369.8200950622,1223.9000968931,1400.3600997915,1701.0801086428,1366.5201072691,1311.1400871282,1307.4200859066
PC (40:9),0.04690621549218991,6.809643967994675,0.42867526173553117,0.5126396940235871,0.8310976857655124,828.6 -> 184.1,PC,1118.7000846861,1065.9800834652,1257.2400894166,1181.9200973512,1229.1800842288,1260.2600975041,1076.5400733948,1107.4400749205,1295.8401031498,1081.8600769045,1227.0000915528,1137.5200881953,1072.7800674437,1114.6000709533,1062.3400764465,1233.360088348,1595.4801292429
PC (30:2),0.0448727829519788,7.517945735402379,0.4065131385862202,0.5237446252378051,0.8427169157961676,702.5 -> 184.1,PC,2161.2601470948,1859.52014923,1921.540161133,2213.5601615907,1884.4201164239,1945.0001487743,1645.9601211554,1850.9201202393,1908.5201416012,2507.5601806637,1582.980113982,2220.9801559443,1423.3201065058,1914.2601509092,1996.3401489259,1824.3201255794,1994.9601326001
PC (48:2),0.045300986830641425,6.6944951692359815,0.3976820352957686,0.5282887847680913,0.8436850741818771,954.8 -> 184.1,PC,1130.6000785826,1075.2600784301,1060.3000831605,1083.7200775146,1088.8600692748,1075.8200798034,1117.2400817872,1116.1800842285,1107.1400794981,1079.3000679016,1166.1000709536,1083.3200683592,1054.4600715638,1056.1600723265,1074.5800781246,1071.0600738525,1111.8800811767
Lyso_PC(18:4),-0.043193993468548034,6.810408652024423,0.36416265182563734,0.546203444976865,0.8594671854783023,516.3012 -> 184.1,PC,1131.140079498,1071.2600708008,1064.360080719,1231.5000801086,1135.5000877379,1241.0800895697,1178.540084839,1148.8200836182,1407.7400970452,1170.9800910954,1233.800083161,1133.5800781249,1036.140071869,1194.3000755311,1342.1600952144,1203.2400894159,1195.5400886536
