Majority protein IDs,Protein ID,Gene names,logFC,PValue,FDR,Fold_change,C1,C2,C3,C4,C5,average_C_lfq,R1,R2,R3,R4,R5,average_R_lfq,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count C4,MS/MS count C5,MS_C_average,MS/MS count R1,MS/MS count R2,MS/MS count R3,MS/MS count R4,MS/MS count R5,MS_R_average
F1M8P2,F1M8P2,Zyg11b,-25.30386926,2.02E-19,1.77E-18,2.41E-08,0,0,12796000,0,13217000,5202600,0,0,0,0,0,0,0,2,2,2,2,1.6,0,0,0,0,0,0
P18163,P18163,Acsl1,25.29449599,2.00E-19,1.77E-18,41153049.02,0,0,0,0,0,0,10690000,14868000,0,0,0,5111600,0,0,0,0,0,0,2,2,0,0,0,0.8
B2RYT4,B2RYT4,Mrps14,-25.28089695,2.06E-19,1.77E-18,2.45E-08,13981000,0,11590000,0,0,5114200,0,0,0,0,0,0,2,0,2,0,0,0.8,3,0,0,0,0,0.6
D3ZE49,D3ZE49,Trappc12,-25.28960237,2.05E-19,1.77E-18,2.44E-08,0,0,0,26045000,0,5209000,0,0,0,0,0,0,2,0,0,5,0,1.4,0,2,0,0,0,0.4
D3ZXF8,D3ZXF8,Mrpl43,-25.29579359,2.03E-19,1.77E-18,2.43E-08,13810000,0,12029000,0,0,5167800,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0
D4A1K2,D4A1K2,Rpl7l1,-25.28367407,2.06E-19,1.77E-18,2.45E-08,0,15125000,10603000,0,0,5145600,0,0,0,0,0,0,0,3,2,0,0,1,2,2,0,0,0,0.8
F1LMZ2;B2RZC9,F1LMZ2,Krtcap2,25.26272664,2.06E-19,1.77E-18,40256729.66,0,0,0,0,0,0,0,0,24886000,0,0,4977200,2,2,2,0,0,1.2,2,2,2,0,0,1.2
Q499S2;Q06645;Q06646;Q71S46,Q499S2,Atp5g3;Atp5g1;Atp5g2,-25.28602441,2.05E-19,1.77E-18,2.44E-08,0,12988000,12783000,0,0,5154200,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0
Q5PQL3,Q5PQL3,Sppl2b,25.25841462,2.07E-19,1.77E-18,40136587.48,0,0,0,0,0,0,13400000,0,0,0,11346000,4949200,0,0,0,0,0,0,2,0,0,0,2,0.8
Q6AYT0,Q6AYT0,Cryz,-25.27949364,2.06E-19,1.77E-18,2.46E-08,10668000,14898000,0,0,0,5113200,0,0,0,0,0,0,3,2,0,0,2,1.4,0,0,0,0,0,0
Q8CHM7,Q8CHM7,Hacl1,25.2706719,2.04E-19,1.77E-18,40479044.48,0,0,0,0,0,0,0,9477800,7064200,8723300,0,5053060,2,2,0,0,0,0.8,2,4,3,2,0,2.2
F1LTD7;A0A0G2K089,F1LTD7,Dennd4c,-25.26203457,2.10E-19,1.78E-18,2.49E-08,0,0,0,12776000,12595000,5074200,0,0,0,0,0,0,0,0,0,3,2,1,0,0,2,0,0,0.4
F1M9W9,F1M9W9,Trappc8,-25.25277665,2.11E-19,1.78E-18,2.50E-08,0,0,0,11656000,13538000,5038800,0,0,0,0,0,0,0,0,0,2,2,0.8,0,0,0,3,0,0.6
G3V7V3,G3V7V3,Slc27a4,25.23799092,2.10E-19,1.78E-18,39572391.61,0,0,0,0,0,0,13046000,0,0,11718000,0,4952800,0,0,0,0,0,0,3,0,0,2,0,1
Q5HZA9,Q5HZA9,Tmem126a,-25.2549227,2.11E-19,1.78E-18,2.50E-08,0,0,14829000,0,10332000,5032200,0,0,0,0,0,0,0,0,3,4,3,2,0,0,0,0,2,0.4
Q6IE50,Q6IE50,Smoc1,-25.26135701,2.10E-19,1.78E-18,2.49E-08,0,25328000,0,0,0,5065600,0,0,0,0,0,0,0,4,0,0,0,0.8,0,0,0,0,0,0
Q6P7B6;P52796,Q6P7B6,Efnb1,25.23783898,2.10E-19,1.78E-18,39568224.2,0,0,0,0,0,0,0,24594000,0,0,0,4918800,2,0,0,0,0,0.4,3,2,0,0,0,1
D3ZT07;D3ZDH8;Q9JJM9-3;Q9JJM9;Q9JJM9-2,D3ZT07,5-Sep,-25.24938797,2.12E-19,1.78E-18,2.51E-08,0,10194000,14932000,0,0,5025200,0,0,0,0,0,0,3,2,2,0,2,1.8,2,4,3,3,3,3
G3V6U9;D4A7S1,G3V6U9,LOC100910833,25.22795213,2.12E-19,1.78E-18,39297988.48,0,0,0,0,0,0,24378000,0,0,0,0,4875600,0,0,3,0,2,1,3,0,0,0,0,0.6
O70513,O70513,Lgals3bp,25.21388372,2.15E-19,1.80E-18,38916637.21,0,0,0,0,0,0,0,24189000,0,0,0,4837800,0,0,0,0,0,0,2,4,0,3,4,2.6
Q6MG85,Q6MG85,Agpat1,25.2143168,2.15E-19,1.80E-18,38928321.36,0,0,0,0,0,0,0,0,0,0,23829000,4765800,2,4,2,0,3,2.2,3,3,0,0,2,1.6
A0A0G2JW51;Q5BJS0,A0A0G2JW51,Dhx30,-25.22740443,2.16E-19,1.80E-18,2.55E-08,0,0,0,24946000,0,4989200,0,0,0,0,0,0,0,0,0,3,3,1.2,0,0,0,2,0,0.4
A0A0H2UHC8;Q5FWT7,A0A0H2UHC8,Ublcp1,-25.22852819,2.16E-19,1.80E-18,2.54E-08,0,0,12997000,11866000,0,4972600,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0
A0A0G2JWH3,A0A0G2JWH3,NA,-25.22296833,2.17E-19,1.80E-18,2.55E-08,0,0,0,0,24517000,4903400,0,0,0,0,0,0,0,0,0,2,5,1.4,0,0,0,0,0,0
A0A0G2KB74;F1LZ43;D3ZZB0,A0A0G2KB74,Dip2a;Dip2c,25.17057589,2.23E-19,1.81E-18,37765770.58,0,0,0,0,0,0,0,0,0,23867000,0,4773400,0,0,0,3,2,1,0,0,0,5,0,1
A0A140TAI1;Q9JJP9,A0A140TAI1,Ubqln1,-25.19783498,2.22E-19,1.81E-18,2.60E-08,0,24237000,0,0,0,4847400,0,0,0,0,0,0,0,2,2,0,0,0.8,2,0,0,0,0,0.4
D3ZKQ4,D3ZKQ4,Rabl6,-25.18396732,2.24E-19,1.81E-18,2.62E-08,9338000,14595000,0,0,0,4786600,0,0,0,0,0,0,2,4,0,2,0,1.6,0,0,0,0,0,0
D3ZMP6,D3ZMP6,Nop10,-25.18925467,2.23E-19,1.81E-18,2.61E-08,12415000,0,11588000,0,0,4800600,0,0,0,0,0,0,4,0,3,0,0,1.4,2,0,0,0,0,0.4
D3ZV75,D3ZV75,Mfsd1,-25.18498997,2.24E-19,1.81E-18,2.62E-08,23838000,0,0,0,0,4767600,0,0,0,0,0,0,4,2,0,3,2,2.2,0,3,0,2,0,1
D4A2K1,D4A2K1,Hoga1,-25.18431934,2.24E-19,1.81E-18,2.62E-08,0,24011000,0,0,0,4802200,0,0,0,0,0,0,0,2,0,0,0,0.4,0,0,0,0,0,0
D4A7X1,D4A7X1,Mrps16,-25.20295932,2.21E-19,1.81E-18,2.59E-08,9440400,0,7784600,0,6987500,4842500,0,0,0,0,0,0,3,2,2,0,2,1.8,0,0,0,0,0,0
P51792-2;P51792;A0A0G2K2K6,P51792-2,Clcn3,-25.19896445,2.21E-19,1.81E-18,2.60E-08,0,12260000,0,0,11925000,4837000,0,0,0,0,0,0,0,2,0,2,4,1.6,0,0,0,0,0,0
P60522;F1M1J6,P60522,Gabarapl2;RGD1562165,25.16894255,2.24E-19,1.81E-18,37723038.38,0,0,0,0,0,0,23401000,0,0,0,0,4680200,0,0,0,0,2,0.4,3,0,0,0,0,0.6
Q4G063,Q4G063,Creld2,25.19207447,2.19E-19,1.81E-18,38332757.98,0,0,0,0,0,0,5916100,9858800,0,0,7917500,4738480,0,0,0,0,0,0,2,3,0,0,2,1.4
Q5XI39,Q5XI39,Cryzl1,-25.18029294,2.25E-19,1.81E-18,2.63E-08,12825000,11020000,0,0,0,4769000,0,0,0,0,0,0,2,2,2,0,0,1.2,2,0,0,0,0,0.4
Q66H15;M0R718,Q66H15,Rmdn3;LOC100911313,-25.1954308,2.22E-19,1.81E-18,2.60E-08,0,13185000,11017000,0,0,4840400,0,0,0,0,0,0,0,2,0,0,0,0.4,0,0,0,0,0,0
Q6AYA7,Q6AYA7,Rfk,-25.18271559,2.25E-19,1.81E-18,2.63E-08,12468000,11420000,0,0,0,4777600,0,0,0,0,0,0,3,3,2,0,0,1.6,0,0,0,0,0,0
Q9ESH1,Q9ESH1,Psmd4,25.19100044,2.19E-19,1.81E-18,38304231.41,0,0,0,0,0,0,0,0,23679000,0,0,4735800,2,2,3,0,0,1.4,2,2,3,0,2,1.8
P09759,P09759,Ephb1,-25.17255801,2.27E-19,1.82E-18,2.64E-08,11656000,12070000,0,0,0,4745200,0,0,0,0,0,0,3,2,0,0,3,1.6,0,0,0,0,0,0
F1LPQ9;Q5U301,F1LPQ9,Akap2,-25.16313528,2.28E-19,1.83E-18,2.66E-08,0,0,0,0,23521000,4704200,0,0,0,0,0,0,0,0,0,0,2,0.4,0,0,0,0,0,0
F1M7A3;A0A0G2K640;Q63262;P20267,F1M7A3,Pou3f3;Pou3f1,-25.15316182,2.31E-19,1.84E-18,2.68E-08,0,23498000,0,0,0,4699600,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0
A8ASI9;Q9JLT6,A8ASI9,Bid,25.12436539,2.32E-19,1.85E-18,36575275.35,0,0,0,0,0,0,22689000,0,0,0,0,4537800,0,0,0,0,0,0,3,0,0,0,0,0.6
B1WC33,B1WC33,Cdc42ep4,-25.13405701,2.34E-19,1.86E-18,2.72E-08,0,6916800,5969000,0,10245000,4626160,0,0,0,0,0,0,0,3,2,0,2,1.4,0,0,0,0,0,0
D3ZCG3;D3ZKH2,D3ZCG3,Mon2,25.11336115,2.35E-19,1.86E-18,36297356.7,0,0,0,0,0,0,0,0,0,22939000,0,4587800,0,2,0,0,0,0.4,2,2,2,3,0,1.8
D3ZEM8,D3ZEM8,Tsr1,25.11078025,2.35E-19,1.86E-18,36232480.65,0,0,0,0,0,0,0,0,0,22898000,0,4579600,0,0,0,2,0,0.4,0,0,0,4,0,0.8
Q9JIT3;A0A0G2K324;D3ZCM7,Q9JIT3,Tle3;Tle1,-25.12401297,2.36E-19,1.87E-18,2.73E-08,0,23028000,0,0,0,4605600,0,0,0,0,0,0,0,3,0,0,0,0.6,0,0,0,0,0,0
G3V810,G3V810,Mtmr10,-25.12085534,2.37E-19,1.87E-18,2.74E-08,0,0,0,11454000,11550000,4600800,0,0,0,0,0,0,0,2,0,3,2,1.4,0,0,0,0,0,0
O35867,O35867,Ppp1r9a,-25.11773436,2.38E-19,1.87E-18,2.75E-08,0,22928000,0,0,0,4585600,0,0,0,0,0,0,0,2,0,2,0,0.8,0,0,0,0,0,0
A0A0G2K3G4,A0A0G2K3G4,NA,-25.11136521,2.39E-19,1.87E-18,2.76E-08,22652000,0,0,0,0,4530400,0,0,0,0,0,0,0,0,0,2,0,0.4,0,0,0,0,0,0
Q5FVG5;CON__Q3SX28;P58775-2;P58775,Q5FVG5,Tpm2,25.09397782,2.39E-19,1.87E-18,35812944.84,0,0,0,0,0,0,0,0,0,0,21922000,4384400,2,0,2,0,0,0.8,2,2,0,0,0,0.8
P56522,P56522,Fdxr,-25.10515806,2.40E-19,1.88E-18,2.77E-08,0,22729000,0,0,0,4545800,0,0,0,0,0,0,3,5,3,3,3,3.4,0,0,0,0,0,0
D4A0W1,D4A0W1,Emc4,-25.10036881,2.41E-19,1.88E-18,2.78E-08,22480000,0,0,0,0,4496000,0,0,0,0,0,0,5,0,2,0,2,1.8,0,0,2,0,0,0.4
D3Z9I1,D3Z9I1,Coa3,25.07113436,2.44E-19,1.88E-18,35250352.86,0,0,0,0,0,0,12281000,0,0,0,9459200,4348040,0,0,2,0,0,0.4,3,0,0,0,2,1
D4A742,D4A742,Romo1,-25.08682833,2.44E-19,1.88E-18,2.81E-08,22270000,0,0,0,0,4454000,0,0,0,0,0,0,2,2,0,0,2,1.2,0,0,0,0,0,0
D4A769,D4A769,Samd4b,-25.08876716,2.44E-19,1.88E-18,2.80E-08,0,10794000,0,11776000,0,4514000,0,0,0,0,0,0,0,2,0,2,2,1.2,0,0,0,0,0,0
F1LPA6;P20717,F1LPA6,Padi2,-25.08562073,2.45E-19,1.88E-18,2.81E-08,0,0,0,22611000,0,4522200,0,0,0,0,0,0,0,0,3,3,2,1.6,0,0,0,0,0,0
Q68FQ2,Q68FQ2,Jam3,-25.08906634,2.44E-19,1.88E-18,2.80E-08,10341000,12056000,0,0,0,4479400,0,0,0,0,0,0,0,2,0,2,2,1.2,0,0,0,0,0,0
Q6MGB4,Q6MGB4,Slc39a7,25.06674846,2.44E-19,1.88E-18,35143351.88,0,0,0,0,0,0,0,0,21725000,0,0,4345000,3,2,3,3,3,2.8,2,2,3,0,0,1.4
Q66H59,Q66H59,Npl,-25.07900249,2.46E-19,1.89E-18,2.82E-08,7556600,8053200,6655700,0,0,4453100,0,0,0,0,0,0,2,2,2,0,0,1.2,0,0,0,0,0,0
D4A1T6;B5DEH7,D4A1T6,C1r,25.04627734,2.49E-19,1.91E-18,34648206.52,0,0,0,0,0,0,0,0,0,10824000,10725000,4309800,0,0,0,0,0,0,0,0,0,3,2,1
Q642E3;Q9JLH7,Q642E3,Cdk5rap3,-25.05124195,2.52E-19,1.93E-18,2.88E-08,0,12341000,9558900,0,0,4379980,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0
Q68FS1,Q68FS1,Nubp2,-25.04934526,2.52E-19,1.93E-18,2.88E-08,11583000,10194000,0,0,0,4355400,0,0,0,0,0,0,4,4,0,0,0,1.6,2,0,0,0,0,0.4
F1MAR6;B4F7D0;A0A0G2K2S1,F1MAR6,Prodh,-25.03292364,2.56E-19,1.95E-18,2.91E-08,0,21619000,0,0,0,4323800,0,0,0,0,0,0,0,3,0,0,0,0.6,0,0,0,0,0,0
G3V8H5;Q9QY78,G3V8H5,Ikbkb,25.01420367,2.56E-19,1.95E-18,33886414.77,0,0,0,0,0,0,21021000,0,0,0,0,4204200,0,0,0,0,0,0,3,2,2,5,2,2.8
D4A206,D4A206,Tcof1,25.00861549,2.57E-19,1.95E-18,33755411.95,0,0,0,0,0,0,0,0,20867000,0,0,4173400,0,0,0,0,0,0,0,0,2,0,0,0.4
F1LR42,F1LR42,Rufy1,-25.02071647,2.59E-19,1.95E-18,2.94E-08,0,0,0,0,21310000,4262000,0,0,0,0,0,0,0,2,2,0,2,1.2,0,2,0,0,0,0.4
F1LVM4;A0A0G2K302;B0BNM6,F1LVM4,Ap3s2,-25.02331161,2.58E-19,1.95E-18,2.93E-08,7138000,7540000,0,0,6702400,4276080,0,0,0,0,0,0,2,2,0,0,2,1.2,0,0,0,0,0,0
Q63488;Q7TP93,Q63488,Slc20a2,-25.02018838,2.59E-19,1.95E-18,2.94E-08,0,21429000,0,0,0,4285800,0,0,0,0,0,0,0,2,0,2,2,1.2,0,0,0,0,0,0
D4A1R8,D4A1R8,Cpne1,24.99562275,2.60E-19,1.96E-18,33452779.58,0,0,0,0,0,0,20752000,0,0,0,0,4150400,0,0,0,0,0,0,2,0,2,0,0,0.8
D4ACA5,D4ACA5,LOC100911130,-25.01016599,2.61E-19,1.96E-18,2.96E-08,0,0,21291000,0,0,4258200,0,0,0,0,0,0,0,0,3,2,0,1,3,0,0,0,0,0.6
Q5U313,Q5U313,Ankrd13a,24.98846624,2.62E-19,1.96E-18,33287247.4,0,0,0,0,0,0,0,20690000,0,0,0,4138000,0,0,0,0,0,0,0,3,0,0,0,0.6
Q6GMN4;A0A0G2K4Q6;Q8JZQ0,Q6GMN4,Csf1,24.9898139,2.62E-19,1.96E-18,33318356.52,0,0,0,0,0,0,0,0,0,0,20395000,4079000,0,0,0,0,0,0,0,0,0,0,2,0.4
A0A0G2K4I2;D3ZF45,A0A0G2K4I2,Larp4b,-24.99867042,2.64E-19,1.97E-18,2.98E-08,0,0,9845900,11365000,0,4242180,0,0,0,0,0,0,0,0,2,2,0,0.8,0,0,0,0,0,0
Q8K3F0,Q8K3F0,NA,24.9755251,2.65E-19,1.97E-18,32989992.24,0,0,0,0,0,0,0,0,0,0,20194000,4038800,0,0,0,0,2,0.4,2,3,3,3,2,2.6
G3V6Z7;Q3ZU82,G3V6Z7,Golga5,24.95610045,2.69E-19,2.00E-18,32548787.21,0,0,0,0,0,0,0,0,0,20570000,0,4114000,0,0,0,3,2,1,0,0,0,4,0,0.8
Q62760,Q62760,Tomm20,-24.97741545,2.69E-19,2.00E-18,3.03E-08,0,20803000,0,0,0,4160600,0,0,0,0,0,0,0,3,0,0,0,0.6,0,0,0,0,0,0
Q63610-2,Q63610-2,Tpm3,24.94724455,2.71E-19,2.01E-18,32349600.21,0,0,0,0,0,0,0,0,0,0,19802000,3960400,3,2,0,0,3,1.6,0,0,3,0,0,0.6
F1M9V6;D3ZJP6,F1M9V6,Myo10,-24.95023914,2.75E-19,2.03E-18,3.08E-08,0,0,0,0,20294000,4058800,0,0,0,0,0,0,0,4,0,2,2,1.6,0,0,0,0,0,0
Q5XI41;Q6TUH5,Q5XI41,Tram1,24.93114294,2.75E-19,2.03E-18,31990560.59,0,0,0,0,0,0,0,0,19776000,0,0,3955200,0,0,0,2,2,0.8,0,2,2,0,0,0.8
D3ZA85,D3ZA85,Nfu1,-24.94321991,2.77E-19,2.04E-18,3.10E-08,6520100,6910600,0,0,6794200,4044980,0,0,0,0,0,0,2,2,0,0,2,1.2,0,0,0,0,0,0
E9PTF9;A0A0G2K5T9;Q5FWU0;A0A0G2JVH7,E9PTF9,Wasf2,-24.94306076,2.77E-19,2.04E-18,3.10E-08,0,8623300,0,0,11621000,4048860,0,0,0,0,0,0,0,3,0,0,2,1,0,2,0,2,2,1.2
D3ZQI6,D3ZQI6,Xpo4,-24.92870826,2.81E-19,2.04E-18,3.13E-08,0,0,0,10488000,9654000,4028400,0,0,0,0,0,0,2,2,0,3,2,1.8,0,0,0,0,0,0
G3V7N6;B5DFK0,G3V7N6,LOC100909580;Mboat7,-24.92972028,2.80E-19,2.04E-18,3.13E-08,0,0,0,20295000,0,4059000,0,0,0,0,0,0,2,0,0,2,0,0.8,2,2,0,0,0,0.8
G3V7T3;Q923S8,G3V7T3,Pank4,-24.93441595,2.79E-19,2.04E-18,3.12E-08,0,10151000,10046000,0,0,4039400,0,0,0,0,0,0,0,3,3,0,0,1.2,0,2,0,2,0,0.8
G3V828;B2RYF8,G3V828,Cnpy3,-24.93196241,2.80E-19,2.04E-18,3.12E-08,10071000,10009000,0,0,0,4016000,0,0,0,0,0,0,2,2,2,0,0,1.2,2,0,0,0,0,0.4
Q5U3Z5,Q5U3Z5,Bri3bp,24.91086641,2.80E-19,2.04E-18,31544090.4,0,0,0,0,0,0,0,0,19500000,0,0,3900000,0,0,0,0,0,0,3,2,2,0,0,1.4
Q3ZAU6;B2GV23,Q3ZAU6,Rnf14,-24.92634989,2.81E-19,2.04E-18,3.14E-08,0,8975500,0,11197000,0,4034500,0,0,0,0,0,0,2,2,2,2,0,1.6,0,2,0,0,0,0.4
A0A0G2K8V0;F1LPJ1,A0A0G2K8V0,Ptprm,-24.91992296,2.83E-19,2.05E-18,3.15E-08,0,0,0,0,19872000,3974400,0,0,0,0,0,0,0,0,0,0,3,0.6,2,0,0,0,0,0.4
D3ZTW9,D3ZTW9,Exog,-24.91287216,2.85E-19,2.05E-18,3.17E-08,0,10813000,0,0,9026100,3967820,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0
D3ZWG9,D3ZWG9,Ptar1,-24.91761765,2.83E-19,2.05E-18,3.16E-08,0,0,0,9782900,10196000,3995780,0,0,0,0,0,0,2,3,2,2,2,2.2,0,0,0,0,0,0
F1LQI6,F1LQI6,Zer1,-24.91314556,2.85E-19,2.05E-18,3.17E-08,0,10675000,0,9298800,0,3994760,0,0,0,0,0,0,0,2,0,2,0,0.8,0,0,0,0,0,0
Q80Z30,Q80Z30,Ppm1e,-24.91447933,2.84E-19,2.05E-18,3.16E-08,0,19915000,0,0,0,3983000,0,0,0,0,0,0,0,3,0,0,0,0.6,0,0,0,0,0,0
D4A4L5,D4A4L5,Isca2,-24.90278897,2.87E-19,2.06E-18,3.19E-08,9857400,0,9825500,0,0,3936580,0,0,0,0,0,0,2,3,2,0,0,1.4,0,0,0,0,0,0
Q9R1X8;F1M7Y5,Q9R1X8,Prkci,-24.90209906,2.87E-19,2.06E-18,3.19E-08,0,0,0,0,19628000,3925600,0,0,0,0,0,0,0,0,0,0,2,0.4,0,0,0,2,0,0.4
D4A465;A0A1B0GWT7,D4A465,Lamtor2,-24.8958384,2.89E-19,2.06E-18,3.20E-08,10443000,0,9140100,0,0,3916620,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0
P97878,P97878,Exoc5,-24.89610731,2.89E-19,2.06E-18,3.20E-08,0,19663000,0,0,0,3932600,0,0,0,0,0,0,0,4,2,0,0,1.2,0,0,0,0,0,0
A0JPP1,A0JPP1,Drap1,-24.89090132,2.90E-19,2.06E-18,3.21E-08,11174000,0,8335900,0,0,3901980,0,0,0,0,0,0,2,0,2,0,0,0.8,0,2,0,0,0,0.4
A9UMW2;M0RB63;A0A0G2KAA3,A9UMW2,Ndufa3;LOC684509,24.86699726,2.91E-19,2.06E-18,30599341.19,0,0,0,0,0,0,0,0,0,19338000,0,3867600,0,0,0,0,2,0.4,0,0,2,0,0,0.4
D3ZH12,D3ZH12,Nosip,-24.8880523,2.91E-19,2.06E-18,3.22E-08,8804300,0,0,0,10618000,3884460,0,0,0,0,0,0,2,2,0,0,2,1.2,0,0,0,0,0,0
Q63941;Q6P9W6,Q63941,Rab3b,-24.88716468,2.91E-19,2.06E-18,3.22E-08,0,0,19551000,0,0,3910200,0,0,0,0,0,0,2,0,2,0,2,1.2,0,0,0,0,0,0
Q7TSA0,Q7TSA0,Rhot2,-24.8767224,2.94E-19,2.08E-18,3.25E-08,0,0,19410000,0,0,3882000,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0
P11345,P11345,Raf1,-24.87385184,2.94E-19,2.08E-18,3.25E-08,0,19362000,0,0,0,3872400,0,0,0,0,0,0,0,3,0,0,0,0.6,0,0,0,0,0,0
A0A0G2K2U0;A0A0G2JZJ5;Q5PQL5,A0A0G2K2U0,Ptdss1,-24.8675846,2.96E-19,2.08E-18,3.27E-08,0,0,0,0,19164000,3832800,0,0,0,0,0,0,0,2,3,2,2,1.8,2,2,0,0,0,0.8
P02625,P02625,Pvalb,24.84564207,2.97E-19,2.08E-18,30149736.82,0,0,0,0,0,0,18703000,0,0,0,0,3740600,0,0,0,0,0,0,4,0,0,0,0,0.8
Q32PZ7;B0BND9,Q32PZ7,Srp72,24.84467175,2.97E-19,2.08E-18,30129465.61,0,0,0,0,0,0,0,0,0,0,18443000,3688600,0,0,0,0,0,0,0,0,0,0,2,0.4
Q4V882,Q4V882,Epn3,24.84506282,2.97E-19,2.08E-18,30137633.88,0,0,0,0,0,0,0,0,0,0,18448000,3689600,2,2,0,0,0,0.8,0,0,2,2,2,1.2
Q5PQZ8;F8WFN1;A0A0G2K3B2;Q1H5H1,Q5PQZ8,Selt,24.84075521,2.98E-19,2.08E-18,30047782.95,0,0,0,0,0,0,0,0,0,0,18393000,3678600,0,0,0,0,0,0,3,0,0,0,0,0.6
D3ZQ09,D3ZQ09,Zcchc24,-24.84668843,3.02E-19,2.10E-18,3.31E-08,0,10280000,8725100,0,0,3801020,0,0,0,0,0,0,4,3,2,2,3,2.8,0,0,0,0,0,0
A0A0G2K4R1,A0A0G2K4R1,NA,-24.84428198,3.02E-19,2.10E-18,3.32E-08,0,0,0,19128000,0,3825600,0,0,0,0,0,0,2,2,0,4,0,1.6,0,0,0,0,0,0
D4A417,D4A417,Pcif1,-24.83109829,3.06E-19,2.12E-18,3.35E-08,0,0,0,18954000,0,3790800,0,0,0,0,0,0,0,0,0,3,0,0.6,0,0,0,0,0,0
Q5M843,Q5M843,Ogfod3,-24.82757225,3.07E-19,2.13E-18,3.36E-08,18607000,0,0,0,0,3721400,0,0,0,0,0,0,3,2,0,2,0,1.4,0,0,0,0,0,0
B6DYQ2;P08010,B6DYQ2,Gstm2,24.80323322,3.08E-19,2.13E-18,29276367.5,0,0,0,0,0,0,0,18197000,0,0,0,3639400,0,0,0,0,0,0,0,4,0,0,2,1.2
D3ZTP3,D3ZTP3,Tmem59,-24.81715757,3.09E-19,2.14E-18,3.38E-08,9317900,0,0,0,9171400,3697860,0,0,0,0,0,0,5,2,0,0,2,1.8,0,0,0,0,0,0
Q8SEZ1;Q06QG9;A0A0A1FZ38;P05506,Q8SEZ1,Mt-nd3;ND3;Mtnd3,24.78143006,3.14E-19,2.16E-18,28837245.99,0,0,0,0,0,0,0,0,0,0,17652000,3530400,0,2,2,2,2,1.6,2,2,2,3,2,2.2
D4A709,D4A709,Tubgcp6,-24.79709137,3.15E-19,2.17E-18,3.43E-08,18218000,0,0,0,0,3643600,0,0,0,0,0,0,2,0,0,0,0,0.4,0,0,0,0,0,0
G3V6F4;P56558,G3V6F4,Ogt,24.7728228,3.16E-19,2.17E-18,28665712.41,0,0,0,0,0,0,0,0,0,0,17547000,3509400,0,0,0,2,0,0.4,0,0,0,0,0,0
D3ZEI6,D3ZEI6,Ncoa5,-24.77709172,3.21E-19,2.20E-18,3.48E-08,0,18106000,0,0,0,3621200,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0
F1LY09,F1LY09,Actr3b,24.73829199,3.26E-19,2.23E-18,27987746.36,0,0,0,0,0,0,0,0,0,0,17132000,3426400,0,0,2,0,0,0.4,0,0,0,3,2,1
P20651;A0A0G2K7T5,P20651,Ppp3cb,24.73849787,3.26E-19,2.23E-18,27991740.64,0,0,0,0,0,0,0,0,17304000,0,0,3460800,0,2,0,0,0,0.4,0,0,4,0,0,0.8
A0A0G2JUP0;D3ZBE5,A0A0G2JUP0,Nek7,-24.74966498,3.28E-19,2.24E-18,3.54E-08,8749600,0,0,0,8894900,3528900,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0
D4A511,D4A511,Srp9,-24.744035,3.30E-19,2.24E-18,3.56E-08,0,0,0,17844000,0,3568800,0,0,0,0,0,0,3,0,2,2,2,1.8,2,0,2,0,2,1.2
O54755;G3V644,O54755,Ndufv3-ps1;Ndufv3,24.71513103,3.33E-19,2.26E-18,27542019.91,0,0,0,0,0,0,0,17119000,0,0,0,3423800,2,3,2,0,0,1.4,0,2,0,2,0,0.8
Q63030,Q63030,Acta2,24.71151877,3.34E-19,2.26E-18,27473145.62,0,0,0,0,0,0,0,0,0,0,16817000,3363400,0,0,2,0,0,0.4,0,0,0,0,3,0.6
G3V9P7;P51111,G3V9P7,Htt,24.70899681,3.35E-19,2.26E-18,27425162.04,0,0,0,0,0,0,0,0,0,17332000,0,3466400,0,0,0,0,0,0,0,0,0,3,0,0.6
B5DF29,B5DF29,Rfc5,-24.72541462,3.35E-19,2.26E-18,3.61E-08,17335000,0,0,0,0,3467000,0,0,0,0,0,0,4,2,0,0,0,1.2,0,0,0,0,0,0
A0A096MJW5;A0A096MJ91;A0A096MJW8;D4A4H0,A0A096MJW5,Plch1,24.69815999,3.38E-19,2.28E-18,27219929.39,0,0,0,0,0,0,0,0,0,0,16662000,3332400,0,0,0,0,0,0,0,0,2,0,2,0.8
F1M9N7;Q4KLH5,F1M9N7,Agfg1,24.69078074,3.40E-19,2.29E-18,27081057.48,0,0,0,0,0,0,0,9250400,0,0,7467000,3343480,0,2,2,0,0,0.8,2,2,0,0,2,1.2
