lipid,logFC.cells,logCPM.cells,LR.cells,PValue.cells,FDR.cells,Transition.cells,type.cells,C1.cells,C2.cells,C3.cells,C4.cells,C5.cells,R1.cells,R2.cells,R3.cells,R4.cells,R5.cells,blank.cells,logFC.media,logCPM.media,LR.media,PValue.media,FDR.media,Transition.media,type.media,C1.media,C2.media,C3.media,C4.media,C5.media,R1.media,R2.media,R3.media,R4.media,R5.media,blank.media,blank_solvent
Lyso_PC(16:0),-0.6074568526793377,10.055534012163234,46.786920130017265,7.913985189093336e-12,5.164735551664825e-10,496.3325 -> 184.1,SM,10745.6406593253,10387.5409736586,13300.9010315019,15372.7812042233,11606.6008682275,7861.6805648899,7468.9805641064,9828.6607208218,8557.9606208792,6741.5204505985,2962.4801979067,-0.41324568305944015,12.393816990752494,20.42981984789445,6.185838022704074e-6,2.0184658417562643e-4,496.3325 -> 184.1,SM,56626.665115353,55379.543556227,55792.383804235,50050.9430999521,57340.1837921,42054.8024826061,36961.3026008562,44637.182281483,39688.2827072103,42886.4429855536,8195.6805191017,1073.8800773619
PCo(36:2),0.5592049907071548,10.818756942574314,39.873705614474154,2.7092597744685265e-10,1.233205659684217e-8,772.6 -> 184.1,SM,13665.6407699529,12713.9209251473,18189.8613777199,11374.6208076474,15457.4810829086,20105.1414718662,19209.5810775752,24284.0815811115,23917.3218879781,17942.0212478569,1424.7800941459,-0.48725722672081745,8.257828863930863,27.366940076814043,1.6828375320772478e-7,7.0164975990220796e-006,772.6 -> 184.1,SM,2996.1602134716,3060.0202484124,2906.8202247612,3010.6001930239,3333.8202018726,2467.8001594546,1775.3801345828,2312.7601242072,2063.4401473991,2285.1401519758,1609.3200988783,1087.640083313
PC (34:2),0.531481908920014,14.62980934861185,36.24657588914086,1.7386522042951189e-9,7.053289077424252e-8,758.6 -> 184.1,SM,194599.793807959,169070.313144757,276255.380493063,158275.250442626,221064.898498686,277396.73995586,261579.515952959,353320.828685877,329711.964370776,254489.939167049,7705.2405929553,-0.956343257436661,11.286149818286466,107.51460323671262,3.433660557732638e-25,1.2884811242891723e-22,758.6 -> 184.1,SM,26146.8815689123,26748.3418350267,29329.5420036388,23403.2817306534,31533.4625930857,15445.8008995137,12847.8208160365,14592.6812210014,13586.2610549874,14077.3209648025,19502.9813156149,1810.4601364139
SM (d18:1/24:1)15Z)),0.5230961154998626,11.746710979327682,35.01926994216498,3.2645854717710087e-9,1.2564468700328933e-7,813.7 -> 184.1,SM,21972.9017219582,26479.6820602499,37163.8422432046,23090.84151077,28559.8416633656,35431.522197725,32739.3622321985,45629.1431427501,44690.6029090803,39157.6630668305,4254.920330049,-0.5104731581633054,9.57518979927146,30.7123644660119,2.9925206853774454e-8,1.403679233984858e-6,813.7 -> 184.1,SM,8427.8606643765,7904.3205413777,7283.7205238423,6997.3404998761,8270.3205413849,5794.4202575653,5138.6403465252,5368.340316773,5682.5004730193,5251.6203270005,3263.4802131661,1561.8001136778
SM (d18:0/20:0),0.5173633057998253,14.9426722785519,34.35940255006714,4.581814819508691e-9,1.6775676602476564e-7,761.6 -> 184.1,SM,234184.257030581,186067.61623389,358925.823764845,199921.991615244,294437.528266816,351374.866916563,324153.999073062,405895.10324094,418997.338108046,326210.759990721,9346.1806984007,-0.66800543531799506,12.311123434649273,53.08608511098825,3.1924598426655294e-13,3.194588149227306e-11,761.6 -> 184.1,SM,56333.18347924,56801.265335073,55236.864074693,50666.183578467,61658.263626128,35944.9426727381,32274.9417953578,39510.1027679461,33567.362167351,35069.362380973,5338.8403549185,2229.5601577756
SM (d18:0/22:0),0.5181668804545596,10.447460900999546,34.20291434013751,4.96545359347821e-9,1.7745585342406654e-7,789.7 -> 184.1,SM,9908.1007308876,9349.2406425426,14904.8011283917,10012.6007385243,11528.2006492633,15947.400966651,13709.7211456325,16469.5214386121,18140.5410079914,15678.3610076968,2119.8601264961,-0.3544337801909114,8.349622295996937,14.535903841892903,1.3751365238015676e-4,0.0034401332037102546,789.7 -> 184.1,SM,2839.6401863099,3183.640228272,2932.6602210989,3009.4802360522,3312.9202346799,2743.9601821898,2334.4001503001,2311.7601776131,2235.1801338205,2308.0601348883,2432.9802017193,1031.820072174
SM (d18:1/20:0),0.5147080360261855,13.612236959509646,33.99134964709924,5.535763693041955e-9,1.8884502961945398e-7,759.6 -> 184.1,SM,95275.1266784178,78175.1250228494,137927.630771553,81008.3459129062,114179.107093773,132587.96754462,128065.108947791,168385.550949003,163274.850174032,133002.209716822,4516.5203933687,-0.7944475223505679,10.500462366622736,74.35410695298376,6.528929569239202e-18,9.799923283428042e-16,759.6 -> 184.1,SM,16579.321063985,14224.1409339871,15289.2212638862,14665.7210731489,17267.6213607775,8666.6006584171,7541.4604797384,11241.4410018972,8574.0006637599,8903.5405693042,8860.3605575611,1196.9800872808
PCo(32:1),0.5008740354273933,11.390961342940471,32.09326804336095,1.4694562176370561e-8,4.241641889756195e-7,718.6 -> 184.1,SM,19124.121501916,21178.7215385515,29033.4219894426,17220.501247409,22218.3213157797,27715.9815101662,28695.6815147432,33724.2225913924,37217.6025543188,26865.0615005415,2095.340126038,-0.43184719161467694,8.796832601711936,21.78991525645541,3.0419484722187764e-6,1.0871344420953294e-4,718.6 -> 184.1,SM,4916.1803474437,4561.0203437812,4599.6403388976,3658.9402351385,4853.3203735345,3710.7602386487,3186.200241088,3368.0002441405,3369.5802536008,3072.640235902,1160.2600708015,1080.5000724795
PC (34:0),0.4933901783949916,12.734870497565035,31.22422788870189,2.2987910556110665e-8,6.389787730504095e-7,762.6 -> 184.1,SM,50761.903823874,42553.2435073786,78505.28517918,43560.6035118227,62682.6850280308,74892.1051216943,71795.0442886077,88993.1682130347,87353.884670353,69208.3443221888,2767.580219268,-0.5619356206812514,10.235198808173964,37.39191474407102,9.662185395607455e-10,6.305626208176865e-8,762.6 -> 184.1,SM,12420.0209274327,12511.5010337865,11847.5807609598,12650.4409294149,14539.621063226,8076.440528871,8381.8205223118,8947.5405502253,8859.6006011946,8983.5806083635,2376.8601608274,1225.2400856027
PC (38:3),0.4725360599515629,11.406155072855809,28.581387596376832,8.98416155245585e-8,2.269972793479309e-6,812.6 -> 184.1,SM,20688.7613067562,19883.4213829013,26813.4618644738,17583.4214363006,26037.0017318675,26561.5820388804,29002.6817626957,35438.1424331718,35916.0629425065,27495.5419616771,2402.7201538085,-0.867267950171391,9.087242335763952,87.17367784365196,9.939789658891932e-21,2.4866040463327984e-18,812.6 -> 184.1,SM,5696.0204009995005,5908.6804428019,5660.340442656,5749.2203674331,6821.7005500872,3234.8201560973,3469.4602813729002,3228.480258941,2852.2401809685002,3534.5002632124,3288.8802299489,1169.8200798036
