lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,Control1,Control2,Control3,Control4,RAC1,RAC2,RAC3,RAC4,blank,blank_solvent
PG (16:1),0.013163531094470566,7.363433915887662,0.01681033183724867,0.89683965277441,0.9999898852101796,500.2719 -> 311.2719,PG,1159.4400749208,1095.1000785825,1180.5000915526,1128.5800857542,1125.280090332,1186.4200820918,1083.3200798033,1202.2400932311,1109.8800811768,1169.4000854491
PG (18:0),-0.14512904303127738,7.359025343878635,2.0413624248929634,0.15307249275564988,0.9999898852101796,530.3188 -> 341.3188,PG,1322.2600898747,1143.1200714114,1133.3400878906,1192.9000663752,1031.5200729368,1113.620063782,1096.2000808716,1083.0600624083,1124.4400787351,1214.2600975043
PG (18:1),-0.00926905047001841,7.354818489668398,0.008318551270132701,0.9273288341883045,0.9999898852101796,528.3032 -> 339.3032,PG,1101.5000839232,1146.2400741577,1092.7200698851,1157.3400726316,1136.560081482,1112.0600852966,1150.060089111,1063.6600723266,1251.0800819398,1055.5800704955
PG (18:2),-0.004875924290291321,7.323500357882294,0.00229852474488057,0.9617617237882522,0.9999898852101796,526.2875 -> 337.2875,PG,1126.9200897214,1083.9800758361,1108.2000732423,1099.5400657655,1039.5000572204,1159.1600990296,1071.160079956,1126.0600700377,1176.2800712583,1142.2400741573
PG (18:3),0.02755067015919327,7.39689980937164,0.07377805612987065,0.78591332540548,0.9999898852101796,524.2719 -> 335.2719,PG,1250.8200912467,1125.3000793456,1158.0000915527,1108.080066681,1149.5600814818,1274.8400802612,1155.0800819396,1144.3600845335,1147.4800834654,1214.1400833132
PG (18:4),0.008529010964877501,7.311272822541718,0.007030568081134392,0.9331768999477893,0.9999898852101796,522.2562 -> 333.2562,PG,1072.7400627134,1081.4200668336,1145.3400878906,1082.420085907,1126.5600891111,1105.6200752259,1077.1800689699,1091.7800788876,1123.1200637816,1128.5000839231
PG (20:0),-0.09923493386630905,7.633421366893163,0.9697687657043699,0.32473785482941336,0.9999898852101796,572.3294 -> 383.3294,PG,1309.3200950621,1378.3200836182,1455.2200927731,1582.1201171879,1315.7000999453,1398.7000999453,1312.8200912477,1309.1200981138,1326.9400939939,1142.8400764462
PG (20:1),0.039198273825014715,7.31911889527942,0.14849302259481167,0.699979659516573,0.9999898852101796,556.3345 -> 367.3345,PG,1120.9600791933,1057.2800788877,1085.8400802611,1070.2200851439,1187.8400726327,1134.440093994,1099.1800727844,1026.1200637819,1180.6600799562,1100.5400810242
PG (20:2),-0.08535149512994702,7.353155476704024,0.7059511753859848,0.40079120918981076,0.9999898852101796,554.3188 -> 365.3188,PG,1172.9600791932,1165.0600891111,1169.7400856021,1163.0000877375,1128.1400756835,1065.8400688173,1139.880077362,1061.420082092,1132.180091858,1102.2800750733
PG (20:3),-0.0554767712389353,7.301904132684077,0.29742424195199424,0.5855017137599929,0.9999898852101796,552.3032 -> 363.3032,PG,1131.4400787353,1111.1400794983,1163.9600906371,1072.6000823976,1115.180076599,1035.4600639342,1046.9000701904,1105.4000816344,1058.9800720216,1214.6000823979
PG (20:4),-0.013678675667050406,7.34572134928103,0.01813220159959017,0.8928839710187242,0.9999898852101796,550.2875 -> 361.2875,PG,1176.200073242,1107.3600730897,1158.8400840758,1107.760089874,1151.6400833128,1123.1600875853,1084.8400840759,1140.0000839232,1095.9000740051,1059.560077667
PG (20:5),-0.03874820820536413,7.387179703528279,0.14576713006812891,0.7026137113919538,0.9999898852101796,548.2719 -> 359.2719,PG,1102.000076294,1161.8600730893,1229.040096283,1193.7800788878,1281.4200973513,1058.8000679016,1104.540081024,1111.7600746153,1199.9000778197,1120.7200775142
PG (22:0),-0.005522570056898786,7.655786281395442,0.0030097077683999274,0.9562493590451813,0.9999898852101796,586.3814 -> 397.3814,PG,1260.7000846865,1604.3601303101,1477.8801078798,1343.5401115417,1285.7800979614,1458.6601181029,1447.3200950622,1464.5600967416,1233.0800895688,1168.0600776673
PG (22:1),0.0688538450455225,7.50861058760573,0.46388210431908394,0.49581523341895345,0.9999898852101796,584.3658 -> 395.3658,PG,1291.9200935367,1163.2000885009,1111.6200866697,1395.9400978087,1390.5600852969,1228.3000831603,1253.5800857546,1323.5801048278,1201.9400863641,1228.7000846862
PG (22:2),-0.13045817940121446,7.378407594689151,1.6519088830291087,0.198699320928773,0.9999898852101796,582.3501 -> 393.3501,PG,1221.2400932315,1293.8601036074,1261.1600913996,1064.4400749207,1164.7800827026,1101.9800758362,1112.1400794984,1037.6800804139,1121.2200698851,1091.2800827026
PG (22:4),0.010616837231993364,7.355401283331789,0.01091007308427705,0.9168112175217854,0.9999898852101796,578.3188 -> 389.3188,PG,1147.2000808717,1066.3000679016,1126.3000755309,1110.8200798037,1202.4800834653,1150.8200759886,1072.5000724793,1051.5400772093,1290.0600967401,1055.960079193
PG (22:6),0.03602256249543805,7.412554531056841,0.12609721340725688,0.7225134072752629,0.9999898852101796,574.2875 -> 385.2875,PG,1154.580078125,1202.1400794982,1119.9400825503,1138.4800872802,1212.8800773625,1211.2200889589,1258.520084381,1043.100074768,1288.5000724797,1131.6800880435
PG (24:0),0.0010783451813246277,8.09483646395759,1.1708261071419201e-4,0.9913666810518246,0.9999898852101796,628.392 -> 439.392,PG,1906.020133973,1943.7001419057,1963.6401672361,2014.7801704414,2355.5001907351,1852.4801406858,2044.6201782227,1574.8801040659,1408.2201042177,1134.1600875855
PG (24:1),0.14677979372238253,7.637297114521967,2.1244079335783557,0.14496878972916982,0.9999898852101796,654.4076 -> 465.4076,PG,1654.2601280209,1138.4600830076,1284.6000823974,1290.080097198,1640.260120392,1749.1401214592,1317.6801033028,1227.9000892634,1125.5200805664,1132.0600814821
PG (26:0),0.05144782752993444,7.902200072063223,0.2643833381044054,0.60712460917536,0.9999898852101796,656.4233 -> 467.4233,PG,1574.8400955203,1918.5201301586,1643.0201225287,1563.3201065061,1258.7800865176,1545.9201240547,1920.2601318363,2198.1601524352,1287.340091705,1124.3200798033
PG (28:0),-0.11352771678588718,7.411117135274527,1.2511005003258213,0.2633423917456338,0.9999898852101796,684.4546 -> 495.4546,PG,1306.9200973515,1089.1400756834,1252.4200859071,1166.1000785834,1087.3600807188,1232.2000885008,1075.8600730895,1047.320072174,1364.6400947571,1109.6400756838
PG (28:1),0.047483796477942396,7.3197155723725205,0.21806491036200626,0.6405183316520938,0.9999898852101796,682.4389 -> 493.4389,PG,1123.6600875852,1063.4200782777,1079.1000785829,1093.1200790403,1084.0200805663,1098.1400642394,1147.2200813294,1166.8800697324,1107.4400672914,1069.1000785827
PG (30:0),0.10520358741146905,7.39118312123869,1.0736291301470757,0.3001271477221404,0.9999898852101796,712.4859 -> 523.4859,PG,1115.6600837706,1118.7200775146,1096.2400741579,1095.1000862119,1287.1600875851,1164.1800842281,1174.540081024,1128.2400817872,1293.5200958252,1123.2800827024
PG (30:1),-0.02223630547819322,7.4015472893530525,0.048091234339806554,0.826418591893678,0.9999898852101796,710.4702 -> 521.4702,PG,1102.1400718692,1183.9000892645,1161.4200859065,1311.040100098,1119.9200782773,1161.0000762936,1102.4600868226,1293.7000923161,1108.2800750731,1051.1600761412
PG (30:2),0.07357559484114763,7.305980850748687,0.5230489492566778,0.4695439769796143,0.9999898852101796,708.4546 -> 519.4546,PG,1115.780078888,1099.1600761412,1036.2000694277,1025.4400672912,1144.0800743102,1101.3400726318,1148.0200805663,1099.6000823973,1099.5600738526,1046.1000823972
PG (30:3),-0.041871809080955204,7.381778428270766,0.1702496627417447,0.6798900197824812,0.9999898852101796,706.4389 -> 517.4389,PG,1321.0400886533,1123.6000862119,1068.0000762939,1191.3400802605,1108.7800750732,1234.7600898741,1047.0400772095,1170.5000801086,1139.1800765991,1132.6800765993
PG (30:4),-0.056562040953799776,7.296342829417745,0.30898766128050204,0.5783020621534318,0.9999898852101796,704.4233 -> 515.4233,PG,1055.5600814819,1084.1600837706,1214.260086059,1097.0600700377,1071.0800743105,1103.1400794983,1053.7200737,1045.5400848387,1079.180091858,1061.5200653078
PG (32:0),-0.07466763437753184,7.41785927615275,0.5427852922969811,0.46128069782030134,0.9999898852101796,740.5172 -> 551.5172,PG,1232.820079804,1336.820095062,1200.9000968929,1136.4200859067,1074.680076599,1216.5400848392,1136.3400802612,1224.1200828557,1105.1400756835,1053.1800727842
PG (32:1),-0.08297690397798362,7.315328486275717,0.6659955653838108,0.4144512287245919,0.9999898852101796,738.5015 -> 549.5015,PG,1101.5200805657,1136.5600967407,1183.720081329,1150.3600807192,1067.3200836183,1084.2200737,1061.1800804139,1096.7800750734,1050.9600753781,1042.2600746155
PG (32:2),0.1796574152758495,7.589073258463933,3.1734151325313835,0.07484579156544596,0.9999898852101796,736.4859 -> 547.4859,PG,1222.6200942991,1357.1200904847,1170.380077362,1365.9201049807,1680.5401077274,1196.2200813296,1295.8400878906,1613.3401336659,1106.3600883483,1047.5800704957
PG (32:3),0.025948138358050685,7.390388140765015,0.06545338776572485,0.7980754692694273,0.9999898852101796,734.4702 -> 545.4702,PG,1202.6200828551,1095.1600761416,1230.8400840762,1124.0600852965,1139.6400833127,1152.2400894164,1205.6000938413,1229.9200935366,1083.3400802613,1115.8800659178
PG (32:4),0.0246327368119356,7.289103038217054,0.05854565922394239,0.8088095283235633,0.9999898852101796,732.4546 -> 543.4546,PG,1038.1000633239,1107.1800727844,1072.9200706483,1061.6000747681,1105.0200805663,1080.5400772096,1077.8200798032,1083.6400718686,1127.5400733948,1026.2800788877
PG (32:5),0.028532390897155854,7.2779216280539165,0.0785079980895722,0.7793295999912803,0.9999898852101796,730.4389 -> 541.4389,PG,1035.860076904,1106.5200653076,1034.5800628662,1072.6400718689,1115.7800674441,1083.5800781249,1057.4600791929,1071.5600852967,1101.0400772095,1047.7200737
