lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-R1-Cells_r1,EKO-R1-Cells_r2,EKO-R1-Cells_r3,EKO-R2-Cells_r1,EKO-R2-Cells_r2,EKO-R2-Cells_r3,EKO-R3-Cells_r1,EKO-R3-Cells_r2,EKO-R3-Cells_r3,WT-R1-Cells_r1,WT-R1-Cells_r2,WT-R1-Cells_r3,WT-R2-Cells_r1,WT-R2-Cells_r2,WT-R2-Cells_r3,WT-R3-Cells_r1,WT-R3-Cells_r2,WT-R3-Cells_r3,blank
Lyso_Sphingosine-1-phosphocholine,-0.26059893133950085,7.20399876675529,8.2409041872426,0.0040956724392726546,0.013912284158799176,465.3379 -> 184.1,PC,1096.0200653075,1056.7600708008,1083.2600822449,1073.1400794983,1050.7600746156,1065.7000732421,1098.7200736998,1250.3600807189,1129.2600822447,1210.2000770573,1061.3400726317,1043.6200675963,1067.0600776671,1140.7400856019,1171.0400772093,1178.9400749201,1213.6000785821,1257.7400894161,1459.2001075741
Lyso_PC(13:0),-0.2567580423081854,7.353684335159498,8.046237956918398,0.0045598247557798064,0.015246914027138727,454.2855 -> 184.1,PC,1305.1800880432,1174.1800804138,1227.2600898735,1405.8601036072,1218.9800834656,1202.2400779732,1124.5800743104,1236.4400863646,1322.8600959779,1506.480098724,1321.9600753781,1158.3800849912,1325.1200866697,1173.1000900267,1111.3000831603,1250.6000976564,1488.0401115413,1338.4801025393,1315.5201034554
Lyso_PC(7:0),-0.252357839523839,7.3768299873315835,7.783821473466931,0.005271616819252636,0.01735578460492406,370.1916 -> 184.1,PC,1303.3200912477,1212.9600868224,1164.7400817868,1485.6400985719,1392.8001174924,1269.3200988768,1207.3600959782,1201.300086975,1339.02009201,1200.3000831604,1274.2600860597,1352.8000907897,1306.920101165,1288.4200859071,1156.6000633242,1431.9401130678,1411.8801078794,1625.360103607,1112.2000732422
Lyso_PC(11:0),-0.25064033082468123,7.325938986560198,7.659080897851625,0.005648727374435005,0.01808005419024182,426.2542 -> 184.1,PC,1161.4400825499,1136.3000793453,1201.9600868224,1099.4400787354,1390.8600959776,1162.680091858,1235.5000877382,1398.0200958252,1179.5000877382,1552.4401092535,1142.6600913999,1247.6400871281,1160.4800834656,1208.9600868224,1239.2600975033,1179.9200859068,1190.4200859069,1427.8600921635,1370.0200881962
PC (32:4),0.2478807488038211,8.191854811187723,7.655300015693067,0.0056605777137673,0.01808005419024182,726.5 -> 184.1,PC,2922.6402359,2708.720176697,2699.2002067564,2679.1802101121,2720.3201675411,3231.8802375783,2694.0802001947,2613.5601730351,2631.3201904293,1959.3801307672,1813.5601272587,1950.3601379386,2099.4201393142,2033.8201370238,2554.5801963786,2066.4001350412,1829.6601409904,2029.8801536559,1178.9600753785
PC (36:4),0.23928330549898816,11.533590480796466,7.295541061826441,0.006912594946678562,0.021754342920429593,782.6 -> 184.1,PC,32307.2423782567,27600.441619866,28281.501785283,28551.2218017509,25473.6616744909,25989.121795665,28740.721778864,30216.801727279,33009.24247742,17412.6010665988,17083.2611122113,18466.961380012,21581.3817443892,20491.9011344963,23177.561653126,27290.6016387878,25180.3418502725,22320.3615112321,4421.960300445
PC (52:4),-0.23847222772962814,7.162782532759153,6.901541033578367,0.008612148359264868,0.02671014128815481,1006.8 -> 184.1,PC,1091.3600769039,1129.8600845336,1124.7000732422,1093.3800811768,1085.9200706481,1099.5200729372,1103.4400749206,1139.1000823976,1090.340084076,1135.2400817869,1139.5600700378,1098.7000846862,1118.6400833133,1070.7600784302,1154.700099945,1189.0800895692,1164.9000778203,1176.2000846864,1061.3800621033
PCo(32:1),0.23062749604531482,11.57062876000766,6.778266535610366,0.009227446116911888,0.028209620985987772,718.6 -> 184.1,PC,31804.562149051,26538.8617095833,26300.6018524169,29080.781967152,26339.881797788,27425.6023864649,32460.8219985823,35371.2025146346,31771.3024444641,19678.7812118594,18643.4614028888,18146.7811813429,22768.921623228,22167.6614227239,22026.3016204745,26667.6615028332,23419.26187133,25260.841781621,3835.0202789303
PC (44:7),-0.2347021597321543,7.260369910919492,6.706716545183123,0.009605042271638251,0.028950409100430785,888.6 -> 184.1,PC,1280.5800895692,1078.5000762939,1273.5600967402,1199.820075989,1190.0200881956,1095.1200714112,1192.4000854491,1189.1600723273,1164.6600799558,1220.3000907897,1201.7000808714,1197.8000793457,1174.4000816344,1280.1800918577,1307.8000869757,1248.0400848388,1135.7200698851,1161.3000831601,1155.9400901793
C20:4,0.22112465124484063,11.690709776516643,6.2324554547087985,0.012542969153106208,0.037246322523202015,303.3 -> 303.3,FFA,36663.2025871341,30400.7021369906,32508.7023582444,28737.8420410157,28010.3618545531,26586.341865536,33174.8624114924,31702.4421958907,33167.1024970996,20622.1813964844,22823.6417236322,21626.7415084855,23619.501701353,23464.1614990233,23969.5817260725,23773.6417388922,24037.9216728198,25820.5817336982,13304.8209495521
Lyso_PC(24:0),0.22215613963925523,8.892724116487836,6.209657467928864,0.01270552123455022,0.037246322523202015,608.4577 -> 184.1,PC,5481.4003753665,4806.2403335562,4365.3603057862,4570.520301817,3632.380229949,3905.8202438374,4900.380352019,4652.2803077675,4365.6003265376,2719.1201858528,4036.7403144835,3584.3602523811,3399.0802650454,2947.7802200322,3526.620231629,3650.1802787782,3101.9002227776,3268.1602401724,1608.9201240539
PC (48:2),-0.22539683566610022,7.166147333040875,6.165716300621558,0.01302496219205694,0.03766678255540791,954.8 -> 184.1,PC,1096.1000709534,1092.8400726319,1094.4200820924,1122.5400848386,1106.6400794983,1080.8400878906,1195.5200920108,1123.4400787352,1088.0600738523,1168.9200820923,1198.5800857542,1087.0000762936,1196.7600860602,1107.5000724793,1086.360080719,1126.2000846861,1144.9000854489,1060.9200706483,1111.8800811767
C12:0,-0.21823823636190184,11.8950608157184,6.072541389170284,0.013729927210146478,0.03917605897295129,199.2 -> 199.2,FFA,31953.22229004,29802.782264712,31382.942176822,30192.5220222457,28213.8220443693,27651.1418685958,29127.9220657306,28903.38217162,33381.4423141506,28720.0420150755,30463.7822341884,29604.3220596286,32541.5023193353,31225.0421752886,32895.462356566,29894.4021301234,29352.0220947223,29402.022056572,23986.2818527216
Lyso_PC(19:1),-0.22144518769698623,7.312636827909177,5.978329135592491,0.014482716448875985,0.03976617806724027,536.3638 -> 184.1,PC,1225.8400840761,1361.1400947577,1049.5600700376,1179.6400794984,1157.8800735477,1193.9000854487,1297.8800926208,1237.4400978083,1313.8000984191,1337.6000976564,1373.1401023864,1197.4200935366,1395.4801063533,1183.5800819399,1108.8800773623,1206.6600761415,1090.5000724793,1251.8000869752,1345.6800880439
PC (34:5),-0.21925498432912974,8.094715113447895,5.9818620216301746,0.014453734708868382,0.03976617806724027,752.5 -> 184.1,PC,2092.5601539628,2024.4401626576,2036.9201393132,2429.3201484682,2247.2401504517,1772.3201255791,2571.5801544209,2240.1801528923,2327.1401824939,1820.7401351929,2145.8601455683,1813.8401336675,2727.2001800549,2347.5601806626,2337.1201820366,2623.1002006538,2086.7801361086,2176.420154571,1316.820083618
SM (d18:0/22:0),0.2166207798895532,11.240996692006227,5.976929542023214,0.014494214435723088,0.03976617806724027,789.7 -> 184.1,PC,24093.741882328,21827.5017623918,21452.2014312785,22077.0414962763,21447.0614242487,21701.1615066427,25101.7416458223,25068.3216476396,25994.5615997194,13764.500930792,14834.1610069161,13556.6610603345,18650.1812438886,18756.3012771685,19839.3817367673,20104.3613471925,18498.8813209489,19260.2814712641,5912.8204383852
Lyso_C17 sphingosine-1-phosphocholine,-0.22100567705819935,7.251045745219007,5.945285265363523,0.014756702869716552,0.03997385334328281,451.3223 -> 184.1,PC,1237.9000816348,1252.9000930788,1167.340084076,1083.0400886535,1161.9400749206,1166.1400909422,1199.7200813292,1081.6800727846,1295.8400878901,1185.9401016233,1334.3000907896,1257.4000968925,1163.8000831604,1154.7600860598,1108.6200752258,1087.320083618,1147.4600715637,1338.1800842288,1155.9200897217
Lyso_PC(14:0),-0.2170142522089366,8.691641716425078,5.911093086056987,0.015045833046972592,0.04024760340065168,468.3012 -> 184.1,PC,3897.9602508541,3463.0402564995,2799.1402091965,3619.9002952563,2991.0001792906,3074.8402557361,3371.9002571127,2911.7201805116,3385.4802093512,3148.5402336122,2679.2602195755,2760.820213318,2777.7801818842,2998.0201950064,3561.9402427674,4213.9603004454,3731.6203193652,4154.2002677898,2486.4401474011
PC (44:1),-0.21967512712464585,7.280169769059914,5.877164720399119,0.015338502089170205,0.040523943791141034,900.7 -> 184.1,PC,1256.7600860599,1271.9401016235,1165.6400794984,1190.6800880433,1197.8600769041,1133.5800857543,1110.2400817872,1240.1800842287,1213.9200782779,1366.760097504,1236.4000968937,1347.0801010128,1238.1200866702,1218.3000869752,1120.3000717163,1141.3600845335,1122.5800819394,1102.0200843813,1290.9400863647
Lyso_PC(18:4),-0.21815481509518111,7.226483874650505,5.787101363852418,0.016144187313164637,0.042132391280697956,516.3012 -> 184.1,PC,1081.3400840756,1166.8200759889,1207.0000877375,1103.7000770568,1277.080089569,1198.3600883485,1069.5400695801,1162.1600837703,1133.0000801084,1165.2800827025,1226.7201004026,1104.4200744628,1208.200096131,1180.4000740053,1168.3800888064,1117.4800872803,1323.3401069639,1075.9800796508,1195.5400886536
C14:0,-0.2122065292638133,13.181908818016751,5.748430554213088,0.01650339429763471,0.04255092023727504,227.3 -> 227.3,FFA,87576.6858520371,75012.665222171,74533.945129383,64528.564773553,67020.624496442,68720.244979858,81633.245590211,71542.445037834,75513.245391853,71365.584930433,67478.364685013,66271.344619744,84678.725357052,86301.6462249651,86225.686218247,69794.345138539,68858.104919417,70506.905319207,54649.503845207
PCo(36:2),0.20987223404427263,10.963504217148152,5.607258970623434,0.017886220412665885,0.04556727581322023,772.6 -> 184.1,PC,20756.7414474543,17751.04129028,17508.6210708596,19803.8814544405,16255.9612960818,17184.5210952821,21426.2015609787,22385.2017593346,20077.0213165159,11918.1607055728,12892.2409324603,12457.9209098757,15290.0609626792,14989.9409904435,15546.0609321519,16339.2611084126,15448.0410347068,15739.8010177567,3678.7202796963
PC (40:3),0.20852711837661284,9.229788543206482,5.489845314035861,0.019127235256709705,0.048155627587480904,840.6 -> 184.1,PC,5686.0804252624,6081.3603706367,5586.6203880303,5318.1603775018,5867.9604225151,5274.9603157044,5874.320323944,6453.7004241936,5291.2603492762,3761.6002311712,3353.5402297974,3549.3602447501,4697.5203781117,4603.1403121941,4257.3603363048,4976.4003601078,5804.6604270944,4077.8202972398,1521.8601112359
PC (44:0),-0.21191604418730883,7.18469715281047,5.454287241015021,0.01952036590080049,0.04857393375315471,902.8 -> 184.1,PC,1128.6000785828,1059.9400749207,1063.4800720215,1092.6800689697,1184.1600875853,1147.8400878905,1228.2200927733,1101.740081787,1166.8600769037,1078.6600837703,1186.5600776672,1161.7200889586,1075.3400688172,1100.9800796508,1136.5400848388,1252.100086212,1137.0600852965,1137.6800804138,1137.26007843
PC (36:3),0.20378134025010716,12.811294753008054,5.300429064695437,0.021320171939440167,0.05244272178207121,784.6 -> 184.1,PC,75718.905807508,63793.324813847,62480.443984977,70494.845184309,61737.1042556714,63494.445083627,77959.065200757,80076.264373774,73090.866256715,44225.9028930699,44079.9230194072,42933.80285643,57088.623641977,52078.703704838,55013.1237258834,60589.363937373,60987.864089969,60324.444641108,5613.9203796379
SM (d18:0/20:0),0.20303776730642134,14.652684413384685,5.265558080227436,0.021751447580787887,0.05289556570782508,761.6 -> 184.1,PC,271759.080810568,236527.953430125,219236.432830836,234959.777099358,235759.194152608,225860.6762697,279570.002136371,279423.558471659,271015.198425394,156552.971466079,149337.030761775,147977.591369602,210374.934326239,211078.675720249,203652.114318894,217839.736511181,209126.839843559,206959.396057135,19020.1812019292
PC (40:7),-0.20254259472362962,8.70045991266293,5.152608619866577,0.023211477473832547,0.05581186718427152,832.6 -> 184.1,PC,4036.5003318781,2682.3202247625,3230.3802299488,3490.3202285779,3485.6602554304,3059.9802093503,3305.3802375812,4086.9802856444,3311.1802520745,2917.1802291873,2982.2001876818,2602.3201980601,3604.4802589418,3711.3202285774,3664.6002311701,3682.5002212534,3928.5402679444,3802.2002754224,1431.160095215
PC (50:0),-0.2037601177479306,7.129486585356749,5.033748943933558,0.02485803468533177,0.0591068824740111,986.9 -> 184.1,PC,1069.020072937,1146.3000946045,1061.1800689698,1121.6800842284,1061.880077362,1076.8600692749,1115.3800697328,1078.9600791932,1112.4200782776,1070.8600769044,1145.7400817868,1086.800075531,1111.540073395,1132.8800773618,1061.6800804137,1091.9800720215,1086.4800834656,1086.0000801084,1059.4600715638
Lyso_PC(22:6),-0.20120669699000512,7.564411160847728,4.974630254086875,0.025721701133664645,0.060488396072574,568.3325 -> 184.1,PC,1623.9801139831,1585.4601211553,1423.0401077267,1896.3201217652,1352.3800849914,1379.9400978087,1174.3200798033,1490.8801002501,1380.860103607,1351.0000724788,1398.0200843813,1474.0200958242,1397.9600944513,1496.2201118463,1551.7201156611,1455.0401039125,1414.6400985713,1819.4201354992,1440.7400932321
SM (d18:0/12:0),-0.19758943510799948,8.434222085266944,4.886659685924954,0.027065001630220874,0.06295554727029638,649.5 -> 184.1,PC,2469.9401626585,2997.880207063,2944.3202171345,2547.4201698321,2250.8601875314,2657.7402153013,3148.1402053839,3465.6002159129,3025.0802497864,2460.0601997366,2433.9001808168,3000.9002113338,2931.1601982128,2919.0002021775,3288.5402259837,3187.44021988,2263.5001602192,2995.3802108772,1243.2200736995
PC (38:5),0.19555474415851257,10.73988621919444,4.866025305987108,0.027390518146018297,0.06302764390589156,808.6 -> 184.1,PC,16746.2613067499,14856.8809890749,15653.8611335776,15642.7011108395,16056.981227864,16006.0410118011,17352.3412590171,18599.6214790375,16773.5212364279,11123.540809633,10393.6007309036,10653.8007507309,12527.4609260559,13415.3408279341,14241.4210548402,13625.6810340839,13842.3208923296,13003.6010017207,2593.5601882937
SM (d18:0/16:0),0.19367524880704046,12.876693316652158,4.788303084748009,0.02865364222891201,0.06480072093163344,705.6 -> 184.1,PC,78029.54414368,71775.065803545,65900.864105237,70442.785659804,67761.865386966,63511.20382692,80776.726348876007,77402.085693354,75623.305732719,48255.382980344,44802.8033752511,42974.06223679,60035.264328001,57186.303939829,56159.223709112,65235.864669796,64512.364563003,59109.364898682,10604.1006813067
SM (d18:1/24:0),-0.19382185940093255,10.869472016028602,4.781522575501072,0.028766675179930735,0.06480072093163344,815.7 -> 184.1,PC,15909.520870198,14043.6809043741,13420.9211311361,15218.4810791002,14476.1609878461,13388.1008834719,17508.9411926153,15867.6211051821,16996.9010848986,11878.560787188,12615.9409675557,11838.8207397516,16278.1211814809,17199.6611175575,16818.4010925457,17230.5212402369,15765.1611022825,17254.0212631321,8831.2206382744
C12:1,-0.19284758104817676,11.072680109768507,4.7355802210058195,0.029544880959456735,0.06518148995179116,197.2 -> 197.2,FFA,17382.4612197907,17554.9012641903,17190.1811599754,17221.4612579372,15629.4410667415,17172.5812454247,17625.4612655638,15932.3211326615,18149.2812652569,18377.4213409429,17572.2813110371,16101.3811950663,17311.6812591555,16862.001190188,17574.2812728883,16854.7012100212,16028.3211822511,16314.541160584,14202.7810058631
PC (46:0),-0.19793307579285685,7.155109452960718,4.752988186401909,0.029247463377580683,0.06518148995179116,930.8 -> 184.1,PC,1061.4400749206,1120.040073395,1133.6400794979,1148.1200790404,1160.4200897217,1076.4600639343,1115.2600784303,1077.5000801084,1077.4600715638,1076.900074005,1072.540081024,1118.3600807189,1199.2400779725,1070.0600814817,1115.44008255,1075.7000694273,1105.9800796509,1146.2200775144,1156.5200881956
PC (52:0),-0.19515462989648089,7.077166367278873,4.607794600817224,0.031826939494494694,0.06949964338593739,1014.9 -> 184.1,PC,1080.000076294,1163.2200851429,1012.4800758363,1056.800075531,1056.9000701904,1016.4200668335,1011.18006897,1047.6800765992,1025.0400772093,1030.8400764467,1031.8400726318,1108.1800880434,1038.5800704953,1058.8000717162,1088.7400779723,1028.5200767515,1022.1400718689,1034.7600708009,1088.6200675965
PCo(42:6),-0.19239620337577854,7.535878597341549,4.546402919866459,0.03298797907059079,0.07130734869804474,848.6 -> 184.1,PC,1375.220100403,1246.0600891113,1356.5000953677,1484.6201248175,1575.0401077269,1472.2601127621,1558.0801124574,1351.7400970461,1766.3801269527,1377.3001022339,1583.2001190184,1347.8000793459,1294.8601036079,1611.0201263419,1467.3201026922,1331.560092926,1629.8201065065,1478.6601028451,1308.8400802607
C34:0,-0.18483458152511267,11.289158208285981,4.352649198558751,0.036951423951959377,0.07752553652665987,507.5 -> 507.5,FFA,21683.8415374779,20531.4414215069,20873.6815834035,20311.7613983156,18505.2012786904,18435.7612953183,20191.8214187628,18789.2813491847,20983.6215934715,18686.5412597684,20183.8214111316,19751.6012954688,19204.0413208003,21260.1015548693,19536.2013359096,20062.5013351449,19661.121421815,20047.1614837642,15378.2811698904
PC (42:9),-0.18895992563604183,7.355619287923554,4.363118000002728,0.036725028542055,0.07752553652665987,856.6 -> 184.1,PC,1200.1800842283,1230.1400947568,1153.6200714114,1340.0400924691,1254.9200820922,1258.2400741578,1428.2400970463,1520.0200805662,1258.6600914001,1131.8000907898,1248.7000846864,1228.2800941458,1325.7001037602,1322.2800827026,1373.0400962823,1512.6600952153,1213.9200973505,1224.8200759887,1175.1800880432
PC (46:1),-0.19006390368622636,7.146441028102802,4.381236084874181,0.03633663705571567,0.07752553652665987,928.8 -> 184.1,PC,1127.4600753783,1124.0800819394,1064.8600769044,1069.4200706482,1148.0200805663,1124.000076294,1115.3600883482,1075.0200729369,1087.620071411,1071.2400703432,1167.860099793,1081.8800811767,1068.94008255,1082.1000900268,1097.1600875854,1062.8000793455,1105.1200828552,1138.6400756839,1164.1600761415
Lyso_PC(2:0),-0.18718050401524655,7.403773251607252,4.284913306164295,0.038452043475748876,0.07989065343505106,300.1134 -> 184.1,PC,1212.1400794982,1226.3400993344,1348.4800949094,1419.140110016,1353.060115814,1372.6200904844,1214.040081024,1495.0200843807,1236.6400909419,1477.7000999451,1257.6200828552,1315.5200843811,1217.7600860594,1246.9400749207,1222.8600883484,1340.3400993344,1327.7801055907,1389.500091554,1384.0801010132
Lyso_PC(15:1),-0.1858678887466892,7.227561381309758,4.202835405053655,0.04035644866947004,0.08304115399294795,480.3012 -> 184.1,PC,1297.6200981143,1096.3400878911,1273.9600830082,1140.000087738,1080.1000747681,1189.1800918581,1092.9200820924,1245.2000923153,1184.4800987243,1241.9600868224,1224.4200859068,1244.9400863647,1108.1800842285,1138.8000831603,1180.1400871278,1134.2800712587,1168.6800956727,1035.200065613,1147.4200782776
PC (30:1),0.1796815556064829,13.932845243306753,4.12380431754201,0.042283891181237855,0.0861785972646181,704.5 -> 184.1,PC,167583.930877815,143219.729858262,133586.68939211,144789.690094036,137571.290130681,138140.08898932,163288.052337742,164187.551361058,159412.029632489,97585.646713277,94353.206619207,91111.206680265,125410.968261785,124445.088561829,119071.927429255,132873.549621512,130914.22930902,128058.61093132,18346.8410759066
PC (44:2),-0.1831700047195133,7.251689863127632,4.085520106528663,0.04325213787594381,0.08732035382501864,898.7 -> 184.1,PC,1284.3400802611,1201.3400917052,1138.9600791931,1180.3200759888,1235.1000900269,1159.2000770567,1201.4400825501,1163.9800949095,1235.6000862121,1191.1000900269,1126.2000770569,1191.3400802612,1119.9400825499,1084.3000793456,1149.6200790404,1204.4600906371,1200.5400886536,1417.3400878909,1157.5800895688
C30:0,-0.1770162267749395,12.049847856982822,3.9974111509775985,0.045570207699586446,0.09114041539917289,451.4 -> 451.4,FFA,38300.442756652,35279.7825279307,35178.6025352493,32946.5423126218,31744.3421096733,30679.4022903428,34561.6424674987,35742.6825141897,38653.8426132181,35267.022430421,32405.4822273265,34615.7825126622,33877.442333219,33682.8024291963,33060.7822608904,34371.5425148002,34781.1823158269,35478.2624435447,18169.7811965941
PC (48:0),-0.1809905737518016,7.141911304410437,3.9736632185997585,0.04621712437618394,0.09157837607873484,958.8 -> 184.1,PC,1118.0400772093,1088.2800865172,1089.9400711059,1131.4200859072,1107.3800811769,1091.1400718688,1099.0000839233,1089.5400695801,1178.1400794982,1076.3600692748,1109.9000854491,1063.3600845337,1124.7800750732,1103.7800827026,1159.2800750735,1076.1000785825,1060.400085449,1096.0000686645,1096.7200813294
Lyso_PC(12:0),-0.17730402190232564,7.710154962700655,3.8786874571562002,0.04890277428308028,0.09529424525875335,440.2699 -> 184.1,PC,1905.72013092,1841.9001541131,1589.9400939937,1675.9001083385,1576.0200996395,1660.5401000991,1597.6201057435,1294.6600952147,1840.160152435,1738.600120544,1692.3201141347,1762.740135192,1676.4601135255,1414.8201026916,1472.9401054382,1609.1201057426,1824.3601188675,1535.3601074216,1451.9201011664
PC (42:2),-0.177999700493149,7.3899725792323485,3.8759348632194115,0.048983023263845175,0.09529424525875335,870.7 -> 184.1,PC,1282.8600997928,1438.4601058955,1336.9201011653,1272.1600990295,1458.440109253,1223.9000930785,1334.4000968932,1303.5600929261,1317.5801010127,1204.9000778193,1287.3000793462,1347.1600875866,1237.9600906373,1296.5200805668,1353.6800956733,1473.3201103214,1313.0800971988,1308.6800994868,1175.6600875854
Lyso_PC(17:2),-0.17491637308696856,7.218412494195682,3.7206182529736553,0.053744467362618065,0.1036154596000024,506.3168 -> 184.1,PC,1169.2600784303,1076.9200706483,1247.8000831602,1132.5600814821,1168.6400871279,1171.160087586,1145.2800827026,1174.4800796509,1242.2600898741,1172.2200889585,1247.6000823971,1197.0000877384,1080.1200828553,1099.6600837701,1154.3400878905,1111.1200714111,1137.8800697326,1139.2400817871,1191.9600868227
Lyso_PC(5:0),-0.1737083512719377,7.443509862917983,3.6960744141773896,0.054540645094229664,0.1042115897336174,342.1603 -> 184.1,PC,1494.5201072697,1454.4601058961,1260.6400909423,1206.5000915529,1311.8800888053,1269.5600967403,1536.7401008603,1470.960113526,1362.6000976563,1325.200088501,1275.8200912474,1207.6800880432,1317.1800994873,1334.2800941459,1364.1800880431001,1394.4401092531,1436.3600959782,1494.6801109309,1374.2000923164
PC (34:1),0.1697158989493608,16.075580442960838,3.680593938830043,0.05504923712103399,0.10425253755664844,760.6 -> 184.1,PC,718439.53735358,625946.4675293,615681.92504881,640023.64477531,618382.27978512,592354.24707039,735265.83569345,717270.35009764,716286.33178706,416540.10217282,418892.18878172,396344.26892094,567741.03820796,554693.09460455,566153.21997077,599172.04687475,577937.09692386,556355.75952141,46707.243446354
PC (36:8),0.16900916085906575,9.751910032781396,3.620246209741552,0.05708042520209709,0.10715097362498928,774.5 -> 184.1,PC,9153.0606002747,6758.7404212961,7359.4604835511,7861.600681304,6820.4004745484,7479.1404571615,10003.9807014396,9251.0607185363,8237.6405639635,5330.3403396615,5348.3204154975,5023.7203292841,5906.900428771,6191.1804008489,7838.1405982962,7254.2204780589,6810.800479889,6911.6805229189,2613.340179443
PC (40:0),-0.16701063683803669,8.413024982491036,3.4901976775406567,0.06173321292251295,0.11383988932735144,846.7 -> 184.1,PC,3019.6602058422,2469.1601715093,2554.340198517,2711.580207825,3160.1802215569,3103.100215912,2297.500144959,2616.2001876843,3226.0202255248,2990.5402183531,2695.9201965326,2770.8002128596,2135.5801582338,2555.4201736453,2530.800170899,3320.5002250675,2768.020195009,2875.680206299,1443.9400939939
PC (44:8),-0.16958085369275974,7.262243176091354,3.503435289779171,0.061241670857135146,0.11383988932735144,886.6 -> 184.1,PC,1236.8200798031,1114.7800712585,1246.4400787356,1165.3200836181,1247.4200859068,1208.8000793458,1173.6600723265,1288.7200851435,1256.5800933834,1128.3200874329,1184.5200843815,1195.0200958254,1147.4600753784,1286.8000907903,1173.2400779727,1229.2600822447,1146.9400825499,1232.30008316,1149.6200828552
SM (d18:0/26:0),-0.16853641698639452,7.403174387987165,3.4766780556205727,0.06223956566028093,0.11383988932735144,845.7 -> 184.1,PC,1242.9600868221,1176.1200828551,1223.2400894169,1383.260105133,1326.8401069643,1334.3800964348,1583.3601226806,1389.7800941469,1500.6800842291,1237.840080261,1316.4600906377,1243.4400863645,1514.7201080332,1329.6400833134,1148.1200866694,1468.520126342,1362.6600914004,1288.4801101687,1175.8600730891
Lyso_PC(18:3),-0.16516756910539163,7.310697798680383,3.327901714804991,0.06811372023403643,0.12352827228884573,518.3168 -> 184.1,PC,1289.1000976564,1359.0000877381,1249.0600929264,1249.3200874331,1346.1200904846,1068.2400817869,1272.9800872803,1354.3600959773,1084.2800712584,1175.80009079,1145.7800827026,1288.0801010135,1265.4800910952,1274.7000846864,1139.6200790404,1337.6200866703,1064.2400817868,1323.8200912469,1267.1400909421
C15:0,-0.15957597098171056,12.49841404668234,3.250272166038144,0.07141159908283493,0.12594247924831925,241.3 -> 241.3,FFA,41926.9431457495,45398.563186641,46867.383331295,40980.923057552,53367.943695067,61356.024658197,40706.742965695,39043.9026794436,45249.562881463,43083.623016365,41470.362960814,43728.723175046,50298.863906857,51393.6838149958,52795.943542486,38253.902694707,40874.502883918,44562.083084102,39058.582794191
C20:5,-0.1595634277666454,11.636150548362792,3.2463655680355714,0.0715820173376905,0.12594247924831925,301.3 -> 301.3,FFA,27394.2819938655,27651.8020858746,28782.9021148672,22342.8016738925,22696.2015228297,26153.7618789659,24476.7417907739,25198.281768802,25676.1017379749,27118.8617782526,25369.6018905596,27623.4018630982,23700.5416488667,23489.4616775546,24583.4217033394,23223.2415656978,23503.0015640283,24887.3816909772,20526.2014312782
Lyso_PC(17:1),-0.16283445643367023,7.370970235141986,3.241406324971173,0.07179898349670537,0.12594247924831925,508.3325 -> 184.1,PC,1204.0200805668,1731.2601242057,1051.4400711061,1260.6000900271,1330.9801025382,1274.6001091005,1402.4601097112,1231.0000991816,1344.7600975033,1312.7000999456,1325.4600753787,1189.8200836181,1296.5000991816,1252.0200920102,1241.4400863646,1204.3800926207,1360.1801071165,1354.7400894158,1236.9400978088
PC (40:8),-0.1629227161287709,7.659914098186032,3.271546922847831,0.07049112478823533,0.12594247924831925,830.6 -> 184.1,PC,1388.1600914005,1979.200138091,1509.3201141348,1293.7201080323,1800.0201301577,1605.6801300042,1625.2801094053,1499.3801078797,1826.2801284782,1421.2400970458,1399.5400848381,1604.0401153566,1348.8801040651,1551.4801063532,1851.0001297002,1818.0201148983,1499.5801048284,1733.6201210025,1393.2800941462
PC (42:0),-0.16243174950067685,7.251891914842671,3.2122230135269256,0.0730901167689463,0.12716491860613421,874.7 -> 184.1,PC,1177.3800888061,1125.0200843809,1151.2600746155,1187.1200866704,1127.2200775147,1302.9401016229,1212.1800880433,1251.1400909424,1266.6200828553,1151.2000961305,1083.6000747679,1087.8000793456,1197.8400840759,1165.0200805666,1204.9800872802,1171.4600830075,1193.8000869753,1295.8600730899,1257.8400917051
SM (d18:2/18:1),0.1601685899741691,8.141119218904992,3.1958858869943896,0.07382376271959597,0.12740552598381885,727.6 -> 184.1,PC,2722.6201934816,2547.340175629,2364.3801689151,2743.7602081314,2716.140159608,2147.6601600657,2733.060211181,2567.9001770027,2799.1601867664,1672.8401184084,1744.2601127634,1814.040130616,2194.8601341245,2130.9001579287,2073.2001609807,2086.7001266488,2404.7601585375,2134.7201499918,1281.7000923161
Lyso_PC(21:0),-0.15990235992018378,7.883048271585646,3.169085918857398,0.07504443566650132,0.12745642248120065,566.4107 -> 184.1,PC,1871.2001495352,1670.2001075744,1878.0201148993,1992.2601432793,1815.9201278689,1835.8601150527,2069.5601501464,2165.7601432799,1947.4601249694,1368.0801010135,1927.860153198,1765.1201210019,2150.120159149,1816.6801414493,1602.840122223,2404.8801841726,1985.1801490777,1824.680130005,1338.8600997924
