Majority protein IDs,logFC,PValue,FDR,Fold_change,average_C_lfq,average_R_lfq,MS_C_average,MS_R_average,Gene names
Q4FZT8,-26.71218885,2.40E-27,4.47E-26,9.10E-09,13770800,0,3,0.4,Spryd4
Q9JIX3,-26.71279901,2.40E-27,4.47E-26,9.09E-09,13761600,0,2.6,0,Fhit
D3ZVP6,-26.68104453,2.50E-27,4.58E-26,9.29E-09,13479200,0,1.8,0,Ppwd1
I6L9G5;A0A0G2K022,26.68093989,2.49E-27,4.58E-26,1.08E+08,0,13495600,0,3.6,Rcn3
F1LU71,-26.67400681,2.52E-27,4.59E-26,9.34E-09,13411400,0,2.6,0,Auh
P08289;A0A0G2K0X8,-26.66219474,2.56E-27,4.62E-26,9.42E-09,13299200,0,3,0,Alpl
D4A197,-26.62773407,2.67E-27,4.79E-26,9.64E-09,12998400,0,2,0,Mcee
D4A040,-26.59569206,2.77E-27,4.95E-26,9.86E-09,12692200,0,2.8,0,Mrps11
D3ZHI8;A0A0G2K1K5,-26.58202066,2.82E-27,5.00E-26,9.95E-09,12576600,0,2.4,0.4,Trappc11
Q498U1;Q5U314,26.56870141,2.86E-27,5.00E-26,9.95E+07,0,12409200,0,2.2,Abcg3l4;Abcg3l2
Q569C0,-26.57524563,2.84E-27,5.00E-26,1.00E-08,12533200,0,3,0.4,Tmem100
G3V914;F1LNE4;G3V6Z5;P19493-2;A0A0G2JU28;P19491-2;P19491;P19491-3,-26.54873366,2.94E-27,5.08E-26,1.02E-08,12295600,0,1.6,0,Gria2;Gria3
Q99J86-2;Q99J86,-26.54843708,2.94E-27,5.08E-26,1.02E-08,12267200,0,3.2,0,Atrn
P45352,-26.5317614,3.00E-27,5.15E-26,1.03E-08,12140000,0,4,0.4,Tyms
D3ZZ19;A0A0G2JZA7,26.50533378,3.09E-27,5.26E-26,9.53E+07,0,11883400,0,2.4,Tmem2
P52481,-26.49630446,3.13E-27,5.31E-26,1.06E-08,11860720,0,3.6,0,Cap2
Q9R1T3,-26.47972318,3.20E-27,5.38E-26,1.07E-08,11710800,0,2.8,0,Ctsz
P26817;F1LMA4;A0A0G2JZ82;A0A0G2K145;A0A0G2K9S3;P26819,26.45747541,3.27E-27,5.48E-26,9.21E+07,0,11494800,0,2.6,Adrbk1;Adrbk2
Q6AYN2,-26.40431614,3.51E-27,5.83E-26,1.13E-08,11096200,0,2.8,0,Saraf
F1LUZ4,26.3836007,3.58E-27,5.92E-26,8.75E+07,0,10956200,0,2.4,Sorcs1
P61480,-26.30486295,3.96E-27,6.51E-26,1.21E-08,10388600,0,2.2,0.4,Wdr12
D3ZMR9,-26.27888458,4.09E-27,6.68E-26,1.23E-08,10203200,0,2.6,0,Mrpl21
Q5XI55-2;Q5XI55,-26.20941251,4.45E-27,7.23E-26,1.29E-08,9723200,0,1.8,0,Ngly1
A0A0G2K6M7;D4ADE6;D4A024;D3ZIF4,-26.16334969,4.71E-27,7.60E-26,1.33E-08,9400600,0,1.2,0,Sall2;Sall3;Sall1
Q03114,-26.12051946,4.97E-27,7.96E-26,1.37E-08,9116160,0,2.8,0,Cdk5
P02696,9.998642074,1.03E-05,0.00016494,1.02E+03,1359380,1386100000,1.6,55.6,Rbp1
Q5PQW8;Q63663,8.933700162,4.01E-05,0.000635833,4.89E+02,3157000,1531720000,1,60,Gbp2
P29534;A0A0G2K127,8.217257917,0.000100167,0.001578072,2.98E+02,7200940,2145180000,2.8,58.8,Vcam1
F1LS79;Q00657,6.264088875,0.001223948,0.019170436,7.69E+01,2008200,153840600,0,19.8,Cspg4
D4AEG2,6.236178309,0.001268535,0.019753953,7.54E+01,4305600,325722000,0.4,23.8,Rab32
G3V8K7;Q62771;Q62771-2,5.613541204,0.002814614,0.043577993,4.90E+01,7117000,346542000,1.6,25.8,Stat5a
D4A3D4,-5.228903307,0.004596135,0.070754211,2.67E-02,112710000,3020000,12.8,1.2,Abhd3
Q31257;Q31266;O19446;Q31274;Q31258,5.15383536,0.005056414,0.077397606,3.56E+01,3136000,112139000,0.4,11.6,RT1.A1(f);RT1.Al
Q5XIE8,-4.817754997,0.007740992,0.117820526,3.55E-02,157224000,5626200,18.6,1.4,Itm2b
Q6MG19;A0A0G2JVT5;Q63474;A0A0G2K7S7;B2GVB6,-4.349130566,0.013945101,0.211056752,4.91E-02,168988000,8366600,15.4,1,Ddr1
D3ZF26,4.001286762,0.021465946,0.32306848,1.60E+01,14275400,228840000,3.2,24.2,Tnks1bp1
A0A0G2JSP8;P00564,-3.923253296,0.023627318,0.353622197,6.59E-02,413248000,26764000,9.2,1.6,Ckm
P06238;Q5D178,3.773788706,0.028365439,0.422190568,1.37E+01,3294800,44856000,1.4,6.2,A2m
P70490;Q1PBJ1;A0A0G2K506,-3.767630732,0.028579147,0.423034187,7.34E-02,724970000,53079200,49.8,6.8,Mfge8
Q5RJZ3;B0BN20,-3.689149632,0.031439189,0.462826092,7.75E-02,106902200,8190400,7.4,1.2,Tspan6
P07895,3.684447282,0.031619027,0.462943799,1.29E+01,212886000,2727820000,12.6,74.6,Sod2
D3ZK97;B0BMY8;P84245;M0RBX6;A0A0G2K0N8,-3.675610814,0.031959494,0.46539933,7.83E-02,489982000,37908000,31.2,15,H3f3c;H3f3b;Hist1h3e
D3ZUM4,-3.6680049,0.032255281,0.467181334,7.87E-02,75975400,6057600,9,2.4,Glb1
B0BN65,3.648251281,0.03303601,0.473399001,1.25E+01,22759600,284434000,3.2,24.4,Fam49a
O54902-2;Q4QR92;A0A0G2JTX4;A0A140TAD8;O54902;A0A0G2JT15,3.652101586,0.032882334,0.473399001,1.26E+01,4468800,55758400,0.4,2.6,Slc11a2
P33124;A0A0A6YYM0;P33124-2,-3.623199546,0.034051869,0.485374266,8.12E-02,97360600,7922000,12,1.2,Acsl6
P15087;Q5U322;D4A8X4,-3.488840904,0.040026822,0.5675382,8.91E-02,293324000,26016800,28.8,4.6,Cpe
P19643,-3.369037574,0.046178356,0.651332417,9.68E-02,53963600,5297600,9.4,1,Maob
F1LNL3;Q80ZB2,-3.28690566,0.050898166,0.714164895,1.02E-01,346688000,35587800,31.4,5.2,Abca1
Q6P5P5;M0R830,-3.276311935,0.051538679,0.719405189,1.03E-01,56462800,5855200,7,0.8,Mest
D3ZJ08,-3.255283709,0.052832899,0.733669222,1.05E-01,1703360000,177406000,68.2,36.6,Hist2h3c2
Q5I0P2,-3.23101368,0.054363951,0.75105889,1.07E-01,33641400,3539400,3.8,0.8,Gcsh
A8QIC3,-3.173550519,0.058155872,0.79934653,1.11E-01,22132600,2425200,4.8,1.2,Dnajc9
B0BMT9,3.157815053,0.059236646,0.80808908,8.92E+00,6908800,61398400,0.8,9.4,Sqrdl
Q5XFW4,-3.155571813,0.059391848,0.80808908,1.12E-01,18225800,2022000,4.4,1,Mrpl13
Q4QQS8,-3.114780531,0.062287682,0.843231237,1.15E-01,423450000,47810000,6.4,1.6,Nup85
Q9QZF6;Q6P7C7,-3.064440876,0.06604091,0.889571052,1.20E-01,201572000,24303000,8.6,1.4,Gpnmb
Q5XIF6,-2.983194467,0.072540745,0.967449347,1.26E-01,36262200,4609800,4.6,1,Tuba4a
Q6IMX8;O55171,-2.985952544,0.072310817,0.967449347,1.26E-01,43938800,5571400,6,1.8,Acot2
A0A068FP44;Q4AE70-3;Q4AE70-4;Q4AE70-2;Q4AE70,-0.262622312,0.8647638,0.999921583,8.34E-01,33130000,27462400,3.4,4.4,CARM1;Carm1
A0A096MIV5;A2VD14;F1M8H5,0.070235066,0.963647171,0.999921583,1.05E+00,28186400,29513200,4,4.2,Abcf2
A0A096MJ04;Q6AXR6;B6DYQ5;Q9Z339,0.209290677,0.892010083,0.999921583,1.16E+00,33464600,38602200,5.4,4.6,Gsto1
A0A096MJA9;A0A096MKE0;A0A0G2K2B5;A0A096MIY8;A0A096MK70,-0.188127137,0.902864789,0.999921583,8.78E-01,29252400,25629600,3.4,4,Asph
A0A096MJJ6;B1H213;A0FKI7-2;A0FKI7;A0FKI7-3;M0R9S4;A0A0G2K3Z5,-0.37617239,0.807404693,0.999921583,7.70E-01,11949340,9224940,4,1.6,Acbd5;LOC100910957
A0A096MJM1;Q32PX6;A0A096MK75,0.532983845,0.73016383,0.999921583,1.45E+00,62814600,90654200,7.4,10.4,Rhog
A0A096MJM8;F7FJR8,-0.812313225,0.60046221,0.999921583,5.69E-01,13927800,7936200,2.6,1.6,Las1l
A0A096MJY1,-0.184150389,0.904906839,0.999921583,8.80E-01,60731200,53352800,8.6,6.6,Gpc6
A0A096MJY6,-0.153904784,0.920460294,0.999921583,8.99E-01,23094200,20682000,2.4,2,Gbe1
A0A096MJZ2,-1.675634622,0.28960994,0.999921583,3.13E-01,26853400,8445800,6.4,0.8,Tbl2
A0A096MK73;P13668,-1.431440984,0.362358556,0.999921583,3.71E-01,37938600,14156800,4.2,1.2,Stmn1
A0A096MK83;O70454;A0A096MK58;A0A096MK59,-1.717915168,0.278224862,0.999921583,3.04E-01,19446200,5834000,4.2,1.8,Bud31
A0A096MKE2;D4A719;A0A096MKG7,-1.416359561,0.367248561,0.999921583,3.75E-01,29799400,11093200,4.6,0.8,Snx12
A0A096MKE9;Q5U2M4,-0.642757854,0.677837094,0.999921583,6.40E-01,34364600,21945400,6,3.2,Lig3
A0A096MKG2;A0A0G2QC27;B0BNB6,-0.603152583,0.696530068,0.999921583,6.58E-01,30864200,20293800,6,3.4,Nol6
A0A096MKG5;Q1HCL7,-0.712569746,0.645438237,0.999921583,6.10E-01,113984400,69199400,13.2,6.4,Nadk2
A0A096MKH2;Q4KM55,0.004791024,0.997519247,0.999921583,1.00E+00,47290600,47364200,5.8,5,Vta1
A0A097BVJ5;P13233,-0.555490384,0.719306966,0.999921583,6.80E-01,1414700000,960510000,68.2,42.8,Cnp
A0A0A0MXW3;D4AEC0;P0C0S7,-0.350217661,0.82042521,0.999921583,7.84E-01,1061900000,829972000,15,10.8,H2afz;H2afv
A0A0A0MXX5;D4A1J4,-1.10185073,0.479790938,0.999921583,4.66E-01,20410600,9522600,4.6,1.2,Bdh2
