Lipid name,PValue,sig_groups_pvalue,FDR,sig_groups_fdr,averageC,averageR,Fold Change,logFC,lipid_class
Lyso_PC(11:0),0.283590348,2.00E+00,0.998556814,2.00E+00,1032.052077,965.9760712,0.933472438,-0.09932067,PC_SM
Lyso_PC(12:0),0.877534503,2.00E+00,0.998556814,2.00E+00,1022.700072,1015.248064,0.990165916,-0.014257806,PC_SM
Lyso_PC(13:0),0.74791133,2.00E+00,0.998556814,2.00E+00,1003.528075,985.5160675,0.979574873,-0.029772328,PC_SM
Lyso_PC(14:0),0.288519218,2.00E+00,0.998556814,2.00E+00,1344.188091,1261.164095,0.93485064,-0.097192209,PC_SM
Lyso_PC(14:1),0.647257671,2.00E+00,0.998556814,2.00E+00,991.412072,1023.68007,1.029797995,0.042361367,PC_SM
Lyso_PC(15:0),0.301188975,2.00E+00,0.998556814,2.00E+00,1637.42811,1752.148124,1.067205592,0.093838131,PC_SM
Lyso_PC(15:1),0.970020858,2.00E+00,0.998556814,2.00E+00,960.1240677,960.4680641,0.997585635,-0.003487403,PC_SM
Lyso_PC(16:0),7.91E-12,1.00E+00,5.16E-10,1.00E+00,12282.69295,8091.760584,0.656352685,-0.607456853,PC_SM
Lyso_PC(16:1),9.95E-16,1.00E+00,1.07E-13,1.00E+00,7528.808536,4595.488341,0.608549776,-0.716552823,PC_SM
Lyso_PC(17:0),0.323167441,2.00E+00,0.998556814,2.00E+00,1158.960081,1090.696075,0.938864293,-0.091011455,PC_SM
Lyso_PC(17:1),0.856815585,2.00E+00,0.998556814,2.00E+00,1101.944076,1092.480078,0.988533908,-0.016637642,PC_SM
Lyso_PC(17:2),0.570880551,2.00E+00,0.998556814,2.00E+00,953.9200676,992.1520706,1.037102939,0.052559097,PC_SM
Lyso_PC(18:0),2.06E-04,1.00E+00,0.003218055,1.00E+00,2353.960178,1868.160132,0.792619054,-0.335300446,PC_SM
Lyso_PC(18:1),4.36E-16,1.00E+00,5.04E-14,1.00E+00,9425.736703,5719.116425,0.60528568,-0.724311875,PC_SM
Lyso_PC(18:2),0.007988199,1.00E+00,0.086261053,1.00E+00,1849.456134,1569.752108,0.84625941,-0.240828124,PC_SM
Lyso_PC(18:3),0.868394921,2.00E+00,0.998556814,2.00E+00,1074.008077,1066.10807,0.989453316,-0.015296455,PC_SM
Lyso_PC(18:4),0.060715839,2.00E+00,0.431916943,2.00E+00,1008.048071,1139.92408,1.127541796,0.173180913,PC_SM
Lyso_PC(19:0),0.600907019,2.00E+00,0.998556814,2.00E+00,981.0040726,1017.848074,1.034150735,0.048446484,PC_SM
Lyso_PC(19:1),0.601699669,2.00E+00,0.998556814,2.00E+00,1027.90807,997.0440712,0.967068112,-0.048310591,PC_SM
Lyso_PC(19:2),0.908202012,2.00E+00,0.998556814,2.00E+00,977.5280724,973.4240707,0.992616636,-0.010691461,PC_SM
Lyso_PC(19:3),0.032800024,1.00E+00,0.267569763,2.00E+00,2041.06015,2338.484164,1.142733486,0.192488971,PC_SM
Lyso_PC(2:0),0.71403745,2.00E+00,0.998556814,2.00E+00,1006.91607,986.616069,0.976748199,-0.033941404,PC_SM
Lyso_PC(20:0),0.220255757,2.00E+00,0.998556814,2.00E+00,1027.304069,1114.40008,1.081609414,0.113179614,PC_SM
Lyso_PC(20:1),0.001165792,1.00E+00,0.014956013,1.00E+00,1818.932124,1481.704109,0.814945278,-0.295224907,PC_SM
Lyso_PC(20:2),0.605669001,2.00E+00,0.998556814,2.00E+00,1338.028093,1297.692097,0.967778855,-0.047250677,PC_SM
Lyso_PC(20:3),7.98E-04,1.00E+00,0.010886752,1.00E+00,2146.728142,1745.344125,0.810288632,-0.303492195,PC_SM
Lyso_PC(20:4),0.215697327,2.00E+00,0.998556814,2.00E+00,1351.328091,1251.488087,0.924419909,-0.113379764,PC_SM
Lyso_PC(20:5),0.98229127,2.00E+00,0.998556814,2.00E+00,1055.520078,1057.396074,0.99857987,-0.002050271,PC_SM
Lyso_PC(21:0),0.7194084,2.00E+00,0.998556814,2.00E+00,1052.644071,1080.864078,1.023257619,0.033169409,PC_SM
Lyso_PC(21:4),0.912588864,2.00E+00,0.998556814,2.00E+00,986.628067,996.7160736,1.007074352,0.010170201,PC_SM
Lyso_PC(22:0),0.813257724,2.00E+00,0.998556814,2.00E+00,1210.760084,1232.172084,1.015143696,0.021683959,PC_SM
Lyso_PC(22:1),0.525104226,2.00E+00,0.998556814,2.00E+00,1002.832072,1047.512074,1.041588664,0.058785652,PC_SM
Lyso_PC(22:2),0.69207397,2.00E+00,0.998556814,2.00E+00,1087.972079,1063.020076,0.974981753,-0.036552876,PC_SM
Lyso_PC(22:4),2.04E-05,1.00E+00,3.69E-04,1.00E+00,1465.816097,1119.600079,0.76264552,-0.390915452,PC_SM
Lyso_PC(22:5),0.130094983,2.00E+00,0.753948146,2.00E+00,1057.792078,962.8080681,0.907424725,-0.140150125,PC_SM
Lyso_PC(22:6),0.114472831,2.00E+00,0.701321306,2.00E+00,1124.53208,1019.300076,0.903917169,-0.145737519,PC_SM
Lyso_PC(24:0),0.173214158,2.00E+00,0.91870831,2.00E+00,1708.120124,1569.324113,0.917799811,-0.123748585,PC_SM
Lyso_PC(24:1),0.486408575,2.00E+00,0.998556814,2.00E+00,1162.31608,1113.772084,0.956553389,-0.064082601,PC_SM
Lyso_PC(3:0),0.501828865,2.00E+00,0.998556814,2.00E+00,1010.744069,971.3040703,0.957783927,-0.06222787,PC_SM
Lyso_PC(3:1),0.744385458,2.00E+00,0.998556814,2.00E+00,980.336071,963.188063,0.979258663,-0.030238109,PC_SM
Lyso_PC(4:0),0.69847127,2.00E+00,0.998556814,2.00E+00,1020.500076,998.8320717,0.975450586,-0.035859304,PC_SM
Lyso_PC(5:0),0.608075148,2.00E+00,0.998556814,2.00E+00,1011.180071,981.6040733,0.967610476,-0.047501706,PC_SM
Lyso_PC(6:0),0.00707272,1.00E+00,0.077133478,1.00E+00,1368.532097,1629.800111,1.185553414,0.245560664,PC_SM
Lyso_PC(7:0),0.784441748,2.00E+00,0.998556814,2.00E+00,1138.560081,1162.300082,1.017600493,0.025171274,PC_SM
Lyso_PC(8:0),0.519727471,2.00E+00,0.998556814,2.00E+00,1110.056078,1068.676077,0.959673863,-0.059383894,PC_SM
Lyso_PC(9:0),0.961769084,2.00E+00,0.998556814,2.00E+00,1044.400076,1050.648079,1.003074907,0.004429347,PC_SM
Lyso_PE(12:0),0.91467354,2.00E+00,0.998556814,2.00E+00,1128.464082,1123.356081,0.99318281,-0.009868803,
Lyso_PE(13:0),0.388372938,2.00E+00,0.998556814,2.00E+00,1061.940079,1008.028073,0.946216727,-0.07975743,
Lyso_PE(14:0),0.806651759,2.00E+00,0.998556814,2.00E+00,1037.276075,1024.288077,0.984434258,-0.022633231,
Lyso_PE(14:1),0.430820889,2.00E+00,0.998556814,2.00E+00,1078.572076,1028.856074,0.950803562,-0.072780786,
Lyso_PE(15:0),0.513887658,2.00E+00,0.998556814,2.00E+00,1091.984077,1050.408077,0.959089432,-0.060262746,
Lyso_PE(15:1),0.72428048,2.00E+00,0.998556814,2.00E+00,1113.944082,1092.480076,0.977711382,-0.032519447,
Lyso_PE(16:0),0.708382066,2.00E+00,0.998556814,2.00E+00,1049.896073,1078.548082,1.024228681,0.034537864,
Lyso_PE(16:1),0.579557848,2.00E+00,0.998556814,2.00E+00,1091.472079,1056.98007,0.965174687,-0.051138015,
Lyso_PE(17:0),0.749955105,2.00E+00,0.998556814,2.00E+00,1030.760068,1055.368076,1.020627025,0.029455748,
Lyso_PE(17:1),0.570182391,2.00E+00,0.998556814,2.00E+00,1113.772079,1077.668081,0.964356987,-0.052360791,
Lyso_PE(17:2),0.730050392,2.00E+00,0.998556814,2.00E+00,1016.792068,1042.772072,1.022365665,0.031911291,
Lyso_PE(18:0),0.59387391,2.00E+00,0.998556814,2.00E+00,1172.924078,1137.152081,0.966564858,-0.049061552,
Lyso_PE(18:1),0.65104765,2.00E+00,0.998556814,2.00E+00,1208.092082,1177.172083,0.971603865,-0.041559867,
Lyso_PE(18:2),0.668435551,2.00E+00,0.998556814,2.00E+00,1023.792072,1055.516068,1.027822923,0.039591733,
Lyso_PE(18:3),0.868126492,2.00E+00,0.998556814,2.00E+00,1037.728072,1029.976075,0.989414976,-0.015352359,
Lyso_PE(18:4),0.6812512,2.00E+00,0.998556814,2.00E+00,1043.372074,1019.272073,0.974014742,-0.037984486,
Lyso_PE(19:0),0.705461323,2.00E+00,0.998556814,2.00E+00,1057.224075,1034.924072,0.976080316,-0.034928232,
Lyso_PE(19:1),0.944414312,2.00E+00,0.998556814,2.00E+00,1033.420074,1041.012074,1.004477853,0.006445756,
Lyso_PE(20:0),0.510966281,2.00E+00,0.998556814,2.00E+00,1108.752079,1066.192075,0.958838441,-0.060640346,
Lyso_PE(20:1),0.365063705,2.00E+00,0.998556814,2.00E+00,1200.488084,1135.208078,0.943894159,-0.083302999,
Lyso_PE(20:2),0.987679965,2.00E+00,0.998556814,2.00E+00,1051.796075,1053.876076,0.999011683,-0.001426545,
Lyso_PE(20:3),0.815769488,2.00E+00,0.998556814,2.00E+00,1053.680078,1072.47208,1.015024869,0.021515075,
Lyso_PE(20:4),0.528187906,2.00E+00,0.998556814,2.00E+00,1112.224075,1071.760075,0.960475572,-0.058179173,
Lyso_PE(20:5),0.836177741,2.00E+00,0.998556814,2.00E+00,1029.424073,1046.544072,1.013338622,0.019116353,
Lyso_PE(21:0),0.909335217,2.00E+00,0.998556814,2.00E+00,1022.096073,1018.092072,0.992723588,-0.010536022,
Lyso_PE(22:0),0.481572457,2.00E+00,0.998556814,2.00E+00,1031.292076,1082.056078,1.046092461,0.065010373,
Lyso_PE(22:1),0.727790468,2.00E+00,0.998556814,2.00E+00,1053.576073,1033.420071,0.977948634,-0.032169404,
Lyso_PE(22:2),0.333483208,2.00E+00,0.998556814,2.00E+00,1092.484075,1029.784071,0.939963767,-0.089322948,
Lyso_PE(22:4),0.913630352,2.00E+00,0.998556814,2.00E+00,1068.97207,1079.204076,1.006963144,0.01001088,
Lyso_PE(22:5),0.78994093,2.00E+00,0.998556814,2.00E+00,1063.040082,1048.268077,0.983088331,-0.024607045,
Lyso_PE(22:6),0.599252069,2.00E+00,0.998556814,2.00E+00,1068.952075,1036.632073,0.966909631,-0.048547035,
Lyso_PE(24:0),0.74315569,2.00E+00,0.998556814,2.00E+00,1055.728073,1036.952073,0.979229469,-0.03028112,
Lyso_PE(24:1),0.76642045,2.00E+00,0.998556814,2.00E+00,1065.908078,1048.912074,0.981160898,-0.027438356,
Lyso_PE(24:6),0.42027567,2.00E+00,0.998556814,2.00E+00,1089.756075,1038.056076,0.949720303,-0.074425398,
Lyso_PG(12:0),0.153812579,2.00E+00,0.861465229,2.00E+00,1192.128084,1091.448077,0.913002083,-0.131309944,
Lyso_PG(13:0),0.531589734,2.00E+00,0.998556814,2.00E+00,1178.732079,1136.35608,0.960891956,-0.057553874,
Lyso_PG(14:0),0.770878385,2.00E+00,0.998556814,2.00E+00,1095.536077,1119.756078,1.018780554,0.026843327,
Lyso_PG(14:1),0.561634039,2.00E+00,0.998556814,2.00E+00,1137.964084,1184.736085,1.037701289,0.053391212,
Lyso_PG(15:0),0.397751369,2.00E+00,0.998556814,2.00E+00,1196.644087,1136.908083,0.947516962,-0.077776325,
Lyso_PG(15:1),0.577538138,2.00E+00,0.998556814,2.00E+00,1089.736078,1132.608076,1.036222126,0.051333294,
Lyso_PG(16:0),0.78912994,2.00E+00,0.998556814,2.00E+00,1132.596081,1116.536084,0.983069642,-0.024634472,
Lyso_PG(16:1),0.080362076,2.00E+00,0.540643046,2.00E+00,1212.948084,1088.216077,0.89443138,-0.160957291,
Lyso_PG(17:0),0.220653168,2.00E+00,0.998556814,2.00E+00,1348.520095,1251.936088,0.925196091,-0.112168925,
Lyso_PG(17:1),0.953627128,2.00E+00,0.998556814,2.00E+00,1115.992081,1115.356079,0.996292752,-0.005358367,
Lyso_PG(17:2),0.86235481,2.00E+00,0.998556814,2.00E+00,1092.668075,1108.340079,1.011141757,0.01598527,
Lyso_PG(18:0),0.265558243,2.00E+00,0.998556814,2.00E+00,1174.812085,1097.49608,0.931404882,-0.102519651,
Lyso_PG(18:1),0.695952992,2.00E+00,0.998556814,2.00E+00,1116.340081,1147.816084,1.025257552,0.03598637,
Lyso_PG(18:2),0.644831472,2.00E+00,0.998556814,2.00E+00,1086.704077,1122.796079,1.029892161,0.042493282,
Lyso_PG(18:3),0.676796439,2.00E+00,0.998556814,2.00E+00,1066.936076,1099.084074,1.027017241,0.0384604,
Lyso_PG(18:4),0.591230533,2.00E+00,0.998556814,2.00E+00,1110.568079,1076.160076,0.966250029,-0.049531542,
Lyso_PG(19:0),0.281038852,2.00E+00,0.998556814,2.00E+00,1362.432101,1462.880103,1.070601669,0.098421806,
Lyso_PG(19:1),0.728987531,2.00E+00,0.998556814,2.00E+00,1080.096076,1107.352076,1.022395683,0.03195365,
Lyso_PG(20:0),0.36176658,2.00E+00,0.998556814,2.00E+00,1804.036132,1707.756123,0.944296825,-0.082687676,
Lyso_PG(20:1),0.728845518,2.00E+00,0.998556814,2.00E+00,1163.072083,1140.800079,0.978132079,-0.031898806,
Lyso_PG(20:2),0.665462055,2.00E+00,0.998556814,2.00E+00,1128.68408,1163.648082,1.027968242,0.039795695,
Lyso_PG(20:3),0.890094529,2.00E+00,0.998556814,2.00E+00,1079.056075,1091.792075,1.008875646,0.012748359,
Lyso_PG(20:4),0.946275704,2.00E+00,0.998556814,2.00E+00,1071.888076,1070.544079,0.995697697,-0.006220302,
Lyso_PG(20:5),0.317166908,2.00E+00,0.998556814,2.00E+00,1107.008075,1183.68008,1.065902935,0.092076067,
Lyso_PG(21:0),0.961603257,2.00E+00,0.998556814,2.00E+00,1342.484094,1350.600095,1.00305623,0.004402484,
Lyso_PG(22:0),0.480365105,2.00E+00,0.998556814,2.00E+00,1139.008076,1092.092078,0.955925097,-0.065030517,
Lyso_PG(22:1),0.436037239,2.00E+00,0.998556814,2.00E+00,1132.992081,1081.400074,0.951450754,-0.071799109,
Lyso_PG(22:2),0.896164481,2.00E+00,0.998556814,2.00E+00,1112.020078,1124.468074,1.008369412,0.012024261,
Lyso_PG(22:4),0.614257334,2.00E+00,0.998556814,2.00E+00,1054.892068,1092.724078,1.032771718,0.046521398,
Lyso_PG(22:6),0.260085707,2.00E+00,0.998556814,2.00E+00,1174.476087,1096.432076,0.930639982,-0.103704926,
Lyso_PI(12:0),0.914647304,2.00E+00,0.998556814,2.00E+00,1165.760081,1177.476084,1.006854429,0.009855113,
Lyso_PI(13:0),0.353328194,2.00E+00,0.998556814,2.00E+00,1292.432095,1222.116083,0.942714501,-0.085107175,
Lyso_PI(14:0),0.909268113,2.00E+00,0.998556814,2.00E+00,1112.260081,1123.896077,1.007304482,0.010499838,
Lyso_PI(14:1),0.826009851,2.00E+00,0.998556814,2.00E+00,1219.78808,1240.860087,1.014080611,0.020172339,
Lyso_PI(15:0),0.7707706,2.00E+00,0.998556814,2.00E+00,1169.104082,1151.648081,0.981593525,-0.026802362,
Lyso_PI(15:1),0.529198241,2.00E+00,0.998556814,2.00E+00,1233.428092,1188.520081,0.960740501,-0.057781288,
Lyso_PI(16:0),0.8104486,2.00E+00,0.998556814,2.00E+00,1097.428077,1084.164072,0.984782811,-0.022122514,
Lyso_PI(16:1),0.739913069,2.00E+00,0.998556814,2.00E+00,1119.916079,1099.712079,0.979015728,-0.030596057,
Lyso_PI(17:0),0.69507029,2.00E+00,0.998556814,2.00E+00,1112.156077,1088.07608,0.975259754,-0.036141572,
Lyso_PI(17:1),0.43598355,2.00E+00,0.998556814,2.00E+00,2307.716158,2205.220157,0.952522947,-0.070174246,
Lyso_PI(17:2),0.441896601,2.00E+00,0.998556814,2.00E+00,1138.368084,1086.848079,0.952063373,-0.070870488,
Lyso_PI(18:0),0.365002047,2.00E+00,0.998556814,2.00E+00,1182.860087,1120.344077,0.943854919,-0.083362976,
Lyso_PI(18:1),0.339215547,2.00E+00,0.998556814,2.00E+00,1141.368082,1217.124088,1.062794996,0.087863341,
Lyso_PI(18:2),0.932052852,2.00E+00,0.998556814,2.00E+00,1127.364081,1136.93608,1.005456974,0.007851346,
Lyso_PI(18:3),0.594018922,2.00E+00,0.998556814,2.00E+00,1151.576077,1116.668083,0.966552054,-0.049080663,
Lyso_PI(18:4),0.996162203,2.00E+00,0.998556814,2.00E+00,1100.488078,1103.58008,0.999692672,-4.43E-04,
Lyso_PI(19:0),0.807713895,2.00E+00,0.998556814,2.00E+00,2609.832182,2577.160181,0.984963155,-0.021858337,
Lyso_PI(19:1),0.514163008,2.00E+00,0.998556814,2.00E+00,1243.844095,1196.876084,0.959338903,-0.059887533,
Lyso_PI(20:0),0.57623333,2.00E+00,0.998556814,2.00E+00,1112.972076,1157.248087,1.036314285,0.051461599,
Lyso_PI(20:1),0.656305913,2.00E+00,0.998556814,2.00E+00,1169.376077,1139.892078,0.972017622,-0.040945625,
Lyso_PI(20:2),0.718633866,2.00E+00,0.998556814,2.00E+00,1106.804078,1136.156081,1.023272816,0.033190834,
Lyso_PI(20:3),0.677427427,2.00E+00,0.998556814,2.00E+00,1120.900082,1094.860078,0.973773492,-0.038341867,
Lyso_PI(20:4),0.574944434,2.00E+00,0.998556814,2.00E+00,1147.248088,1110.540081,0.964833829,-0.051647602,
Lyso_PI(20:5),0.35845322,2.00E+00,0.998556814,2.00E+00,1227.460086,1161.348086,0.943190415,-0.084379038,
Lyso_PI(21:0),0.684802405,2.00E+00,0.998556814,2.00E+00,1152.084084,1126.468076,0.974430175,-0.037369286,
Lyso_PI(22:0),0.619674546,2.00E+00,0.998556814,2.00E+00,1184.568087,1151.392084,0.968857887,-0.04564303,
Lyso_PI(22:1),0.736787618,2.00E+00,0.998556814,2.00E+00,1130.752082,1110.272077,0.978765542,-0.030964783,
Lyso_PI(22:2),0.411653634,2.00E+00,0.998556814,2.00E+00,1068.32808,1129.056078,1.053876182,0.075705377,
Lyso_PI(22:4),0.762382225,2.00E+00,0.998556814,2.00E+00,1100.960079,1083.300076,0.980856212,-0.027886434,
Lyso_PI(22:6),0.721670272,2.00E+00,0.998556814,2.00E+00,1141.048082,1118.732078,0.977517035,-0.032806251,
Lyso_PS(12:0),0.682811244,2.00E+00,0.998556814,2.00E+00,1255.04409,1292.480093,1.02629668,0.037447843,
Lyso_PS(13:0),0.552089711,2.00E+00,0.998556814,2.00E+00,1131.864079,1179.272086,1.038650678,0.054710524,
Lyso_PS(14:0),0.397546062,2.00E+00,0.998556814,2.00E+00,1333.792097,1268.396086,0.947717294,-0.077471331,
Lyso_PS(14:1),0.799152422,2.00E+00,0.998556814,2.00E+00,5170.712369,5272.25237,1.015804614,0.022622932,
Lyso_PS(15:0),0.844652478,2.00E+00,0.998556814,2.00E+00,1787.024131,1771.516125,0.98776683,-0.017757572,
Lyso_PS(15:1),0.69839549,2.00E+00,0.998556814,2.00E+00,3976.780278,3895.644278,0.976325977,-0.034565177,
Lyso_PS(16:0),0.247547197,2.00E+00,0.998556814,2.00E+00,1183.748084,1278.064091,1.076333381,0.106125004,
Lyso_PS(16:1),0.837090702,2.00E+00,0.998556814,2.00E+00,1124.568076,1142.924083,1.013209855,0.018933014,
Lyso_PS(17:0),0.652159445,2.00E+00,0.998556814,2.00E+00,10700.32475,11044.13278,1.028019973,0.039868294,
Lyso_PS(17:1),0.715968986,2.00E+00,0.998556814,2.00E+00,1116.092078,1093.636078,0.977019149,-0.033541256,
Lyso_PS(17:2),0.413151488,2.00E+00,0.998556814,2.00E+00,1140.512082,1085.660078,0.949066301,-0.075419219,
Lyso_PS(18:0),0.120320273,2.00E+00,0.722402921,2.00E+00,1499.232112,1362.6401,0.906398261,-0.141783002,
Lyso_PS(18:1),0.240453874,2.00E+00,0.998556814,2.00E+00,1196.204086,1293.01609,1.077498872,0.107686359,
Lyso_PS(18:2),0.915875088,2.00E+00,0.998556814,2.00E+00,1128.744081,1124.608074,0.993279036,-0.009729033,
Lyso_PS(18:3),0.724852989,2.00E+00,0.998556814,2.00E+00,1084.824079,1113.020076,1.02275087,0.032454764,
Lyso_PS(18:4),0.603145267,2.00E+00,0.998556814,2.00E+00,1126.028081,1092.808078,0.967332104,-0.047916815,
Lyso_PS(19:0),0.444919387,2.00E+00,0.998556814,2.00E+00,1635.83612,1564.300111,0.952999274,-0.06945298,
Lyso_PS(19:1),0.729306268,2.00E+00,0.998556814,2.00E+00,1117.652077,1146.47208,1.022333754,0.031866259,
Lyso_PS(20:0),0.386972252,2.00E+00,0.998556814,2.00E+00,1525.692102,1449.180106,0.946816845,-0.078842722,
Lyso_PS(20:1),0.898598101,2.00E+00,0.998556814,2.00E+00,1118.328078,1112.94408,0.991894041,-0.011742082,
Lyso_PS(20:2),0.751240548,2.00E+00,0.998556814,2.00E+00,1122.896081,1103.528078,0.979954795,-0.029212895,
Lyso_PS(20:3),0.828437151,2.00E+00,0.998556814,2.00E+00,1181.932082,1202.424084,1.013897574,0.019911916,
Lyso_PS(20:4),0.269968771,2.00E+00,0.998556814,2.00E+00,1262.748087,1181.384084,0.932211878,-0.101270199,
Lyso_PS(20:5),0.884922537,2.00E+00,0.998556814,2.00E+00,1115.928077,1109.024073,0.990797563,-0.013337775,
Lyso_PS(21:0),0.836955594,2.00E+00,0.998556814,2.00E+00,1116.860078,1135.35608,1.013224936,0.018954488,
Lyso_PS(22:0,0.929935245,2.00E+00,0.998556814,2.00E+00,1171.820084,1182.152081,1.005618649,0.00808331,
Lyso_PS(22:1),0.390036869,2.00E+00,0.998556814,2.00E+00,1209.716083,1148.608082,0.946700133,-0.07902057,
Lyso_PS(22:2),0.556226069,2.00E+00,0.998556814,2.00E+00,1145.692082,1106.368079,0.963126825,-0.054202309,
Lyso_PS(22:4),0.848587239,2.00E+00,0.998556814,2.00E+00,1098.792083,1115.57608,1.01227278,0.01759811,
Lyso_PS(22:6),0.060480001,2.00E+00,0.431916943,2.00E+00,1240.792087,1403.136106,1.126505854,0.17185481,
Lyso_Sphinganine-1-phosphocholine,0.685786629,2.00E+00,0.998556814,2.00E+00,973.9760696,1002.948074,1.026326453,0.037489695,
Lyso_Sphingosine-1-phosphocholine,0.183019156,2.00E+00,0.953860256,2.00E+00,997.7800705,918.6600609,0.917898017,-0.123594222,
O-(11-carboxyundecanoyl)carnitine,0.786311959,2.00E+00,0.998556814,2.00E+00,5127.340363,5056.820359,0.983426925,-0.02411024,
O-(13-carboxytridecanoyl)carnitine,0.285509324,2.00E+00,0.998556814,2.00E+00,5942.14443,5583.464397,0.936351468,-0.094877935,
O-(17-carboxyheptadecanoyl)carnitine,0.396822995,2.00E+00,0.998556814,2.00E+00,6330.852451,6029.428416,0.949196338,-0.075221561,
O-arachidonoylcarnitine,0.218074482,2.00E+00,0.998556814,2.00E+00,5004.808344,5415.908389,1.078872614,0.109524531,
O-behenoylcarnitine,0.31144217,2.00E+00,0.998556814,2.00E+00,4375.316317,4121.860288,0.939385792,-0.090210321,
"O-oleoylcarnitine, Elaidic carnitine",0.467273908,2.00E+00,0.998556814,2.00E+00,4773.340327,4578.684325,0.956137658,-0.064709753,
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",0.82290626,2.00E+00,0.998556814,2.00E+00,4717.108331,4797.728332,1.013902257,0.01991858,
"Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",0.633102125,2.00E+00,0.998556814,2.00E+00,4547.440321,4428.048315,0.970961893,-0.042513419,
PC (30:0),6.61E-32,1.00E+00,9.92E-29,1.00E+00,54125.30791,112032.1281,2.065491792,1.046485327,PC_SM
PC (30:1),2.61E-20,1.00E+00,7.82E-18,1.00E+00,35831.06641,63334.91282,1.764204055,0.819017438,PC_SM
PC (30:2),9.81E-09,1.00E+00,3.01E-07,1.00E+00,3530.636255,5045.248399,1.426380638,0.512359025,PC_SM
PC (32:0),7.55E-07,1.00E+00,1.67E-05,1.00E+00,289268.3737,392216.0575,1.353089366,0.436257126,PC_SM
PC (32:1),1.03E-05,1.00E+00,2.07E-04,1.00E+00,365343.9883,479317.7834,1.309289751,0.388784407,PC_SM
PC (32:2),0.004228266,1.00E+00,0.048447539,1.00E+00,62565.00389,74682.87805,1.190959488,0.252124339,PC_SM
PC (32:3),0.124302588,2.00E+00,0.734559782,2.00E+00,6600.456495,7271.988519,1.099112192,0.136338656,PC_SM
PC (32:4),0.222817462,2.00E+00,0.998556814,2.00E+00,1694.360117,1572.90011,0.926091752,-0.11077296,PC_SM
PC (32:5),0.046692896,1.00E+00,0.353969883,2.00E+00,1750.908123,1987.396134,1.132947447,0.180080942,PC_SM
PC (34:0),2.30E-08,1.00E+00,6.39E-07,1.00E+00,55612.74421,78448.50932,1.407749051,0.493390178,PC_SM
PC (34:1),9.23E-08,1.00E+00,2.27E-06,1.00E+00,672511.4041,934326.2585,1.38623728,0.471174223,PC_SM
PC (34:2),1.74E-09,1.00E+00,7.05E-08,1.00E+00,203853.1273,295299.7976,1.445413134,0.531481909,PC_SM
PC (34:3),0.018585668,1.00E+00,0.169073257,2.00E+00,36021.06257,41686.67493,1.15471118,0.207532046,PC_SM
PC (34:4),0.250702615,2.00E+00,0.998556814,2.00E+00,142192.1974,152821.6919,1.072621527,0.101141113,PC_SM
PC (34:5),0.177710006,2.00E+00,0.938673821,2.00E+00,26433.74583,28773.00183,1.085886022,0.118872681,PC_SM
PC (34:6),4.82E-05,1.00E+00,8.42E-04,1.00E+00,1531.56011,1984.600136,1.29147261,0.369017046,PC_SM
PC (36:0); PCp(38:6),1.19E-05,1.00E+00,2.32E-04,1.00E+00,7329.172488,9617.248656,1.309003274,0.388468706,PC_SM
PC (36:1),2.23E-14,1.00E+00,2.10E-12,1.00E+00,32892.39021,52648.24419,1.597714199,0.676009361,PC_SM
PC (36:2),2.86E-13,1.00E+00,2.38E-11,1.00E+00,190693.6777,298940.3677,1.564145664,0.645374873,PC_SM
PC (36:3),7.89E-05,1.00E+00,0.001331198,1.00E+00,69249.93313,88342.44207,1.272878902,0.348095172,PC_SM
PC (36:4),0.969372884,2.00E+00,0.998556814,2.00E+00,30883.02204,31025.68203,1.002349084,0.003385037,PC_SM
PC (36:5),0.258879456,2.00E+00,0.998556814,2.00E+00,5962.552413,5577.708369,0.932839958,-0.100298508,PC_SM
PC (36:6),0.377373234,2.00E+00,0.998556814,2.00E+00,1420.084093,1504.860108,1.057381373,0.080495817,PC_SM
PC (36:7),5.45E-06,1.00E+00,1.12E-04,1.00E+00,1778.956122,2371.044164,1.329760005,0.411165892,PC_SM
PC (36:8),3.16E-21,1.00E+00,2.37E-18,1.00E+00,7166.028487,12880.169,1.793606499,0.842863411,PC_SM
PC (38:0),0.63753369,2.00E+00,0.998556814,2.00E+00,2812.268198,2902.448217,1.029710203,0.042238369,PC_SM
PC (38:1),4.59E-06,1.00E+00,9.58E-05,1.00E+00,3968.008298,5278.17634,1.327481967,0.408692263,PC_SM
PC (38:2),4.34E-13,1.00E+00,3.43E-11,1.00E+00,14898.59702,23288.47338,1.560561818,0.642065507,PC_SM
PC (38:3),8.98E-08,1.00E+00,2.27E-06,1.00E+00,22201.21354,30882.80223,1.387546442,0.47253606,PC_SM
PC (38:4),0.035988343,1.00E+00,0.288869002,2.00E+00,27421.2901,31241.43426,1.136790611,0.184966545,PC_SM
PC (38:5),0.240495359,2.00E+00,0.998556814,2.00E+00,13417.25293,14459.60096,1.07453435,0.103711603,PC_SM
PC (38:6),0.037901049,1.00E+00,0.30100251,2.00E+00,5749.292381,5072.668327,0.879909519,-0.184572916,PC_SM
PC (38:7),0.33740244,2.00E+00,0.998556814,2.00E+00,1888.608134,2009.852148,1.061959762,0.086729103,PC_SM
