lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO_average,WT_average,EKO_R1_Cells_r1,EKO_R1_Cells_r2,EKO_R1_Cells_r3,EKO_R2_Cells_r1,EKO_R2_Cells_r2,EKO_R2_Cells_r3,EKO_R3_Cells_r1,EKO_R3_Cells_r2,EKO_R3_Cells_r3,WT_R1_Cells_r1,WT_R1_Cells_r2,WT_R1_Cells_r3,WT_R2_Cells_r1,WT_R2_Cells_r2,WT_R2_Cells_r3,WT_R3_Cells_r1,WT_R3_Cells_r2,WT_R3_Cells_r3,blank
C12:0,-0.218238236,11.89506082,6.072541389,0.013729927,0.039176059,199.2 -> 199.2,FFA,30067.68658,30455.39994,31953.22229,29802.78226,31382.94218,30192.52202,28213.82204,27651.14187,29127.92207,28903.38217,33381.44231,28720.04202,30463.78223,29604.32206,32541.50232,31225.04218,32895.46236,29894.40213,29352.02209,29402.02206,23986.28185
Lyso_PC(19:1),-0.221445188,7.312636828,5.978329136,0.014482716,0.039766178,536.3638 -> 184.1,PC,1224.120086,1238.340088,1225.840084,1361.140095,1049.56007,1179.640079,1157.880074,1193.900085,1297.880093,1237.440098,1313.800098,1337.600098,1373.140102,1197.420094,1395.480106,1183.580082,1108.880077,1206.660076,1090.500072,1251.800087,1345.680088
PC (34:5),-0.219254984,8.094715113,5.981862022,0.014453735,0.039766178,752.5 -> 184.1,PC,2193.522374,2230.957939,2092.560154,2024.440163,2036.920139,2429.320148,2247.24015,1772.320126,2571.580154,2240.180153,2327.140182,1820.740135,2145.860146,1813.840134,2727.20018,2347.560181,2337.120182,2623.100201,2086.780136,2176.420155,1316.820084
SM (d18:0/22:0),0.21662078,11.24099669,5.976929542,0.014494214,0.039766178,789.7 -> 184.1,PC,23195.92604,17473.85682,24093.74188,21827.50176,21452.20143,22077.0415,21447.06142,21701.16151,25101.74165,25068.32165,25994.5616,13764.50093,14834.16101,13556.66106,18650.18124,18756.30128,19839.38174,20104.36135,18498.88132,19260.28147,5912.820438
Lyso_C17 sphingosine-1-phosphocholine,-0.221005677,7.251045745,5.945285265,0.014756703,0.039973853,451.3223 -> 184.1,PC,1182.944528,1197.531197,1237.900082,1252.900093,1167.340084,1083.040089,1161.940075,1166.140091,1199.720081,1081.680073,1295.840088,1185.940102,1334.300091,1257.400097,1163.800083,1154.760086,1108.620075,1087.320084,1147.460072,1338.180084,1155.92009
Lyso_PC(14:0),-0.217014252,8.691641716,5.911093086,0.015045833,0.040247603,468.3012 -> 184.1,PC,3279.442455,3336.238019,3897.960251,3463.040256,2799.140209,3619.900295,2991.000179,3074.840256,3371.900257,2911.720181,3385.480209,3148.540234,2679.26022,2760.820213,2777.780182,2998.020195,3561.940243,4213.9603,3731.620319,4154.200268,2486.440147
PC (44:1),-0.219675127,7.280169769,5.87716472,0.015338502,0.040523944,900.7 -> 184.1,PC,1197.866751,1210.324532,1256.760086,1271.940102,1165.640079,1190.680088,1197.860077,1133.580086,1110.240082,1240.180084,1213.920078,1366.760098,1236.400097,1347.080101,1238.120087,1218.300087,1120.300072,1141.360085,1122.580082,1102.020084,1290.940086
Lyso_PC(18:4),-0.218154815,7.226483875,5.787101364,0.016144187,0.042132391,516.3012 -> 184.1,PC,1155.444526,1174.466754,1081.340084,1166.820076,1207.000088,1103.700077,1277.08009,1198.360088,1069.54007,1162.160084,1133.00008,1165.280083,1226.7201,1104.420074,1208.200096,1180.400074,1168.380089,1117.480087,1323.340107,1075.98008,1195.540089
C14:0,-0.212206529,13.18190882,5.748430554,0.016503394,0.04255092,227.3 -> 227.3,FFA,74009.07405,74608.96749,87576.68585,75012.66522,74533.94513,64528.56477,67020.6245,68720.24498,81633.24559,71542.44504,75513.24539,71365.58493,67478.36469,66271.34462,84678.72536,86301.64622,86225.68622,69794.34514,68858.10492,70506.90532,54649.50385
PCo(36:2),0.209872234,10.96350422,5.607258971,0.01788622,0.045567276,772.6 -> 184.1,PC,19238.79914,14513.49873,20756.74145,17751.04129,17508.62107,19803.88145,16255.9613,17184.5211,21426.20156,22385.20176,20077.02132,11918.16071,12892.24093,12457.92091,15290.06096,14989.94099,15546.06093,16339.26111,15448.04103,15739.80102,3678.72028
PC (40:3),0.208527118,9.229788543,5.489845314,0.019127235,0.048155628,840.6 -> 184.1,PC,5714.935933,4342.378091,5686.080425,6081.360371,5586.620388,5318.160378,5867.960423,5274.960316,5874.320324,6453.700424,5291.260349,3761.600231,3353.54023,3549.360245,4697.520378,4603.140312,4257.360336,4976.40036,5804.660427,4077.820297,1521.860111
PC (44:0),-0.211916044,7.184697153,5.454287241,0.019520366,0.048573934,902.8 -> 184.1,PC,1130.391191,1140.73786,1128.600079,1059.940075,1063.480072,1092.680069,1184.160088,1147.840088,1228.220093,1101.740082,1166.860077,1078.660084,1186.560078,1161.720089,1075.340069,1100.98008,1136.540085,1252.100086,1137.060085,1137.68008,1137.260078
PC (36:3),0.20378134,12.81129475,5.300429065,0.021320172,0.052442722,784.6 -> 184.1,PC,69871.69611,53035.75028,75718.90581,63793.32481,62480.44398,70494.84518,61737.10426,63494.44508,77959.0652,80076.26437,73090.86626,44225.90289,44079.92302,42933.80286,57088.62364,52078.7037,55013.12373,60589.36394,60987.86409,60324.44464,5613.92038
SM (d18:0/20:0),0.203037767,14.65268441,5.26555808,0.021751448,0.052895566,761.6 -> 184.1,PC,250456.8748,190322.1434,271759.0808,236527.9534,219236.4328,234959.7771,235759.1942,225860.6763,279570.0021,279423.5585,271015.1984,156552.9715,149337.0308,147977.5914,210374.9343,211078.6757,203652.1143,217839.7365,209126.8398,206959.3961,19020.1812
PC (40:7),-0.202542595,8.700459913,5.15260862,0.023211477,0.055811867,832.6 -> 184.1,PC,3409.855806,3432.815789,4036.500332,2682.320225,3230.38023,3490.320229,3485.660255,3059.980209,3305.380238,4086.980286,3311.180252,2917.180229,2982.200188,2602.320198,3604.480259,3711.320229,3664.600231,3682.500221,3928.540268,3802.200275,1431.160095
PC (50:0),-0.203760118,7.129486585,5.033748944,0.024858035,0.059106882,986.9 -> 184.1,PC,1093.742299,1097.106745,1069.020073,1146.300095,1061.180069,1121.680084,1061.880077,1076.860069,1115.38007,1078.960079,1112.420078,1070.860077,1145.740082,1086.800076,1111.540073,1132.880077,1061.68008,1091.980072,1086.480083,1086.00008,1059.460072
Lyso_PC(22:6),-0.201206697,7.564411161,4.974630254,0.025721701,0.060488396,568.3325 -> 184.1,PC,1478.575659,1484.226768,1623.980114,1585.460121,1423.040108,1896.320122,1352.380085,1379.940098,1174.32008,1490.8801,1380.860104,1351.000072,1398.020084,1474.020096,1397.960094,1496.220112,1551.720116,1455.040104,1414.640099,1819.420135,1440.740093
SM (d18:0/12:0),-0.197589435,8.434222085,4.886659686,0.027065002,0.062955547,649.5 -> 184.1,PC,2834.109092,2831.097979,2469.940163,2997.880207,2944.320217,2547.42017,2250.860188,2657.740215,3148.140205,3465.600216,3025.08025,2460.0602,2433.900181,3000.900211,2931.160198,2919.000202,3288.540226,3187.44022,2263.50016,2995.380211,1243.220074
PC (38:5),0.195554744,10.73988622,4.866025306,0.027390518,0.063027644,808.6 -> 184.1,PC,16409.80119,12536.30756,16746.26131,14856.88099,15653.86113,15642.70111,16056.98123,16006.04101,17352.34126,18599.62148,16773.52124,11123.54081,10393.60073,10653.80075,12527.46093,13415.34083,14241.42105,13625.68103,13842.32089,13003.601,2593.560188
SM (d18:0/16:0),0.193675249,12.87669332,4.788303085,0.028653642,0.064800721,705.6 -> 184.1,PC,72358.16074,55363.40386,78029.54414,71775.0658,65900.86411,70442.78566,67761.86539,63511.20383,80776.72635,77402.08569,75623.30573,48255.38298,44802.80338,42974.06224,60035.26433,57186.30394,56159.22371,65235.86467,64512.36456,59109.3649,10604.10068
SM (d18:1/24:0),-0.193821859,10.86947202,4.781522576,0.028766675,0.064800721,815.7 -> 184.1,PC,15203.36992,15208.80105,15909.52087,14043.6809,13420.92113,15218.48108,14476.16099,13388.10088,17508.94119,15867.62111,16996.90108,11878.56079,12615.94097,11838.82074,16278.12118,17199.66112,16818.40109,17230.52124,15765.1611,17254.02126,8831.220638
C12:1,-0.192847581,11.07268011,4.735580221,0.029544881,0.06518149,197.2 -> 197.2,FFA,17095.34343,16999.62346,17382.46122,17554.90126,17190.18116,17221.46126,15629.44107,17172.58125,17625.46127,15932.32113,18149.28127,18377.42134,17572.28131,16101.3812,17311.68126,16862.00119,17574.28127,16854.70121,16028.32118,16314.54116,14202.78101
PC (46:0),-0.197933076,7.155109453,4.752988186,0.029247463,0.06518149,930.8 -> 184.1,PC,1107.815632,1108.937856,1061.440075,1120.040073,1133.640079,1148.120079,1160.42009,1076.460064,1115.260078,1077.50008,1077.460072,1076.900074,1072.540081,1118.360081,1199.240078,1070.060081,1115.440083,1075.700069,1105.98008,1146.220078,1156.520088
PC (52:0),-0.19515463,7.077166367,4.607794601,0.031826939,0.069499643,1014.9 -> 184.1,PC,1052.191186,1049.155631,1080.000076,1163.220085,1012.480076,1056.800076,1056.90007,1016.420067,1011.180069,1047.680077,1025.040077,1030.840076,1031.840073,1108.180088,1038.58007,1058.800072,1088.740078,1028.520077,1022.140072,1034.760071,1088.620068
PCo(42:6),-0.192396203,7.535878597,4.54640292,0.032987979,0.071307349,848.6 -> 184.1,PC,1465.100107,1457.948993,1375.2201,1246.060089,1356.500095,1484.620125,1575.040108,1472.260113,1558.080112,1351.740097,1766.380127,1377.300102,1583.200119,1347.800079,1294.860104,1611.020126,1467.320103,1331.560093,1629.820107,1478.660103,1308.84008
C34:0,-0.184834582,11.28915821,4.352649199,0.036951424,0.077525537,507.5 -> 507.5,FFA,20034.04588,19821.45471,21683.84154,20531.44142,20873.68158,20311.7614,18505.20128,18435.7613,20191.82142,18789.28135,20983.62159,18686.54126,20183.82141,19751.6013,19204.04132,21260.10155,19536.20134,20062.50134,19661.12142,20047.16148,15378.28117
PC (42:9),-0.188959926,7.355619288,4.363118,0.036725029,0.077525537,856.6 -> 184.1,PC,1293.78453,1286.800091,1200.180084,1230.140095,1153.620071,1340.040092,1254.920082,1258.240074,1428.240097,1520.020081,1258.660091,1131.800091,1248.700085,1228.280094,1325.700104,1322.280083,1373.040096,1512.660095,1213.920097,1224.820076,1175.180088
PC (46:1),-0.190063904,7.146441028,4.381236085,0.036336637,0.077525537,928.8 -> 184.1,PC,1103.982299,1097.304528,1127.460075,1124.080082,1064.860077,1069.420071,1148.020081,1124.000076,1115.360088,1075.020073,1087.620071,1071.24007,1167.8601,1081.880081,1068.940083,1082.10009,1097.160088,1062.800079,1105.120083,1138.640076,1164.160076
Lyso_PC(2:0),-0.187180504,7.403773252,4.284913306,0.038452043,0.079890653,300.1134 -> 184.1,PC,1319.720094,1310.668979,1212.140079,1226.340099,1348.480095,1419.14011,1353.060116,1372.62009,1214.040081,1495.020084,1236.640091,1477.7001,1257.620083,1315.520084,1217.760086,1246.940075,1222.860088,1340.340099,1327.780106,1389.500092,1384.080101
Lyso_PC(15:1),-0.185867889,7.227561381,4.202835405,0.040356449,0.083041154,480.3012 -> 184.1,PC,1177.755644,1164.06675,1297.620098,1096.340088,1273.960083,1140.000088,1080.100075,1189.180092,1092.920082,1245.200092,1184.480099,1241.960087,1224.420086,1244.940086,1108.180084,1138.800083,1180.140087,1134.280071,1168.680096,1035.200066,1147.420078
PC (30:1),0.179681556,13.93284524,4.123804318,0.042283891,0.086178597,704.5 -> 184.1,PC,150197.6725,115980.4927,167583.9309,143219.7299,133586.6894,144789.6901,137571.2901,138140.089,163288.0523,164187.5514,159412.0296,97585.64671,94353.20662,91111.20668,125410.9683,124445.0886,119071.9274,132873.5496,130914.2293,128058.6109,18346.84108
PC (44:2),-0.183170005,7.251689863,4.085520107,0.043252138,0.087320354,898.7 -> 184.1,PC,1200.031195,1187.204528,1284.34008,1201.340092,1138.960079,1180.320076,1235.10009,1159.200077,1201.440083,1163.980095,1235.600086,1191.10009,1126.200077,1191.34008,1119.940083,1084.300079,1149.620079,1204.460091,1200.540089,1417.340088,1157.58009
C30:0,-0.177016227,12.04984786,3.997411151,0.045570208,0.091140415,451.4 -> 451.4,FFA,34787.47579,34171.14461,38300.44276,35279.78253,35178.60254,32946.54231,31744.34211,30679.40229,34561.64247,35742.68251,38653.84261,35267.02243,32405.48223,34615.78251,33877.44233,33682.80243,33060.78226,34371.54251,34781.18232,35478.26244,18169.7812
PC (48:0),-0.180990574,7.141911304,3.973663219,0.046217124,0.091578376,958.8 -> 184.1,PC,1110.320079,1096.662301,1118.040077,1088.280087,1089.940071,1131.420086,1107.380081,1091.140072,1099.000084,1089.54007,1178.140079,1076.360069,1109.900085,1063.360085,1124.780075,1103.780083,1159.280075,1076.100079,1060.400085,1096.000069,1096.720081
Lyso_PC(12:0),-0.177304022,7.710154963,3.878687457,0.048902774,0.095294245,440.2699 -> 184.1,PC,1664.717893,1636.302336,1905.720131,1841.900154,1589.940094,1675.900108,1576.0201,1660.5401,1597.620106,1294.660095,1840.160152,1738.600121,1692.320114,1762.740135,1676.460114,1414.820103,1472.940105,1609.120106,1824.360119,1535.360107,1451.920101
PC (42:2),-0.1779997,7.389972579,3.875934863,0.048983023,0.095294245,870.7 -> 184.1,PC,1329.808989,1313.622313,1282.8601,1438.460106,1336.920101,1272.160099,1458.440109,1223.900093,1334.400097,1303.560093,1317.580101,1204.900078,1287.300079,1347.160088,1237.960091,1296.520081,1353.680096,1473.32011,1313.080097,1308.680099,1175.660088
Lyso_PC(17:2),-0.174916373,7.218412494,3.720618253,0.053744467,0.10361546,506.3168 -> 184.1,PC,1169.81786,1148.79786,1169.260078,1076.920071,1247.800083,1132.560081,1168.640087,1171.160088,1145.280083,1174.48008,1242.26009,1172.220089,1247.600082,1197.000088,1080.120083,1099.660084,1154.340088,1111.120071,1137.88007,1139.240082,1191.960087
Lyso_PC(5:0),-0.173708351,7.443509863,3.696074414,0.054540645,0.10421159,342.1603 -> 184.1,PC,1374.206766,1349.980096,1494.520107,1454.460106,1260.640091,1206.500092,1311.880089,1269.560097,1536.740101,1470.960114,1362.600098,1325.200089,1275.820091,1207.680088,1317.180099,1334.280094,1364.180088,1394.440109,1436.360096,1494.680111,1374.200092
PC (34:1),0.169715899,16.07558044,3.680593939,0.055049237,0.104252538,760.6 -> 184.1,PC,664405.6243,517092.0907,718439.5374,625946.4675,615681.925,640023.6448,618382.2798,592354.2471,735265.8357,717270.3501,716286.3318,416540.1022,418892.1888,396344.2689,567741.0382,554693.0946,566153.22,599172.0469,577937.0969,556355.7595,46707.24345
PC (36:8),0.169009161,9.751910033,3.62024621,0.057080425,0.107150974,774.5 -> 184.1,PC,8102.787234,6290.589333,9153.0606,6758.740421,7359.460484,7861.600681,6820.400475,7479.140457,10003.9807,9251.060719,8237.640564,5330.34034,5348.320415,5023.720329,5906.900429,6191.180401,7838.140598,7254.220478,6810.80048,6911.680523,2613.340179
PC (40:0),-0.167010637,8.413024982,3.490197678,0.061733213,0.113839889,846.7 -> 184.1,PC,2795.304642,2738.140195,3019.660206,2469.160172,2554.340199,2711.580208,3160.180222,3103.100216,2297.500145,2616.200188,3226.020226,2990.540218,2695.920197,2770.800213,2135.580158,2555.420174,2530.800171,3320.500225,2768.020195,2875.680206,1443.940094
PC (44:8),-0.169580854,7.262243176,3.50343529,0.061241671,0.113839889,886.6 -> 184.1,PC,1215.393414,1191.540084,1236.82008,1114.780071,1246.440079,1165.320084,1247.420086,1208.800079,1173.660072,1288.720085,1256.580093,1128.320087,1184.520084,1195.020096,1147.460075,1286.800091,1173.240078,1229.260082,1146.940083,1232.300083,1149.620083
SM (d18:0/26:0),-0.168536417,7.403174388,3.476678056,0.062239566,0.113839889,845.7 -> 184.1,PC,1351.180097,1323.320096,1242.960087,1176.120083,1223.240089,1383.260105,1326.840107,1334.380096,1583.360123,1389.780094,1500.680084,1237.84008,1316.460091,1243.440086,1514.720108,1329.640083,1148.120087,1468.520126,1362.660091,1288.48011,1175.860073
Lyso_PC(18:3),-0.165167569,7.310697799,3.327901715,0.06811372,0.123528272,518.3168 -> 184.1,PC,1252.495644,1223.904532,1289.100098,1359.000088,1249.060093,1249.320087,1346.12009,1068.240082,1272.980087,1354.360096,1084.280071,1175.800091,1145.780083,1288.080101,1265.480091,1274.700085,1139.620079,1337.620087,1064.240082,1323.820091,1267.140091
C15:0,-0.159575971,12.49841405,3.250272166,0.071411599,0.125942479,241.3 -> 241.3,FFA,46099.77662,45162.4099,41926.94315,45398.56319,46867.38333,40980.92306,53367.9437,61356.02466,40706.74297,39043.90268,45249.56288,43083.62302,41470.36296,43728.72318,50298.86391,51393.68381,52795.94354,38253.90269,40874.50288,44562.08308,39058.58279
C20:5,-0.159563428,11.63615055,3.246365568,0.071582017,0.125942479,301.3 -> 301.3,FFA,25596.98629,24833.21282,27394.28199,27651.80209,28782.90211,22342.80167,22696.20152,26153.76188,24476.74179,25198.28177,25676.10174,27118.86178,25369.60189,27623.40186,23700.54165,23489.46168,24583.4217,23223.24157,23503.00156,24887.38169,20526.20143
Lyso_PC(17:1),-0.162834456,7.370970235,3.241406325,0.071798983,0.125942479,508.3325 -> 184.1,PC,1314.568987,1281.915647,1204.020081,1731.260124,1051.440071,1260.60009,1330.980103,1274.600109,1402.46011,1231.000099,1344.760098,1312.7001,1325.460075,1189.820084,1296.500099,1252.020092,1241.440086,1204.380093,1360.180107,1354.740089,1236.940098
PC (40:8),-0.162922716,7.659914098,3.271546923,0.070491125,0.125942479,830.6 -> 184.1,PC,1614.115673,1580.822331,1388.160091,1979.200138,1509.320114,1293.720108,1800.02013,1605.68013,1625.280109,1499.380108,1826.280128,1421.240097,1399.540085,1604.040115,1348.880104,1551.480106,1851.00013,1818.020115,1499.580105,1733.620121,1393.280094
PC (42:0),-0.16243175,7.251891915,3.212223014,0.073090117,0.127164919,874.7 -> 184.1,PC,1200.097864,1172.395638,1177.380089,1125.020084,1151.260075,1187.120087,1127.220078,1302.940102,1212.180088,1251.140091,1266.620083,1151.200096,1083.600075,1087.800079,1197.840084,1165.020081,1204.980087,1171.460083,1193.800087,1295.860073,1257.840092
SM (d18:2/18:1),0.16016859,8.141119219,3.195885887,0.073823763,0.127405526,727.6 -> 184.1,PC,2593.55796,2028.475694,2722.620193,2547.340176,2364.380169,2743.760208,2716.14016,2147.66016,2733.060211,2567.900177,2799.160187,1672.840118,1744.260113,1814.040131,2194.860134,2130.900158,2073.200161,2086.700127,2404.760159,2134.72015,1281.700092
Lyso_PC(21:0),-0.15990236,7.883048272,3.169085919,0.075044436,0.127456422,566.4107 -> 184.1,PC,1916.24902,1871.715696,1871.20015,1670.200108,1878.020115,1992.260143,1815.920128,1835.860115,2069.56015,2165.760143,1947.460125,1368.080101,1927.860153,1765.120121,2150.120159,1816.680141,1602.840122,2404.880184,1985.180149,1824.68013,1338.8601
PC (36:1),0.157664826,12.74688511,3.17374619,0.074830624,0.127456422,788.6 -> 184.1,PC,64876.04012,50957.62144,67266.20491,62795.46454,62444.82391,61594.50471,59486.18411,58246.58455,71607.78571,70581.04395,69861.76471,41514.16304,39217.38226,39668.6428,54475.32441,55249.60419,58509.70402,58312.24468,59311.32439,52360.2032,14336.30089
Lyso_PC(19:0),-0.160054031,7.529607408,3.146901243,0.076071298,0.128183132,538.3794 -> 184.1,PC,1476.56233,1444.575659,1321.560101,1538.120121,1456.860104,1472.340111,1722.680119,1444.120102,1289.44009,1484.200111,1559.740112,1187.600075,1576.900097,1350.760098,1451.820095,1561.440121,1343.620094,1749.220146,1434.320107,1345.500095,1244.840092
Lyso_PC(18:2),-0.15735293,8.039796802,3.078099126,0.079353219,0.132668664,520.3325 -> 184.1,PC,2132.917924,2072.211261,2326.640167,2309.680168,1808.260113,2222.220146,2151.100151,2088.320141,2196.380146,2176.06015,1917.600132,2286.0802,2127.28017,1819.880123,1961.140137,1796.540138,2205.460136,2240.560169,2041.880127,2171.080151,1539.000099
PC (36:0); PCp(38:6),0.153879956,9.489997034,2.996073738,0.083466565,0.138463914,790.6 -> 184.1,PC,6619.340474,5207.555915,6008.520412,6704.240387,6111.740425,6451.180508,6569.90049,6672.260471,7292.760525,6604.800522,7158.660522,4547.180321,4293.680279,4611.640297,5078.68034,5887.000431,5450.480343,5443.76041,5610.120415,5945.4604,2908.000191
SM (d16:1/24:1),0.150845333,11.95969332,2.903126768,0.088407911,0.145533022,785.6 -> 184.1,PC,37862.86273,29828.12873,43579.70296,36861.04262,32452.58223,34860.18268,36396.84274,32466.02237,40964.58328,41051.34254,42133.46317,24552.58187,23279.76208,23205.46151,31894.80228,30644.46247,30698.98193,35292.66256,33902.30186,34982.14201,5384.400352
PC (44:4),-0.152488643,7.235537419,2.831200195,0.092449246,0.151023958,894.7 -> 184.1,PC,1205.713419,1168.017865,1197.380077,1184.840076,1186.620087,1154.960094,1239.640087,1155.820091,1163.460075,1319.640091,1249.060093,1092.620071,1201.58009,1119.040089,1207.020096,1176.880089,1260.340103,1127.420074,1191.680084,1135.580086,1074.060081
PC (44:6),-0.151200835,7.286672945,2.788489967,0.094943656,0.153923806,890.7 -> 184.1,PC,1251.575645,1213.413416,1220.060089,1163.220078,1342.62011,1306.640095,1229.560078,1193.140095,1129.780075,1421.080105,1258.080086,1227.260078,1150.560074,1135.760082,1245.980091,1217.880085,1167.280075,1237.540081,1306.540089,1231.920086,1079.800072
Lyso_PC(9:0),-0.147916761,7.388246042,2.675414662,0.101908779,0.163973525,398.2229 -> 184.1,PC,1327.946761,1280.408979,1327.140095,1386.180096,1321.960094,1458.380104,1255.400085,1194.200085,1241.200089,1399.360104,1367.7001,1300.500099,1282.120094,1416.200092,1224.180088,1126.880077,1178.580086,1418.820095,1354.560093,1221.840084,1367.900112
PC (42:8),-0.14692274,7.513954742,2.651510532,0.103451551,0.165213672,858.6 -> 184.1,PC,1480.102331,1430.322324,1522.680119,1604.000126,1459.92012,1413.560104,1492.340099,1400.680092,1670.240143,1402.420094,1355.080086,1241.100094,1473.66011,1416.180096,1352.820087,1317.2001,1660.920124,1544.700108,1580.360111,1285.960087,1135.16008
PC (42:3),-0.146229565,7.637318862,2.635356177,0.104508622,0.165665519,868.7 -> 184.1,PC,1625.584558,1557.868994,1982.280132,1524.500114,1395.640079,1719.720108,1620.020126,1262.240074,1789.520134,1651.120117,1685.220135,1616.440113,1378.820084,1673.340107,1491.300106,1645.380112,1686.960121,1337.460083,1514.720116,1676.400108,1175.720089
PC (46:2),-0.146992801,7.158940506,2.622944702,0.105328812,0.165737983,926.8 -> 184.1,PC,1135.13564,1096.297854,1078.080074,1173.600086,1128.000088,1115.98008,1176.94009,1133.480087,1120.600086,1123.760086,1165.780087,1068.700073,1062.380074,1125.540077,1121.48008,1093.480072,1067.900074,1092.600075,1105.240078,1129.360085,1123.540085
Lyso_PC(6:0),-0.143676608,7.542167918,2.535436189,0.111316121,0.173880657,356.176 -> 184.1,PC,1481.844546,1421.748988,1518.540104,1580.220097,1253.00008,1718.240124,1509.240105,1274.880089,1420.520107,1745.060127,1316.900078,1602.0401,1555.600113,1394.500107,1295.600086,1331.640095,1349.960091,1477.720112,1432.780102,1355.900085,1510.220097
C18:4,-0.13981635,11.08992618,2.490292979,0.114550399,0.177636126,275.3 -> 275.3,FFA,17873.81909,17127.24341,19757.32143,17958.96136,18468.66134,17155.4012,16548.98124,15974.40119,18733.92143,16718.66119,19548.06139,17274.40124,17238.70123,16245.28115,16560.52113,17456.98125,15980.58108,17411.00121,17964.70119,18013.02122,12110.18086
Lyso_PC(4:0),-0.141231985,7.425594833,2.441190048,0.118186533,0.181956245,328.1447 -> 184.1,PC,1356.877873,1303.235647,1601.420113,1547.160103,1412.760101,1328.700085,1362.320095,1404.140106,1106.900082,1202.360081,1246.140095,1559.080105,1401.64011,1234.440086,1323.020088,1112.080078,1330.020084,1290.920094,1259.600101,1218.320076,1472.64011
SM (d18:0/14:0),-0.138476444,9.586752338,2.428675382,0.11913353,0.18210411,677.6 -> 184.1,PC,6534.296007,6281.396006,8021.480473,6112.340401,6024.160446,6580.960442,6002.280499,6435.380451,6913.060486,6493.980499,6225.02037,5467.200371,5708.460434,5467.880405,6632.700497,6315.300388,6480.780396,7192.600574,6578.320461,6689.32053,1732.14011
PC (44:3),-0.139123937,7.21457848,2.354988997,0.124882766,0.189538383,896.7 -> 184.1,PC,1192.208973,1143.468973,1326.320095,1250.480091,1255.680092,1098.640083,1071.860081,1194.440079,1139.740074,1194.640079,1198.080078,1063.480076,1179.840096,1139.100082,1235.300087,1130.280079,1158.580086,1140.820084,1104.740086,1139.080078,1084.020077
SM (d18:1/20:0),0.135434931,13.82760804,2.343473438,0.125808753,0.189599106,759.6 -> 184.1,PC,138206.287,110079.7541,155783.4707,131692.708,125635.9281,132844.5091,125066.4291,125167.7296,148652.3084,152194.6902,146818.8101,87589.88707,91067.42516,86445.4455,122288.2692,119939.2275,114405.5892,128955.0082,123921.448,116105.4875,11250.00076
PCo(34:4),-0.137103094,7.702147605,2.320069067,0.127714355,0.191124979,740.6 -> 184.1,PC,1695.073453,1620.793446,1984.740147,1500.780113,1739.560116,1458.160084,1555.360111,1777.880135,1866.460133,1536.640102,1836.080135,1857.860134,1503.500114,1568.320103,1328.62009,1720.600121,1465.92009,1756.68013,1773.380112,1612.26012,1298.920094
PCo(40:6),0.135245601,8.459780158,2.29058138,0.13016116,0.193433946,820.6 -> 184.1,PC,3225.471331,2548.622405,3452.300243,2951.620193,3006.320198,3326.020203,2621.460167,3030.000217,3728.480297,3262.140213,3650.900249,2461.280155,2401.520176,2690.480198,2497.060165,2397.44017,3080.260242,2757.380199,2127.300167,2524.880173,1488.820107
Lyso_PC(15:0),-0.134992029,7.442213044,2.23266801,0.135120348,0.197043353,482.3168 -> 184.1,PC,1392.555655,1335.315648,1315.240093,1483.240112,1404.020088,1367.640106,1416.660114,1391.760105,1388.380096,1379.860085,1386.200092,1399.660091,1280.180096,1239.680073,1296.680092,1315.700092,1281.840092,1397.820099,1386.520111,1419.76009,1307.420086
Lyso_PC(16:0),0.132959787,10.48664021,2.248108459,0.133777839,0.197043353,496.3325 -> 184.1,PC,12876.48986,10273.49186,16322.98108,11529.14084,12816.341,12137.1209,11621.92086,11953.681,13164.56118,13198.56084,13144.10101,8735.96067,8382.800659,7935.580555,10185.10087,11081.32074,11741.88077,11763.10081,11377.18082,11258.50081,8730.300579
PC (38:6),-0.132689617,9.583441039,2.2300187,0.13535221,0.197043353,806.6 -> 184.1,PC,6544.402678,6281.442688,6333.380455,6761.760441,6118.500496,7152.92057,6569.160423,5580.800396,7075.220417,6933.200493,6374.680412,4966.9604,5483.780495,5176.400417,7861.460526,6935.400471,6438.540478,6528.980419,6624.26049,6517.200497,1498.700123
Lyso_PC(3:1),-0.134430922,7.321637826,2.206473879,0.137432485,0.198719944,312.1134 -> 184.1,PC,1286.731205,1230.153418,1286.620094,1413.580105,1261.840096,1273.960083,1197.960091,1316.240097,1275.960094,1268.160088,1286.260094,1355.860085,1178.160088,1181.800087,1182.740082,1316.320087,1130.540077,1243.160099,1138.420067,1344.380093,1149.780075
SM (d18:1/26:1)17Z)),0.132312263,8.569588299,2.195632541,0.138402384,0.198779262,841.7 -> 184.1,PC,3470.544689,2760.522407,3845.300236,3330.86026,3015.700233,3746.58025,3233.520245,3252.460232,3244.780201,3241.820244,4323.880299,2272.820145,2635.16016,2670.660217,2304.460148,2831.840199,3323.880184,3022.000214,2958.740211,2825.140186,1631.96011
PC (34:2),0.127720996,15.03815901,2.084778327,0.148773817,0.212250646,758.6 -> 184.1,PC,319862.4519,256189.0245,353315.1869,309335.261,285708.1836,305072.7611,285598.821,291810.942,354753.1442,347872.2839,345295.4833,206906.0749,200757.5138,198916.3323,284609.7189,270719.4963,274608.0195,291158.2805,288266.0417,289759.7426,18247.56127
